name,full-name,code,currency,earliest_date,url
msci-world-growth-index-105867,MSCI World Growth Index,105867,USD,1998-12-31,https://www.msci.com/indexes/index/105867
msci-world-value-index-105868,MSCI World Value Index,105868,USD,1998-12-31,https://www.msci.com/indexes/index/105868
msci-world-small-cap-index-106230,MSCI World Small Cap Index,106230,USD,1998-12-31,https://www.msci.com/indexes/index/106230
msci-world-equal-weighted-index-129857,MSCI World Equal Weighted Index,129857,USD,1997-01-01,https://www.msci.com/indexes/index/129857
msci-world-minimum-volatility-index-usd-129896,MSCI World Minimum Volatility Index (USD),129896,USD,1997-01-01,https://www.msci.com/indexes/index/129896
msci-world-imi-index-664185,MSCI World IMI Index,664185,USD,1997-01-01,https://www.msci.com/indexes/index/664185
msci-acwi-imi-index-664204,MSCI ACWI IMI Index,664204,USD,1997-01-01,https://www.msci.com/indexes/index/664204
msci-world-quality-index-702787,MSCI World Quality Index,702787,USD,1997-01-01,https://www.msci.com/indexes/index/702787
msci-world-momentum-index-703755,MSCI World Momentum Index,703755,USD,1997-01-01,https://www.msci.com/indexes/index/703755
msci-world-factor-mix-a-series-index-usd-703454,MSCI World Factor Mix A-Series Index (USD),703454,USD,1997-01-01,https://www.msci.com/indexes/index/703454
msci-world-mid-cap-equal-weighted-index-705043,MSCI World Mid Cap Equal Weighted Index,705043,USD,1997-01-01,https://www.msci.com/indexes/index/705043
msci-world-enhanced-value-index-705130,MSCI World Enhanced Value Index,705130,USD,1997-11-28,https://www.msci.com/indexes/index/705130
msci-world-sector-neutral-quality-index-705169,MSCI World Sector Neutral Quality Index,705169,USD,1998-11-30,https://www.msci.com/indexes/index/705169
msci-world-diversified-multiple-factor-index-706536,MSCI World Diversified Multiple-Factor Index,706536,USD,1998-11-30,https://www.msci.com/indexes/index/706536
msci-world-value-advanced-index-716001,MSCI World Value Advanced Index,716001,USD,2007-11-30,https://www.msci.com/indexes/index/716001
msci-world-quality-advanced-index-716002,MSCI World Quality Advanced Index,716002,USD,2007-11-30,https://www.msci.com/indexes/index/716002
msci-world-minimum-volatility-advanced-index-716003,MSCI World Minimum Volatility Advanced Index,716003,USD,2007-11-30,https://www.msci.com/indexes/index/716003
msci-world-multiple-factor-advanced-index-716004,MSCI World Multiple-Factor Advanced Index,716004,USD,2007-11-30,https://www.msci.com/indexes/index/716004
msci-world-selection-minimum-volatility-index-usd-717716,MSCI World Selection Minimum Volatility Index (USD),717716,USD,2010-11-30,https://www.msci.com/indexes/index/717716
msci-world-value-exposure-select-index-720342,MSCI World Value Exposure Select Index,720342,USD,1998-11-30,https://www.msci.com/indexes/index/720342
msci-world-growth-target-index-729749,MSCI World Growth Target Index,729749,USD,1999-05-31,https://www.msci.com/indexes/index/729749
msci-world-minimum-volatility-advanced-select-index-730529,MSCI World Minimum Volatility Advanced Select Index,730529,USD,2010-05-26,https://www.msci.com/indexes/index/730529
msci-world-momentum-advanced-select-index-738853,MSCI World Momentum Advanced Select Index,738853,USD,2010-05-26,https://www.msci.com/indexes/index/738853
msci-world-value-advanced-select-index-738937,MSCI World Value Advanced Select Index,738937,USD,2010-05-26,https://www.msci.com/indexes/index/738937
msci-world-quality-advanced-select-index-747073,MSCI World Quality Advanced Select Index,747073,USD,2010-05-26,https://www.msci.com/indexes/index/747073
msci-world-value-select-screens-advanced-index-749045,MSCI World Value Select Screens Advanced Index,749045,USD,2014-11-25,https://www.msci.com/indexes/index/749045
