date,value
2008-12-31,222.6999275346
2009-01-02,230.5771766283
2009-01-05,232.899788833
2009-01-06,235.4780991336
2009-01-07,232.5999188541
2009-01-08,230.4612077929
2009-01-09,228.198399743
2009-01-12,224.9152508317
2009-01-13,221.3762187556
2009-01-14,211.63001437
2009-01-15,208.4178365669
2009-01-16,210.3218919454
2009-01-19,207.3171122116
2009-01-20,202.9213222664
2009-01-21,202.1583670065
2009-01-22,199.8835956533
2009-01-23,198.7808527477
2009-01-26,205.358917893
2009-01-27,205.3261066441
2009-01-28,213.4504343128
2009-01-29,209.0377255032
2009-01-30,207.0857980723
2009-02-02,203.1769937891
2009-02-03,206.6648358331
2009-02-04,211.5462021265
2009-02-05,211.1037464303
2009-02-06,215.9152957232
2009-02-09,217.0658757575
2009-02-10,210.387303684
2009-02-11,210.4621768782
2009-02-12,205.9433344726
2009-02-13,207.0184559201
2009-02-16,204.0317772032
2009-02-17,197.1653035428
2009-02-18,196.6321743063
2009-02-19,196.7010390995
2009-02-20,188.303680036
2009-02-23,185.9289863685
2009-02-24,184.3425261257
2009-02-25,183.179264065
2009-02-26,187.40582124
2009-02-27,184.2673823989
2009-03-02,176.3928375565
2009-03-03,174.1413833353
2009-03-04,181.0057341545
2009-03-05,173.0522665519
2009-03-06,170.1709369895
2009-03-09,169.3847364067
2009-03-10,178.7006596055
2009-03-11,179.675588343
2009-03-12,182.073872566
2009-03-13,182.4847889513
2009-03-16,187.630953298
2009-03-17,186.0354506922
2009-03-18,186.5052687478
2009-03-19,188.0635801598
2009-03-20,189.0304889728
2009-03-23,194.8179211253
2009-03-24,195.0245473979
2009-03-25,197.2475753495
2009-03-26,197.985652584
2009-03-27,194.8111778825
2009-03-30,186.0779100709
2009-03-31,191.615298058
2009-04-01,194.1570616571
2009-04-02,204.4864176315
2009-04-03,203.5786812865
2009-04-06,202.3363550799
2009-04-07,200.741013624
2009-04-08,202.624479786
2009-04-09,207.9465518422
2009-04-14,210.7675802487
2009-04-15,209.6636864883
2009-04-16,213.3415746988
2009-04-17,217.1699988625
2009-04-20,208.9929741798
2009-04-21,208.8559618361
2009-04-22,212.5650867363
2009-04-23,210.8179601056
2009-04-24,215.7330461908
2009-04-27,215.4075209588
2009-04-28,212.0710504998
2009-04-29,216.9949043155
2009-04-30,220.2748834972
2009-05-04,225.29410753
2009-05-05,224.6500264524
2009-05-06,227.7472435035
2009-05-07,225.4778083337
2009-05-08,230.002736674
2009-05-11,226.3559572788
2009-05-12,225.3132236457
2009-05-13,218.7614563746
2009-05-14,218.8972336026
2009-05-15,220.2668767497
2009-05-18,225.0824197866
2009-05-19,228.6183289749
2009-05-20,231.2774734719
2009-05-21,225.8417420435
2009-05-22,226.2898693838
2009-05-25,226.6627565618
2009-05-26,228.5787110896
2009-05-27,230.0449163011
2009-05-28,227.522855498
2009-05-29,227.4847268613
2009-06-01,234.5245753052
2009-06-02,234.8870047481
2009-06-03,230.574951031
2009-06-04,230.4746744371
2009-06-05,231.7694343333
2009-06-08,228.6347603745
2009-06-09,229.5113409334
2009-06-10,231.7846885892
2009-06-11,233.5317481986
2009-06-12,232.6678478171
2009-06-15,226.0145088499
2009-06-16,225.2214496023
2009-06-17,220.5884673631
2009-06-18,222.5136883316
2009-06-19,224.4797460272
2009-06-22,217.6188848236
2009-06-23,217.5437373392
2009-06-24,223.1624966019
2009-06-25,222.1982477195
2009-06-26,221.3076162328
2009-06-29,225.3939873665
2009-06-30,223.020198008
2009-07-01,227.3379098803
2009-07-02,220.8939743335
2009-07-03,221.0672601842
2009-07-06,218.0215369728
2009-07-07,216.2983918098
2009-07-08,213.5791973983
2009-07-09,215.2028738093
2009-07-10,212.3376264406
2009-07-13,217.4762424822
2009-07-14,219.8311977507
2009-07-15,226.4781223192
2009-07-16,227.4235074596
2009-07-17,228.4371788177
2009-07-20,231.2053114679
2009-07-21,233.1105176255
2009-07-22,233.8975472972
2009-07-23,238.5143313062
2009-07-24,238.3036484384
2009-07-27,239.5852913433
2009-07-28,237.1613488354
2009-07-29,239.6602448617
2009-07-30,244.5310825385
2009-07-31,243.9237457934
2009-08-03,247.3268837355
2009-08-04,247.0738246201
2009-08-05,245.2317413835
2009-08-06,246.7007180651
2009-08-07,249.832871572
2009-08-10,249.0122571425
2009-08-11,245.253482172
2009-08-12,248.2928455236
2009-08-13,250.3644120437
2009-08-14,247.9775389876
2009-08-17,242.4458715961
2009-08-18,244.7890735044
2009-08-19,244.3572400651
2009-08-20,248.1267044896
2009-08-21,254.7897961075
2009-08-24,257.937977846
2009-08-25,259.8432184383
2009-08-26,259.2432862722
2009-08-27,258.042340253
2009-08-28,260.5752165639
2009-08-31,257.843009112
2009-09-01,252.8482848313
2009-09-02,250.9225111578
2009-09-03,250.9282404409
2009-09-04,254.6363624689
2009-09-07,258.7650634445
2009-09-08,259.5152713022
2009-09-09,262.6467530396
2009-09-10,262.7779483985
2009-09-11,264.474386822
2009-09-14,264.022991866
2009-09-15,265.5970920858
2009-09-16,269.4918833846
2009-09-17,270.941411695
2009-09-18,270.3130132201
2009-09-21,268.414901845
2009-09-22,269.5304599572
2009-09-23,270.0536083455
2009-09-24,265.9089026425
2009-09-25,265.081637789
