date,value
2013-05-20,948.81
2013-05-21,950.56
2013-05-22,948.91
2013-05-23,935.73
2013-05-24,934.73
2013-05-27,934.43
2013-05-28,937.83
2013-05-29,929.07
2013-05-30,930.78
2013-05-31,918.08
2013-06-03,918.88
2013-06-04,921.64
2013-06-05,907.72
2013-06-06,907.28
2013-06-07,914.56
2013-06-10,914.04
2013-06-11,907.68
2013-06-12,906.31
2013-06-13,907.77
2013-06-14,910
2013-06-17,917.42
2013-06-18,919.12
2013-06-19,913.98
2013-06-20,879.11
2013-06-21,875.64
2013-06-24,863.53
2013-06-25,870.64
2013-06-26,881.31
2013-06-27,887.81
2013-06-28,887.41
2013-07-01,892
2013-07-02,890.56
2013-07-03,883.11
2013-07-04,891.14
2013-07-05,886.84
2013-07-08,892.63
2013-07-09,897.83
2013-07-10,901.85
2013-07-11,917.81
2013-07-12,917.58
2013-07-15,920.23
2013-07-16,920.95
2013-07-17,922.24
2013-07-18,925.73
2013-07-19,926.23
2013-07-22,930.72
2013-07-23,932.8
2013-07-24,933.03
2013-07-25,931.11
2013-07-26,930.97
2013-07-29,928.63
2013-07-30,927.96
2013-07-31,926.3
2013-08-01,932.74
2013-08-02,937.51
2013-08-05,934.58
2013-08-06,933.04
2013-08-07,929.23
2013-08-08,935.6
2013-08-09,936.53
2013-08-12,935.7
2013-08-13,936.94
2013-08-14,937.66
2013-08-15,927.47
2013-08-16,928.78
2013-08-19,923.47
2013-08-20,920.43
2013-08-21,912.56
2013-08-22,916.68
2013-08-23,925.22
2013-08-26,921.82
2013-08-27,910.39
2013-08-28,906.16
2013-08-29,907.3
2013-08-30,903.11
2013-09-02,911.61
2013-09-03,909.56
2013-09-04,914.24
2013-09-05,915.96
2013-09-06,921.01
2013-09-09,928.46
2013-09-10,938.35
2013-09-11,942.5
2013-09-12,941.27
2013-09-13,941.27
2013-09-16,951.51
2013-09-17,951.54
2013-09-18,956.97
2013-09-19,968.23
2013-09-20,962.07
2013-09-23,959.49
2013-09-24,957.22
2013-09-25,956.51
2013-09-26,956.23
2013-09-27,954.93
2013-09-30,947.58
2013-10-01,953.16
2013-10-02,952.23
2013-10-03,950.53
2013-10-04,951.89
2013-10-07,947.08
2013-10-08,942.81
2013-10-09,938.83
2013-10-10,952.81
2013-10-11,959.04
2013-10-14,961.7
2013-10-15,962.08
2013-10-16,967.13
2013-10-17,977.87
2013-10-18,984.66
2013-10-21,986.36
2013-10-22,994.07
2013-10-23,987.23
2013-10-24,989.24
2013-10-25,990.29
2013-10-28,992.59
2013-10-29,996.07
2013-10-30,995.27
2013-10-31,989.24
2013-11-01,984.69
2013-11-04,987.99
2013-11-05,984.07
2013-11-06,991.31
2013-11-07,981.58
2013-11-08,980.15
2013-11-11,981.87
2013-11-12,979.26
2013-11-13,975.77
2013-11-14,983.56
2013-11-15,988.93
2013-11-18,995.65
2013-11-19,991.4
2013-11-20,988.15
2013-11-21,985.51
2013-11-22,988.89
2013-11-25,988.78
2013-11-26,984.69
2013-11-27,986.47
2013-11-28,988.89
2013-11-29,990.03
2013-12-02,984.38
2013-12-03,977.06
2013-12-04,971.04
2013-12-05,967.07
2013-12-06,975.93
2013-12-09,979.15
2013-12-10,976.25
2013-12-11,968.33
2013-12-12,958.53
2013-12-13,957.46
2013-12-16,963.92
2013-12-17,959.41
2013-12-18,968.85
2013-12-19,972.98
2013-12-20,977.07
2013-12-23,982.92
2013-12-24,984.85
2013-12-25,984.81
2013-12-26,987.04
2013-12-27,993.91
2013-12-30,996.02
2013-12-31,997.43
2014-01-02,985.46
2014-01-03,984.66
2014-01-06,981.64
2014-01-07,984.45
2014-01-08,983.25
2014-01-09,978.87
2014-01-10,985.7
2014-01-13,984.3
2014-01-14,986.11
2014-01-15,989.82
2014-01-16,989.92
2014-01-17,988.96
2014-01-20,988.27
2014-01-21,988.52
2014-01-22,989.57
2014-01-23,983.3
2014-01-24,966.39
2014-01-27,958.82
2014-01-28,961.88
2014-01-29,956.9
2014-01-30,957.44
2014-01-31,952.79
2014-02-03,940.71
2014-02-04,938.45
2014-02-05,938.39
2014-02-06,952.87
2014-02-07,961.81
2014-02-10,963.79
2014-02-11,975.57
2014-02-12,977.86
2014-02-13,979.55
2014-02-14,986.2
2014-02-17,989.32
2014-02-18,990.2
2014-02-19,989.31
2014-02-20,988.71
2014-02-21,991.76
2014-02-24,995.35
2014-02-25,994.93
2014-02-26,990.68
2014-02-27,992.63
2014-02-28,998.07
2014-03-03,983.06
2014-03-04,996.02
2014-03-05,996.98
2014-03-06,1002.95
2014-03-07,997.8
2014-03-10,993.66
2014-03-11,992.52
2014-03-12,987.02
2014-03-13,981.72
2014-03-14,976.22
2014-03-17,984.41
2014-03-18,991.31
2014-03-19,988.02
2014-03-20,983.72
2014-03-21,986.33
2014-03-24,984.37
2014-03-25,993.13
2014-03-26,997.83
2014-03-27,998.89
2014-03-28,1005.49
2014-03-31,1011.99
2014-04-01,1015.51
2014-04-02,1017.11
2014-04-03,1015.61
2014-04-04,1016.25
