date,value
2013-03-01,397.55
2013-03-04,397.62
2013-03-05,401.88
2013-03-06,402.92
2013-03-07,403.55
2013-03-08,404.93
2013-03-11,406.2
2013-03-12,405.52
2013-03-13,404.35
2013-03-14,406.83
2013-03-15,407.54
2013-03-18,403.72
2013-03-19,402.46
2013-03-20,404.39
2013-03-21,402.46
2013-03-22,403.33
2013-03-25,402.35
2013-03-26,404.09
2013-03-27,403.35
2013-03-28,404.78
2013-03-29,404.84
2013-04-01,402.84
2013-04-02,404.19
2013-04-03,401.54
2013-04-04,400.43
2013-04-05,399.3
2013-04-08,401.11
2013-04-09,403.05
2013-04-10,408.22
2013-04-11,410.98
2013-04-12,409.01
2013-04-15,401.62
2013-04-16,403.89
2013-04-17,399.12
2013-04-18,397.19
2013-04-19,399.95
2013-04-22,401.26
2013-04-23,405.28
2013-04-24,407.46
2013-04-25,410.15
2013-04-26,409.52
2013-04-29,412.3
2013-04-30,414.9
2013-05-01,412.22
2013-05-02,413.06
2013-05-03,416.48
2013-05-06,416.68
2013-05-07,419.65
2013-05-08,422.88
2013-05-09,421
2013-05-10,420.64
2013-05-13,420.58
2013-05-14,422.96
2013-05-15,424.06
2013-05-16,423.4
2013-05-17,424.7
2013-05-20,426.14
2013-05-21,426.66
2013-05-22,424.45
2013-05-23,418.64
2013-05-24,418.54
2013-05-27,417.81
2013-05-28,419.94
2013-05-29,417.67
2013-05-30,418.05
2013-05-31,413.15
2013-06-03,412.73
2013-06-04,413.04
2013-06-05,406.99
2013-06-06,407.69
2013-06-07,411.12
2013-06-10,411.6
2013-06-11,408.19
2013-06-12,406.78
2013-06-13,407.93
2013-06-14,408.31
2013-06-17,411.71
2013-06-18,413.03
2013-06-19,410.78
2013-06-20,396.48
2013-06-21,395.4
2013-06-24,389.49
2013-06-25,392.46
2013-06-26,396.21
2013-06-27,399.87
2013-06-28,400.31
2013-07-01,403.28
2013-07-02,403
2013-07-03,401.09
2013-07-04,403.34
2013-07-05,403.6
2013-07-08,405.02
2013-07-09,408.12
2013-07-10,409.39
2013-07-11,416.41
2013-07-12,417.01
2013-07-15,418
2013-07-16,417.9
2013-07-17,418.9
2013-07-18,420.83
2013-07-19,421.07
2013-07-22,423.11
2013-07-23,423.63
2013-07-24,422.97
2013-07-25,422.71
2013-07-26,422.16
2013-07-29,419.86
2013-07-30,420.37
2013-07-31,419.52
2013-08-01,424.13
2013-08-02,426.36
2013-08-05,425.78
2013-08-06,424.59
2013-08-07,421.99
2013-08-08,424.59
2013-08-09,424.67
2013-08-12,424.38
2013-08-13,425.39
2013-08-14,425.47
2013-08-15,420.29
2013-08-16,420.32
2013-08-19,417.86
