date,value
1997-01-01,407.809209
1997-01-02,404.907551
1997-01-03,407.256296
1997-01-06,408.626759
1997-01-07,409.65902
1997-01-08,408.371559
1997-01-09,407.887495
1997-01-10,406.000697
1997-01-13,408.484895
1997-01-14,411.285402
1997-01-15,411.915712
1997-01-16,413.886846
1997-01-17,414.348112
1997-01-20,412.767895
1997-01-21,412.767503
1997-01-22,414.379819
1997-01-23,412.262951
1997-01-24,409.529613
1997-01-27,406.264027
1997-01-28,405.896229
1997-01-29,407.183403
1997-01-30,409.395616
1997-01-31,412.153938
1997-02-03,411.997758
1997-02-04,412.790162
1997-02-05,410.09974
1997-02-06,410.29469
1997-02-07,411.212484
1997-02-10,412.708774
1997-02-11,412.832078
1997-02-12,415.966244
1997-02-13,418.500733
1997-02-14,418.805477
1997-02-17,418.565825
1997-02-18,419.405972
1997-02-19,419.098957
1997-02-20,418.8923
1997-02-21,419.414678
1997-02-24,422.180671
1997-02-25,423.778194
1997-02-26,420.936774
1997-02-27,418.701164
1997-02-28,416.364399
1997-03-03,416.034208
1997-03-04,416.06277
1997-03-05,417.804664
1997-03-06,417.38846
1997-03-07,418.958336
1997-03-10,421.979017
1997-03-11,422.265789
1997-03-12,418.93355
1997-03-13,414.429969
1997-03-14,414.955006
1997-03-17,413.985713
1997-03-18,413.217741
1997-03-19,412.102666
1997-03-20,409.415172
1997-03-21,411.344883
1997-03-24,411.067723
1997-03-25,412.441498
1997-03-26,414.311596
1997-03-27,411.483282
1997-03-28,411.259626
1997-03-31,407.007427
1997-04-01,404.174019
1997-04-02,402.761745
1997-04-03,401.772316
1997-04-04,402.808786
1997-04-07,402.864225
1997-04-08,403.928008
1997-04-09,402.53561
1997-04-10,400.825807
1997-04-11,396.154074
1997-04-14,395.398438
1997-04-15,399.059292
1997-04-16,401.860283
1997-04-17,402.574604
1997-04-18,404.524183
1997-04-21,404.864282
1997-04-22,406.902411
1997-04-23,408.383265
1997-04-24,407.904279
1997-04-25,404.955067
