date,value
1998-12-31,348.039176
1999-01-01,348.039246
1999-01-04,351.667485
1999-01-05,355.244053
1999-01-06,362.028357
1999-01-07,361.071409
1999-01-08,360.704217
1999-01-11,357.511609
1999-01-12,351.36673
1999-01-13,346.100034
1999-01-14,343.586906
1999-01-15,349.067392
1999-01-18,352.150539
1999-01-19,352.981621
1999-01-20,355.183335
1999-01-21,350.921142
1999-01-22,345.48398
1999-01-25,346.925792
1999-01-26,350.519888
1999-01-27,349.251929
1999-01-28,352.318304
1999-01-29,354.932611
1999-02-01,355.603216
1999-02-02,354.19168
1999-02-03,353.747029
1999-02-04,349.721058
1999-02-05,347.256276
1999-02-08,346.699316
1999-02-09,340.322998
1999-02-10,340.661525
1999-02-11,346.532184
1999-02-12,344.829615
1999-02-15,344.828421
1999-02-16,345.859856
1999-02-17,342.764528
1999-02-18,344.255465
1999-02-19,343.854144
1999-02-22,349.604228
1999-02-23,350.561002
1999-02-24,348.888799
1999-02-25,347.486772
1999-02-26,345.919252
1999-03-01,343.49644
1999-03-02,341.758924
1999-03-03,341.012255
1999-03-04,343.420588
1999-03-05,351.849711
1999-03-08,353.238123
1999-03-09,354.265879
1999-03-10,357.165442
1999-03-11,359.467401
1999-03-12,360.669831
1999-03-15,363.194236
1999-03-16,364.109179
1999-03-17,363.419803
1999-03-18,364.651027
1999-03-19,364.677314
1999-03-22,363.312764
1999-03-23,356.050425
1999-03-24,355.061444
1999-03-25,360.259855
1999-03-26,357.584175
1999-03-29,362.902687
1999-03-30,361.992669
1999-03-31,361.819307
1999-04-01,364.036644
1999-04-02,363.76825
1999-04-05,366.924036
1999-04-06,369.19187
1999-04-07,371.832697
1999-04-08,376.084702
1999-04-09,376.5206
1999-04-12,377.988494
1999-04-13,378.17403
1999-04-14,375.990947
1999-04-15,373.459018
1999-04-16,373.377479
1999-04-19,370.263855
1999-04-20,369.807495
1999-04-21,373.406088
1999-04-22,377.722995
1999-04-23,378.629864
1999-04-26,380.044438
1999-04-27,382.618581
1999-04-28,380.70889
1999-04-29,378.355668
1999-04-30,377.429504
1999-05-03,380.542544
1999-05-04,377.907453
1999-05-05,379.215245
1999-05-06,379.630348
1999-05-07,379.917894
1999-05-10,380.020719
1999-05-11,380.796467
1999-05-12,380.62291
1999-05-13,381.237739
1999-05-14,375.113857
1999-05-17,371.925439
1999-05-18,372.505526
1999-05-19,374.001409
1999-05-20,374.093069
1999-05-21,372.102118
1999-05-24,368.435556
1999-05-25,363.886695
1999-05-26,365.930513
1999-05-27,361.117451
1999-05-28,364.238503
1999-05-31,364.429966
1999-06-01,364.599169
1999-06-02,365.273697
1999-06-03,366.444856
1999-06-04,371.295213
1999-06-07,374.032708
1999-06-08,373.694661
1999-06-09,374.639894
1999-06-10,372.655695
1999-06-11,373.278246
1999-06-14,371.046128
1999-06-15,372.177945
1999-06-16,376.991024
1999-06-17,379.862281
1999-06-18,380.961128
1999-06-21,382.973588
1999-06-22,381.023956
1999-06-23,378.337504
1999-06-24,374.930051
1999-06-25,375.647307
1999-06-28,377.920588
1999-06-29,380.75742
1999-06-30,382.749193
1999-07-01,387.459736
1999-07-02,390.344546
1999-07-05,393.187034
1999-07-06,392.11862
1999-07-07,391.478732
1999-07-08,390.130053
1999-07-09,391.471827
1999-07-12,390.992017
1999-07-13,389.066494
1999-07-14,390.940298
1999-07-15,394.970153
1999-07-16,395.164575
1999-07-19,394.051671
1999-07-20,389.477848
1999-07-21,388.73003
1999-07-22,384.385513
1999-07-23,381.173264
1999-07-26,379.865664
1999-07-27,382.469839
1999-07-28,384.135819
1999-07-29,380.241386
1999-07-30,381.026597
1999-08-02,379.853131
1999-08-03,379.067565
1999-08-04,376.830181
1999-08-05,374.804029
1999-08-06,372.068194
1999-08-09,371.338711
1999-08-10,367.801011
1999-08-11,370.242036
1999-08-12,372.641815
1999-08-13,377.875235
1999-08-16,380.501465
1999-08-17,381.887364
1999-08-18,381.300702
1999-08-19,379.831859
1999-08-20,384.356114
1999-08-23,389.857002
1999-08-24,389.53651
1999-08-25,392.579305
1999-08-26,388.790429
1999-08-27,386.959103
1999-08-30,384.116124
1999-08-31,380.660857
1999-09-01,384.65793
1999-09-02,382.367244
1999-09-03,389.007727
1999-09-06,390.793923
1999-09-07,388.639453
1999-09-08,387.438057
1999-09-09,390.269815
1999-09-10,390.379896
1999-09-13,389.361888
1999-09-14,387.858544
1999-09-15,384.525414
1999-09-16,382.36045
1999-09-17,384.227945
1999-09-20,385.577993
1999-09-21,382.268436
1999-09-22,380.517865
1999-09-23,376.368893
1999-09-24,373.313329
1999-09-27,374.389173
1999-09-28,375.071407
1999-09-29,372.802936
1999-09-30,376.565229
1999-10-01,377.035364
1999-10-04,381.05924
1999-10-05,380.933939
1999-10-06,385.178739
1999-10-07,386.216376
1999-10-08,388.108707
1999-10-11,388.764577
1999-10-12,385.469711
1999-10-13,379.155257
1999-10-14,379.278932
1999-10-15,372.251016
1999-10-18,370.163891
1999-10-19,373.435302
1999-10-20,378.330682
1999-10-21,377.449489
1999-10-22,381.482299
1999-10-25,380.398306
1999-10-26,379.620585
1999-10-27,380.142776
1999-10-28,388.245219
1999-10-29,395.399985
1999-11-01,394.277649
1999-11-02,393.624004
1999-11-03,394.82334
1999-11-04,397.776466
1999-11-05,398.163778
1999-11-08,398.761139
1999-11-09,398.370092
1999-11-10,401.27504
1999-11-11,403.603119
1999-11-12,404.910932
1999-11-15,405.660396
1999-11-16,409.450222
1999-11-17,409.389194
1999-11-18,412.626745
1999-11-19,412.555341
1999-11-22,412.717353
1999-11-23,411.537817
1999-11-24,411.757698
1999-11-25,413.812556
1999-11-26,415.191003
1999-11-29,413.642375
1999-11-30,407.626365
1999-12-01,410.386068
1999-12-02,412.280119
1999-12-03,418.51508
1999-12-06,420.004928
1999-12-07,419.479441
1999-12-08,418.036481
1999-12-09,419.340963
1999-12-10,420.853054
1999-12-13,420.47388
1999-12-14,417.666129
1999-12-15,417.911953
1999-12-16,421.271464
1999-12-17,422.586046
1999-12-20,423.91518
1999-12-21,425.421911
1999-12-22,428.634974
1999-12-23,434.630115
1999-12-24,435.87509
1999-12-27,435.153963
1999-12-28,436.657927
1999-12-29,438.685026
1999-12-30,440.870263
1999-12-31,441.473686
2000-01-03,442.203103
2000-01-04,429.461083
