date,value
1997-01-01,461.940574
1997-01-02,461.148558
1997-01-03,462.944474
1997-01-06,465.834735
1997-01-07,470.345888
1997-01-08,475.546721
1997-01-09,477.060853
1997-01-10,479.131178
1997-01-13,480.187305
1997-01-14,482.450501
1997-01-15,487.135969
1997-01-16,487.19612
1997-01-17,489.201736
1997-01-20,491.593853
1997-01-21,490.490578
1997-01-22,491.174352
1997-01-23,492.612349
1997-01-24,492.19079
1997-01-27,493.331074
1997-01-28,492.66952
1997-01-29,489.950632
1997-01-30,492.17263
1997-01-31,493.011604
1997-02-03,495.0241
1997-02-04,495.454155
1997-02-05,498.12356
1997-02-06,499.981916
1997-02-07,502.195399
1997-02-10,504.165524
1997-02-11,504.958691
1997-02-12,509.713018
1997-02-13,511.438723
1997-02-14,511.053208
1997-02-17,513.47755
1997-02-18,513.184389
1997-02-19,515.898048
1997-02-20,516.455647
1997-02-21,517.049051
1997-02-24,519.464272
1997-02-25,523.008896
1997-02-26,519.763224
1997-02-27,514.948115
1997-02-28,516.661579
1997-03-03,515.723249
1997-03-04,514.500839
1997-03-05,513.564598
1997-03-06,513.865264
1997-03-07,515.531482
1997-03-10,517.578218
1997-03-11,519.406802
1997-03-12,517.439433
1997-03-13,516.268458
1997-03-14,513.790227
1997-03-17,513.653264
1997-03-18,512.858386
1997-03-19,511.829497
1997-03-20,512.130259
1997-03-21,508.415756
1997-03-24,506.521182
1997-03-25,507.801276
1997-03-26,509.477364
1997-03-27,509.623002
1997-03-28,509.393955
1997-03-31,503.737519
1997-04-01,501.111358
1997-04-02,502.167229
1997-04-03,500.366354
1997-04-04,501.49227
1997-04-07,502.808695
1997-04-08,503.440542
1997-04-09,505.402004
1997-04-10,502.267734
1997-04-11,499.734419
1997-04-14,494.609485
1997-04-15,493.329246
1997-04-16,494.515044
1997-04-17,493.727528
1997-04-18,492.978244
1997-04-21,495.943248
1997-04-22,495.768513
1997-04-23,498.533686
1997-04-24,497.10531
1997-04-25,496.517243
1997-04-28,494.585658
1997-04-29,492.36941
1997-04-30,494.374153
1997-05-01,494.689713
1997-05-02,494.200017
1997-05-05,494.812887
1997-05-06,495.649616
1997-05-07,494.843887
1997-05-08,495.09929
1997-05-09,494.952213
1997-05-12,491.701308
1997-05-13,491.082772
1997-05-14,488.80503
1997-05-15,486.433259
1997-05-16,487.507311
1997-05-19,488.994787
1997-05-20,490.859865
1997-05-21,492.675516
1997-05-22,493.261722
1997-05-23,494.683783
1997-05-26,495.672172
1997-05-27,495.899284
1997-05-28,497.263164
1997-05-29,498.892759
1997-05-30,501.47237
1997-06-02,506.529037
1997-06-03,507.205707
1997-06-04,506.808086
1997-06-05,507.242684
1997-06-06,509.868466
1997-06-09,511.033913
1997-06-10,511.445527
1997-06-11,512.497008
1997-06-12,516.172169
1997-06-13,515.616231
1997-06-16,518.674065
1997-06-17,518.811241
1997-06-18,519.562121
1997-06-19,519.548396
1997-06-20,521.86439
1997-06-23,523.669586
1997-06-24,524.783858
1997-06-25,525.710152
1997-06-26,524.739374
1997-06-27,525.483096
1997-06-30,526.385244
1997-07-01,530.205481
1997-07-02,533.218145
1997-07-03,534.259969
1997-07-04,537.288729
1997-07-07,537.739744
1997-07-08,539.285093
1997-07-09,538.844581
1997-07-10,538.286951
1997-07-11,534.185704
1997-07-14,529.430525
1997-07-15,518.953522
1997-07-16,523.428666
1997-07-17,520.592679
1997-07-18,515.280935
1997-07-21,514.391917
1997-07-22,518.628266
1997-07-23,521.072915
1997-07-24,524.210484
1997-07-25,525.752905
1997-07-28,529.21484
1997-07-29,531.586515
1997-07-30,531.514573
1997-07-31,531.354962
1997-08-01,525.915612
1997-08-04,526.329966
1997-08-05,524.773033
1997-08-06,529.080532
1997-08-07,524.597383
1997-08-08,522.058803
1997-08-11,516.721628
1997-08-12,513.680274
1997-08-13,511.821952
1997-08-14,509.55459
1997-08-15,503.820996
1997-08-18,495.665487
1997-08-19,495.492494
1997-08-20,498.792752
1997-08-21,500.097477
1997-08-22,495.05768
1997-08-25,492.698922
1997-08-26,491.341408
1997-08-27,488.994877
1997-08-28,473.930057
1997-08-29,463.210495
1997-09-01,454.217939
1997-09-02,459.074798
1997-09-03,461.423071
1997-09-04,460.988696
1997-09-05,476.021912
1997-09-08,482.168469
1997-09-09,482.952858
1997-09-10,476.427241
1997-09-11,469.624695
1997-09-12,472.365472
1997-09-15,468.241577
1997-09-16,467.238911
1997-09-17,469.445323
1997-09-18,469.578527
1997-09-19,470.270425
1997-09-22,466.534159
1997-09-23,466.005259
1997-09-24,466.586642
1997-09-25,465.729371
1997-09-26,466.110248
1997-09-29,466.256389
1997-09-30,468.641634
1997-10-01,465.819434
1997-10-02,467.563219
1997-10-03,466.06189
1997-10-06,465.173122
1997-10-07,464.971189
1997-10-08,467.665646
1997-10-09,471.440017
1997-10-10,473.90209
1997-10-13,473.357053
1997-10-14,474.902766
1997-10-15,470.872262
1997-10-16,467.068209
1997-10-17,462.834984
1997-10-20,456.196279
1997-10-21,459.788035
1997-10-22,457.952448
1997-10-23,444.905651
1997-10-24,436.698615
1997-10-27,406.897673
1997-10-28,393.681891
1997-10-29,397.588078
1997-10-30,384.998285
1997-10-31,389.393198
1997-11-03,407.508172
1997-11-04,412.720729
1997-11-05,413.412939
1997-11-06,409.583168
1997-11-07,395.590204
1997-11-10,393.352722
1997-11-11,390.810963
1997-11-12,377.408123
1997-11-13,374.802606
1997-11-14,376.674905
1997-11-17,381.676551
1997-11-18,376.005835
1997-11-19,373.334613
1997-11-20,368.549231
1997-11-21,377.2283
1997-11-24,369.556589
1997-11-25,366.468971
1997-11-26,368.127352
1997-11-27,372.754336
1997-11-28,369.653804
1997-12-01,366.790031
1997-12-02,369.794413
1997-12-03,371.309156
1997-12-04,376.214855
1997-12-05,376.551602
1997-12-08,381.033183
1997-12-09,374.614037
1997-12-10,369.957619
1997-12-11,357.00313
1997-12-12,353.310061
1997-12-15,355.844713
1997-12-16,358.499904
1997-12-17,364.071482
1997-12-18,363.636231
1997-12-19,356.871531
1997-12-22,357.549369
1997-12-23,355.331287
1997-12-24,355.262425
1997-12-25,355.237607
1997-12-26,360.299159
1997-12-29,365.853513
1997-12-30,370.155712
1997-12-31,371.281128
1998-01-01,371.302798
1998-01-02,370.986785
1998-01-05,367.222264
1998-01-06,357.019169
1998-01-07,350.516988
1998-01-08,340.879387
1998-01-09,331.524914
1998-01-12,319.903734
1998-01-13,327.678602
1998-01-14,333.804958
1998-01-15,329.78869
1998-01-16,336.225395
1998-01-19,345.576586
1998-01-20,343.641962
1998-01-21,340.919985
1998-01-22,336.746802
1998-01-23,333.569326
1998-01-26,336.004092
1998-01-27,338.256073
1998-01-28,338.914801
1998-01-29,339.865779
1998-01-30,345.209618
1998-02-02,355.751752
1998-02-03,360.843541
1998-02-04,356.99478
1998-02-05,361.59652
1998-02-06,364.254767
1998-02-09,365.562126
1998-02-10,369.216474
1998-02-11,372.049503
1998-02-12,365.015336
1998-02-13,361.74933
1998-02-16,358.27607
1998-02-17,362.386673
1998-02-18,364.094703
1998-02-19,367.145046
1998-02-20,367.287608
1998-02-23,369.313081
1998-02-24,370.292477
1998-02-25,372.797113
1998-02-26,378.320829
1998-02-27,381.837817
1998-03-02,388.391792
1998-03-03,384.409487
1998-03-04,380.689707
1998-03-05,373.388579
1998-03-06,376.203827
1998-03-09,376.057326
1998-03-10,379.539215
1998-03-11,382.306101
1998-03-12,382.798931
1998-03-13,386.698537
1998-03-16,386.968122
1998-03-17,387.233116
1998-03-18,385.962401
1998-03-19,388.056862
1998-03-20,390.003652
1998-03-23,394.531428
1998-03-24,393.175309
1998-03-25,395.842316
1998-03-26,395.952711
1998-03-27,398.110503
1998-03-30,394.49385
1998-03-31,394.848726
1998-04-01,393.507005
1998-04-02,393.080824
1998-04-03,390.386922
1998-04-06,394.575375
1998-04-07,395.026278
1998-04-08,395.955872
1998-04-09,397.149864
1998-04-10,397.120523
1998-04-13,397.261696
1998-04-14,398.355662
