date,value
2000-05-31,1000
2000-06-01,1020.574923
2000-06-02,1052.441173
2000-06-05,1049.490953
2000-06-06,1047.125855
2000-06-07,1052.725509
2000-06-08,1046.023891
2000-06-09,1043.046409
2000-06-12,1039.771312
2000-06-13,1052.281886
2000-06-14,1055.290253
2000-06-15,1056.680242
2000-06-16,1051.80764
2000-06-19,1066.976452
2000-06-20,1070.254364
2000-06-21,1069.383616
2000-06-22,1052.574658
2000-06-23,1042.311711
2000-06-26,1045.636458
2000-06-27,1042.561371
2000-06-28,1046.792167
2000-06-29,1031.003171
2000-06-30,1046.206158
2000-07-03,1055.465405
2000-07-04,1053.553636
2000-07-05,1037.302992
2000-07-06,1044.425619
2000-07-07,1063.815271
2000-07-10,1063.704874
2000-07-11,1060.528451
2000-07-12,1068.300839
2000-07-13,1068.552787
2000-07-14,1077.128699
2000-07-17,1081.11184
2000-07-18,1064.644547
2000-07-19,1057.607542
2000-07-20,1067.27265
2000-07-21,1050.668788
2000-07-24,1040.011924
2000-07-25,1045.989242
2000-07-26,1037.706434
2000-07-27,1026.324108
2000-07-28,1003.332252
2000-07-31,1012.748059
2000-08-01,1012.464988
2000-08-02,1006.518919
2000-08-03,1009.822588
2000-08-04,1016.071823
2000-08-07,1021.596775
2000-08-08,1023.016492
2000-08-09,1024.260322
2000-08-10,1016.777879
2000-08-11,1019.169999
2000-08-14,1031.722589
2000-08-15,1030.69186
2000-08-16,1026.783597
2000-08-17,1032.968013
2000-08-18,1032.586392
2000-08-21,1033.224611
2000-08-22,1032.623077
2000-08-23,1039.864097
2000-08-24,1043.068882
2000-08-25,1044.46591
2000-08-28,1051.761469
2000-08-29,1050.640169
2000-08-30,1042.36583
2000-08-31,1050.448146
2000-09-01,1064.376172
2000-09-04,1067.849378
2000-09-05,1050.055556
2000-09-06,1032.063263
2000-09-07,1039.790623
2000-09-08,1029.584654
2000-09-11,1019.60743
2000-09-12,1011.671062
2000-09-13,1011.54886
2000-09-14,1011.430365
2000-09-15,999.688433
2000-09-18,989.939847
2000-09-19,1001.017284
2000-09-20,996.074175
2000-09-21,990.130857
2000-09-22,978.192863
