date,value
1998-11-30,208.721081
1998-12-01,207.829659
1998-12-02,208.496605
1998-12-03,206.959312
1998-12-04,208.96733
1998-12-07,210.371064
1998-12-08,209.577498
1998-12-09,210.291399
1998-12-10,209.176131
1998-12-11,208.46933
1998-12-14,205.866043
1998-12-15,207.045965
1998-12-16,207.899689
1998-12-17,210.727524
1998-12-18,211.51783
1998-12-21,214.760027
1998-12-22,216.016556
1998-12-23,218.727173
1998-12-24,218.354021
1998-12-25,218.452393
1998-12-28,220.625128
1998-12-29,223.086491
1998-12-30,221.829467
1998-12-31,222.569486
1999-01-01,222.569498
1999-01-04,224.745916
1999-01-05,226.091869
1999-01-06,230.288696
1999-01-07,229.552063
1999-01-08,229.546972
1999-01-11,229.468483
1999-01-12,225.646154
1999-01-13,221.964787
1999-01-14,220.652756
1999-01-15,223.547284
1999-01-18,224.880295
1999-01-19,225.666616
1999-01-20,224.965051
1999-01-21,221.948442
1999-01-22,219.449647
1999-01-25,220.653492
1999-01-26,222.576413
1999-01-27,223.371816
1999-01-28,225.147737
1999-01-29,226.431357
1999-02-01,226.876961
1999-02-02,225.910093
1999-02-03,226.234599
1999-02-04,224.826547
1999-02-05,222.940504
1999-02-08,222.907604
1999-02-09,218.88474
1999-02-10,217.735563
1999-02-11,220.670973
1999-02-12,219.439632
1999-02-15,219.227769
1999-02-16,220.284723
1999-02-17,218.304405
1999-02-18,218.643389
1999-02-19,218.583423
1999-02-22,222.038758
1999-02-23,222.777072
1999-02-24,221.763202
1999-02-25,221.027765
1999-02-26,220.169919
1999-03-01,219.340122
1999-03-02,219.340148
1999-03-03,219.163402
1999-03-04,219.274741
1999-03-05,223.290744
1999-03-08,224.15328
1999-03-09,224.120881
1999-03-10,225.493177
1999-03-11,226.184676
1999-03-12,227.394826
1999-03-15,228.962004
1999-03-16,229.531711
1999-03-17,229.644339
1999-03-18,231.063815
1999-03-19,231.370014
1999-03-22,231.381006
1999-03-23,227.276347
1999-03-24,227.220711
1999-03-25,231.624321
1999-03-26,229.674442
1999-03-29,232.368717
1999-03-30,232.582089
1999-03-31,233.552861
1999-04-01,233.735298
1999-04-02,233.437327
1999-04-05,236.653113
1999-04-06,237.63748
1999-04-07,238.832286
1999-04-08,241.180378
1999-04-09,242.825475
1999-04-12,243.616892
1999-04-13,245.626956
1999-04-14,243.853131
1999-04-15,240.984526
1999-04-16,240.478494
1999-04-19,236.32592
1999-04-20,236.836271
1999-04-21,241.505911
1999-04-22,243.94248
1999-04-23,243.614658
1999-04-26,244.918309
1999-04-27,245.862328
1999-04-28,244.073377
1999-04-29,242.65074
1999-04-30,242.723339
1999-05-03,243.203299
1999-05-04,242.200059
1999-05-05,243.580035
1999-05-06,243.874481
1999-05-07,243.4532
1999-05-10,245.632994
1999-05-11,247.909476
1999-05-12,247.923514
1999-05-13,247.19408
1999-05-14,242.987634
1999-05-17,242.147636
1999-05-18,242.10023
1999-05-19,242.74402
1999-05-20,241.991117
1999-05-21,240.693103
1999-05-24,237.945723
1999-05-25,234.714959
1999-05-26,236.215128
1999-05-27,233.487571
1999-05-28,234.823656
1999-05-31,234.970692
1999-06-01,235.282882
1999-06-02,235.064668
1999-06-03,235.710265
1999-06-04,238.874646
1999-06-07,240.376014
1999-06-08,239.970478
1999-06-09,240.337924
1999-06-10,239.263088
1999-06-11,239.19785
1999-06-14,236.397376
1999-06-15,236.763211
1999-06-16,240.418477
1999-06-17,242.566382
1999-06-18,244.264201
1999-06-21,246.106721
1999-06-22,244.151293
1999-06-23,243.369063
1999-06-24,241.609135
1999-06-25,241.879708
1999-06-28,243.127191
1999-06-29,244.60226
1999-06-30,245.437771
1999-07-01,247.404051
1999-07-02,249.715521
1999-07-05,250.9541
1999-07-06,250.928383
1999-07-07,250.650948
1999-07-08,250.71801
1999-07-09,251.54307
1999-07-12,250.231113
1999-07-13,248.982146
1999-07-14,250.33301
1999-07-15,252.499386
1999-07-16,251.489483
1999-07-19,250.63061
1999-07-20,248.688444
1999-07-21,248.714191
1999-07-22,246.217402
1999-07-23,244.368086
1999-07-26,243.39753
1999-07-27,244.193046
1999-07-28,245.058147
1999-07-29,242.964099
1999-07-30,243.738575
1999-08-02,243.196921
1999-08-03,241.173912
1999-08-04,240.234914
1999-08-05,238.638771
1999-08-06,237.298571
1999-08-09,235.963158
1999-08-10,233.273531
1999-08-11,235.453632
1999-08-12,236.895636
1999-08-13,239.717641
1999-08-16,241.591256
1999-08-17,241.647595
1999-08-18,240.603502
1999-08-19,239.847234
1999-08-20,242.565426
1999-08-23,244.814863
1999-08-24,243.589159
1999-08-25,245.795137
1999-08-26,243.449787
1999-08-27,242.381609
1999-08-30,240.415014
1999-08-31,239.621218
1999-09-01,241.677572
1999-09-02,240.823576
1999-09-03,244.285237
1999-09-06,245.43233
1999-09-07,244.925979
1999-09-08,243.942254
1999-09-09,244.740535
1999-09-10,245.265033
1999-09-13,243.114981
1999-09-14,242.379926
1999-09-15,239.842799
1999-09-16,238.15307
1999-09-17,239.917361
1999-09-20,240.266378
1999-09-21,238.241613
1999-09-22,237.17273
1999-09-23,235.483877
1999-09-24,233.847761
1999-09-27,235.143296
1999-09-28,235.548202
1999-09-29,235.253253
1999-09-30,236.439123
1999-10-01,237.646965
1999-10-04,241.188922
1999-10-05,241.855254
1999-10-06,243.548507
1999-10-07,244.003305
1999-10-08,244.261512
1999-10-11,244.712512
1999-10-12,242.010054
1999-10-13,238.245684
1999-10-14,238.625445
1999-10-15,234.852736
1999-10-18,232.327509
1999-10-19,234.222532
1999-10-20,235.465819
1999-10-21,235.406775
1999-10-22,237.15328
1999-10-25,236.688265
1999-10-26,235.660016
1999-10-27,235.95696
1999-10-28,241.28466
1999-10-29,245.846844
1999-11-01,245.525005
1999-11-02,246.434023
1999-11-03,248.473465
1999-11-04,249.654026
1999-11-05,250.677278
1999-11-08,250.223831
1999-11-09,249.887413
1999-11-10,252.228779
1999-11-11,254.153988
1999-11-12,256.148072
1999-11-15,257.364418
1999-11-16,259.784948
1999-11-17,260.789219
1999-11-18,263.503642
1999-11-19,263.938239
1999-11-22,263.494999
1999-11-23,262.693178
1999-11-24,260.934702
1999-11-25,262.582544
1999-11-26,263.794377
1999-11-29,263.369899
1999-11-30,259.29551
1999-12-01,260.30002
1999-12-02,262.995004
1999-12-03,267.091085
1999-12-06,268.230124
1999-12-07,269.012715
1999-12-08,268.958694
1999-12-09,269.000491
1999-12-10,270.641934
1999-12-13,270.265502
1999-12-14,268.772732
1999-12-15,269.764215
1999-12-16,273.222936
1999-12-17,273.7411
1999-12-20,274.327963
1999-12-21,275.443705
1999-12-22,278.607915
1999-12-23,282.948886
1999-12-24,283.902618
1999-12-27,284.312336
1999-12-28,285.357993
1999-12-29,290.662087
1999-12-30,292.710829
1999-12-31,293.699166
2000-01-03,296.525455
2000-01-04,286.616271
2000-01-05,280.988735
2000-01-06,277.836734
2000-01-07,285.208782
2000-01-10,290.464116
2000-01-11,288.856258
2000-01-12,285.633779
2000-01-13,287.950225
2000-01-14,288.945773
2000-01-17,289.431929
2000-01-18,287.470537
2000-01-19,286.893376
2000-01-20,287.22625
2000-01-21,286.887762
2000-01-24,281.89061
2000-01-25,282.144751
2000-01-26,280.254838
2000-01-27,277.507716
2000-01-28,272.637554
