date,value
1997-11-28,184.205247
1997-12-01,186.460412
1997-12-02,188.045527
1997-12-03,187.741863
1997-12-04,187.921247
1997-12-05,188.607403
1997-12-08,190.617173
1997-12-09,190.047802
1997-12-10,188.899517
1997-12-11,182.727711
1997-12-12,181.66304
1997-12-15,180.959163
1997-12-16,180.245273
1997-12-17,183.547584
1997-12-18,182.508612
1997-12-19,178.801147
1997-12-22,176.964185
1997-12-23,176.678183
1997-12-24,176.113884
1997-12-25,176.115272
1997-12-26,176.367287
1997-12-29,178.338263
1997-12-30,181.569204
1997-12-31,182.280347
1998-01-01,182.280347
1998-01-02,181.636145
1998-01-05,180.343785
1998-01-06,177.922702
1998-01-07,175.350223
1998-01-08,172.231183
1998-01-09,168.649721
1998-01-12,163.912961
1998-01-13,167.756151
1998-01-14,171.436682
1998-01-15,169.949546
1998-01-16,173.458011
1998-01-19,177.844987
1998-01-20,178.1487
1998-01-21,179.345729
1998-01-22,178.186787
1998-01-23,178.576307
1998-01-26,181.152422
1998-01-27,183.13153
1998-01-28,184.342142
1998-01-29,183.397806
1998-01-30,182.726892
1998-02-02,189.12181
1998-02-03,193.075847
1998-02-04,193.304481
1998-02-05,196.147648
1998-02-06,197.884576
1998-02-09,199.768439
1998-02-10,203.367759
1998-02-11,203.628819
1998-02-12,201.133506
1998-02-13,196.964258
1998-02-16,194.657474
1998-02-17,196.824734
1998-02-18,198.795437
1998-02-19,198.708593
1998-02-20,198.879327
1998-02-23,199.260636
1998-02-24,199.151191
1998-02-25,199.871594
1998-02-26,202.77547
1998-02-27,205.88357
1998-03-02,208.507625
1998-03-03,207.70645
1998-03-04,205.478679
1998-03-05,201.90988
1998-03-06,204.693493
1998-03-09,204.461245
1998-03-10,206.534849
1998-03-11,205.963932
1998-03-12,205.546356
1998-03-13,209.100532
1998-03-16,209.98476
1998-03-17,210.622199
1998-03-18,210.20301
1998-03-19,211.679391
1998-03-20,212.92941
1998-03-23,213.485071
1998-03-24,213.909273
1998-03-25,216.078955
1998-03-26,215.986557
1998-03-27,216.001833
1998-03-30,213.023063
1998-03-31,213.153289
1998-04-01,212.097529
1998-04-02,210.71315
1998-04-03,209.420605
1998-04-06,211.330197
1998-04-07,211.109708
1998-04-08,212.678599
1998-04-09,214.825061
1998-04-10,214.734607
1998-04-13,214.030686
1998-04-14,216.366138
1998-04-15,216.841215
1998-04-16,212.49074
1998-04-17,211.936119
1998-04-20,212.976505
1998-04-21,213.733556
1998-04-22,212.727133
1998-04-23,210.737479
1998-04-24,209.468209
1998-04-27,203.770234
1998-04-28,204.814463
1998-04-29,204.975395
1998-04-30,207.633089
1998-05-01,209.781479
1998-05-04,211.130529
1998-05-05,209.856127
1998-05-06,209.391709
1998-05-07,209.077747
1998-05-08,210.001165
1998-05-11,211.759608
1998-05-12,209.514201
1998-05-13,207.492763
1998-05-14,207.080336
1998-05-15,206.625828
1998-05-18,203.370158
1998-05-19,204.38723
1998-05-20,206.621776
1998-05-21,208.76853
1998-05-22,207.822212
1998-05-25,207.434961
1998-05-26,206.160168
1998-05-27,202.04902
1998-05-28,201.656923
1998-05-29,201.082301
1998-06-01,197.734141
1998-06-02,198.549727
1998-06-03,200.251261
1998-06-04,198.809408
1998-06-05,198.232203
1998-06-08,197.161561
1998-06-09,196.692466
1998-06-10,192.601241
