date,value
1997-01-01,931.560469
1997-01-02,925.368461
1997-01-03,928.329002
1997-01-06,931.540736
1997-01-07,931.449144
1997-01-08,928.740641
1997-01-09,926.444343
1997-01-10,921.011372
1997-01-13,929.716294
1997-01-14,933.485137
1997-01-15,935.202097
1997-01-16,939.815708
1997-01-17,940.01272
1997-01-20,933.856678
1997-01-21,930.459556
1997-01-22,933.305913
1997-01-23,929.81758
1997-01-24,924.880605
1997-01-27,917.970504
1997-01-28,917.420712
1997-01-29,920.152572
1997-01-30,921.83312
1997-01-31,930.164134
1997-02-03,929.067217
1997-02-04,930.342654
1997-02-05,926.961144
1997-02-06,926.267149
1997-02-07,925.578883
1997-02-10,931.683898
1997-02-11,930.238539
1997-02-12,934.802497
1997-02-13,938.943845
1997-02-14,940.988207
1997-02-17,939.420509
1997-02-18,939.344715
1997-02-19,939.623211
1997-02-20,943.058479
1997-02-21,945.236531
1997-02-24,950.67134
1997-02-25,954.375201
1997-02-26,948.15295
1997-02-27,945.98849
1997-02-28,941.75727
1997-03-03,939.151223
1997-03-04,938.70226
1997-03-05,940.535709
1997-03-06,939.451389
1997-03-07,942.562876
1997-03-10,947.743532
1997-03-11,949.806194
1997-03-12,942.875468
1997-03-13,934.04268
1997-03-14,936.32639
1997-03-17,933.249493
1997-03-18,932.874873
1997-03-19,932.552568
1997-03-20,923.856115
1997-03-21,929.660478
1997-03-24,926.961035
1997-03-25,930.79731
1997-03-26,934.353806
1997-03-27,931.252815
1997-03-28,930.836887
1997-03-31,925.24958
1997-04-01,916.342411
1997-04-02,914.902118
1997-04-03,910.691805
1997-04-04,908.343689
1997-04-07,904.416666
1997-04-08,907.289085
1997-04-09,903.878874
1997-04-10,900.532297
1997-04-11,894.250217
1997-04-14,890.049198
1997-04-15,896.700417
1997-04-16,902.392755
1997-04-17,906.325966
1997-04-18,910.82874
1997-04-21,914.878259
1997-04-22,915.934512
1997-04-23,919.62908
1997-04-24,917.353052
1997-04-25,911.430781
1997-04-28,911.272954
1997-04-29,918.73234
1997-04-30,927.075718
1997-05-01,932.291984
1997-05-02,939.042236
1997-05-05,945.746326
1997-05-06,957.273951
1997-05-07,955.347305
1997-05-08,959.193474
1997-05-09,965.646773
1997-05-12,978.976427
1997-05-13,979.114165
1997-05-14,982.338915
1997-05-15,986.401343
1997-05-16,990.539329
1997-05-19,988.783991
1997-05-20,995.69258
1997-05-21,994.7293
1997-05-22,990.883548
1997-05-23,997.371952
1997-05-26,996.906739
1997-05-27,992.575815
1997-05-28,995.981463
1997-05-29,995.102708
1997-05-30,988.789194
1997-06-02,992.24494
1997-06-03,995.86006
1997-06-04,996.008416
1997-06-05,999.31715
1997-06-06,1004.235615
1997-06-09,1011.706292
1997-06-10,1014.334751
1997-06-11,1018.07073
1997-06-12,1021.272841
1997-06-13,1022.839907
1997-06-16,1027.017661
1997-06-17,1024.19839
1997-06-18,1023.550682
1997-06-19,1027.218096
1997-06-20,1025.539052
1997-06-23,1020.069003
1997-06-24,1023.316148
1997-06-25,1029.354807
1997-06-26,1027.779793
1997-06-27,1024.023923
1997-06-30,1024.089097
1997-07-01,1026.543893
1997-07-02,1032.489481
1997-07-03,1041.241047
1997-07-04,1037.716515
1997-07-07,1037.746709
1997-07-08,1038.09115
1997-07-09,1033.217078
1997-07-10,1033.902694
1997-07-11,1035.224955
1997-07-14,1034.04321
1997-07-15,1030.267486
1997-07-16,1037.591895
1997-07-17,1037.954106
1997-07-18,1029.77934
1997-07-21,1024.146255
1997-07-22,1030.420746
1997-07-23,1034.964443
1997-07-24,1034.336433
1997-07-25,1032.419937
1997-07-28,1030.441501
1997-07-29,1032.471324
1997-07-30,1034.794575
1997-07-31,1037.131376
1997-08-01,1025.70682
1997-08-04,1019.335297
1997-08-05,1014.953549
1997-08-06,1021.942681
1997-08-07,1021.506863
1997-08-08,1020.137612
1997-08-11,1012.148333
1997-08-12,1010.792672
1997-08-13,1010.580949
1997-08-14,1006.864909
1997-08-15,1004.990656
1997-08-18,995.999244
1997-08-19,1000.962849
1997-08-20,1009.335218
1997-08-21,1007.168387
1997-08-22,999.724477
1997-08-25,997.532355
1997-08-26,996.20734
1997-08-27,990.723407
1997-08-28,981.78726
1997-08-29,972.847831
1997-09-01,966.968964
1997-09-02,974.897926
1997-09-03,981.451396
1997-09-04,980.318399
1997-09-05,990.651127
1997-09-08,998.023543
1997-09-09,1004.298323
1997-09-10,997.341431
1997-09-11,985.652285
1997-09-12,988.096041
1997-09-15,991.786073
1997-09-16,994.538567
1997-09-17,993.362655
1997-09-18,994.657361
1997-09-19,995.439481
1997-09-22,993.500428
1997-09-23,995.448039
1997-09-24,1002.721022
1997-09-25,999.739008
1997-09-26,997.952685
1997-09-29,1000.11804
1997-09-30,1002.432897
1997-10-01,1001.22158
1997-10-02,1000.869648
1997-10-03,1003.747189
1997-10-06,1006.033946
1997-10-07,1008.524746
1997-10-08,1009.445408
1997-10-09,1003.39526
1997-10-10,1003.057167
1997-10-13,1003.055857
1997-10-14,1003.144037
1997-10-15,1001.3317
1997-10-16,1004.077649
1997-10-17,991.299306
1997-10-20,987.176347
1997-10-21,993.030345
1997-10-22,991.41338
1997-10-23,968.044553
1997-10-24,966.980094
1997-10-27,934.026762
1997-10-28,919.740294
1997-10-29,943.753199
1997-10-30,930.77883
1997-10-31,940.819208
1997-11-03,957.445661
1997-11-04,955.753531
1997-11-05,955.523651
1997-11-06,952.696573
1997-11-07,934.57761
1997-11-10,929.444765
1997-11-11,929.581304
1997-11-12,912.593268
1997-11-13,912.725211
1997-11-14,910.89617
1997-11-17,931.324982
1997-11-18,929.807487
1997-11-19,914.139877
1997-11-20,921.389639
1997-11-21,931.126324
1997-11-24,922.382363
1997-11-25,906.093537
1997-11-26,905.026531
1997-11-27,910.309875
1997-11-28,912.523868
1997-12-01,921.301332
1997-12-02,924.650221
1997-12-03,922.76389
1997-12-04,919.721148
1997-12-05,919.329828
1997-12-08,921.214967
1997-12-09,921.326668
1997-12-10,916.306237
1997-12-11,896.30084
1997-12-12,890.899988
1997-12-15,887.332881
1997-12-16,885.971462
1997-12-17,901.065283
1997-12-18,894.738984
1997-12-19,875.903178
1997-12-22,865.81095
1997-12-23,865.724675
1997-12-24,864.634888
1997-12-25,864.697295
1997-12-26,865.63487
1997-12-29,873.633075
1997-12-30,885.961485
1997-12-31,887.482628
1998-01-01,887.482628
1998-01-02,885.045913
1998-01-05,880.191378
1998-01-06,869.39436
1998-01-07,866.140375
1998-01-08,856.49998
1998-01-09,842.163304
1998-01-12,826.343386
1998-01-13,838.887538
1998-01-14,851.691628
1998-01-15,850.088477
1998-01-16,870.013463
1998-01-19,884.762287
1998-01-20,888.115561
1998-01-21,892.525647
1998-01-22,890.452817
1998-01-23,896.494125
1998-01-26,910.336262
1998-01-27,919.56276
1998-01-28,928.354026
1998-01-29,925.092993
1998-01-30,919.520679
1998-02-02,932.726448
1998-02-03,949.54417
1998-02-04,954.227885
1998-02-05,969.471086
1998-02-06,978.56649
1998-02-09,979.670141
1998-02-10,992.915261
1998-02-11,994.010326
1998-02-12,987.615103
1998-02-13,974.130005
1998-02-16,965.276088
1998-02-17,971.133402
1998-02-18,976.254279
1998-02-19,977.571102
1998-02-20,977.3158
1998-02-23,979.037956
1998-02-24,976.331211
1998-02-25,980.655626
1998-02-26,993.454962
1998-02-27,1006.333834
1998-03-02,1019.729786
1998-03-03,1016.663602
1998-03-04,1007.279276
1998-03-05,992.378777
1998-03-06,1003.652718
1998-03-09,1002.97347
1998-03-10,1012.436595
1998-03-11,1011.18953
1998-03-12,1011.909306
1998-03-13,1027.747615
1998-03-16,1025.220169
1998-03-17,1031.303828
1998-03-18,1027.371447
1998-03-19,1035.054475
1998-03-20,1038.8719
1998-03-23,1043.806482
1998-03-24,1044.923202
1998-03-25,1053.729687
1998-03-26,1055.796366
1998-03-27,1053.126667
1998-03-30,1036.903585
1998-03-31,1038.550239
1998-04-01,1034.752812
1998-04-02,1027.532506
1998-04-03,1026.192824
1998-04-06,1032.866819
1998-04-07,1033.679935
1998-04-08,1039.491189
1998-04-09,1051.508524
1998-04-10,1050.517432
1998-04-13,1048.025223
1998-04-14,1055.846638
1998-04-15,1059.028648
1998-04-16,1042.502686
1998-04-17,1042.970992
1998-04-20,1045.211765
1998-04-21,1050.122491
1998-04-22,1049.268645
1998-04-23,1043.164546
1998-04-24,1038.891752
1998-04-27,1014.398825
1998-04-28,1015.593758
1998-04-29,1018.961205
1998-04-30,1033.241734
1998-05-01,1037.884698
1998-05-04,1044.152384
1998-05-05,1041.095734
1998-05-06,1030.948168
1998-05-07,1022.490714
1998-05-08,1028.041272
1998-05-11,1033.213453
1998-05-12,1027.645958
1998-05-13,1023.833955
1998-05-14,1023.350491
1998-05-15,1021.552638
1998-05-18,1008.578871
1998-05-19,1014.046747
1998-05-20,1024.716222
1998-05-21,1034.258571
1998-05-22,1032.26664
1998-05-25,1029.942937
1998-05-26,1023.864345
1998-05-27,1007.789702
1998-05-28,1009.217194
1998-05-29,1007.138886
1998-06-01,995.558278
1998-06-02,1001.005116
1998-06-03,1001.624588
1998-06-04,1001.796421
1998-06-05,1001.247671
1998-06-08,1000.946592
1998-06-09,1001.595782
1998-06-10,985.165766
1998-06-11,970.650391
1998-06-12,961.718443
1998-06-15,938.9639
1998-06-16,944.217654
1998-06-17,969.462887
1998-06-18,979.560139
1998-06-19,982.694279
1998-06-22,969.364113
1998-06-23,966.803295
1998-06-24,967.743567
1998-06-25,970.401643
1998-06-26,965.077718
1998-06-29,970.955274
1998-06-30,983.950825
1998-07-01,1000.030337
1998-07-02,998.602184
1998-07-03,1003.056252
1998-07-06,1005.002564
1998-07-07,1008.230478
1998-07-08,1006.983654
1998-07-09,994.930249
1998-07-10,987.227143
1998-07-13,990.85888
1998-07-14,1002.139516
1998-07-15,1004.190334
1998-07-16,1010.493378
1998-07-17,1013.925694
1998-07-20,1016.689128
1998-07-21,1006.042748
1998-07-22,992.537745
1998-07-23,980.544263
1998-07-24,981.938275
1998-07-27,968.168458
1998-07-28,966.353791
1998-07-29,958.291031
1998-07-30,965.61115
1998-07-31,960.462538
1998-08-03,946.524449
1998-08-04,936.314516
1998-08-05,932.484863
1998-08-06,926.607314
1998-08-07,927.287856
1998-08-10,915.369121
1998-08-11,892.586211
1998-08-12,903.362514
1998-08-13,893.932874
1998-08-14,889.747266
1998-08-17,886.990598
1998-08-18,899.795808
1998-08-19,908.659141
1998-08-20,908.175005
1998-08-21,886.045805
1998-08-24,883.942805
1998-08-25,888.620512
1998-08-26,873.024314
1998-08-27,844.504823
1998-08-28,834.060868
1998-08-31,825.646825
1998-09-01,836.434728
1998-09-02,847.31025
1998-09-03,849.95297
1998-09-04,861.461579
1998-09-07,902.350733
1998-09-08,896.315436
1998-09-09,888.32474
1998-09-10,876.501476
1998-09-11,872.86245
1998-09-14,890.310791
1998-09-15,892.796154
1998-09-16,898.190135
1998-09-17,881.961037
1998-09-18,879.05871
1998-09-21,860.79351
1998-09-22,866.285931
1998-09-23,873.643086
1998-09-24,879.40914
1998-09-25,872.056178
1998-09-28,877.506728
1998-09-29,877.824109
1998-09-30,838.599636
1998-10-01,819.098104
1998-10-02,820.713493
1998-10-05,808.33009
1998-10-06,817.698432
1998-10-07,845.539332
1998-10-08,834.193284
1998-10-09,844.493162
1998-10-12,864.725044
1998-10-13,859.19145
1998-10-14,862.289525
1998-10-15,879.967063
1998-10-16,901.096489
1998-10-19,909.608473
1998-10-20,916.049572
1998-10-21,920.530739
1998-10-22,923.237312
1998-10-23,917.153927
1998-10-26,914.640841
1998-10-27,918.861284
1998-10-28,914.369692
1998-10-29,926.537818
1998-10-30,936.272912
1998-11-02,960.728254
1998-11-03,958.595237
1998-11-04,975.83638
1998-11-05,975.740463
1998-11-06,971.204332
1998-11-09,953.467416
1998-11-10,941.314671
1998-11-11,950.735351
1998-11-12,937.531067
1998-11-13,946.273154
1998-11-16,961.938602
1998-11-17,957.312834
1998-11-18,961.132138
1998-11-19,970.919259
1998-11-20,979.679348
1998-11-23,986.280332
1998-11-24,991.990155
1998-11-25,987.789793
1998-11-26,993.66031
1998-11-27,990.484446
1998-11-30,976.484257
1998-12-01,969.764251
