date,value
1997-01-01,299.706718
1997-01-02,297.802217
1997-01-03,299.960768
1997-01-06,300.581915
1997-01-07,301.452931
1997-01-08,299.985383
1997-01-09,300.484285
1997-01-10,299.925202
1997-01-13,301.222929
1997-01-14,303.695099
1997-01-15,304.130817
1997-01-16,305.466907
1997-01-17,306.104922
1997-01-20,305.180733
1997-01-21,305.754053
1997-01-22,307.073056
1997-01-23,305.260899
1997-01-24,303.215665
1997-01-27,301.160481
1997-01-28,300.803463
1997-01-29,302.146951
1997-01-30,304.650512
1997-01-31,306.951438
1997-02-03,306.821454
1997-02-04,307.773988
1997-02-05,305.254668
1997-02-06,305.198166
1997-02-07,306.865023
1997-02-10,307.650987
1997-02-11,308.349937
1997-02-12,311.057948
1997-02-13,312.874899
1997-02-14,312.627526
1997-02-17,312.314702
1997-02-18,313.628082
1997-02-19,313.216924
1997-02-20,312.027454
1997-02-21,311.819778
1997-02-24,314.392622
1997-02-25,315.368296
1997-02-26,313.154652
1997-02-27,311.192389
1997-02-28,309.751816
1997-03-03,309.885891
1997-03-04,309.445215
1997-03-05,311.325058
1997-03-06,310.652853
1997-03-07,311.869497
1997-03-10,314.726308
1997-03-11,314.89888
1997-03-12,312.286838
1997-03-13,308.447367
1997-03-14,309.501068
1997-03-17,308.988517
1997-03-18,308.015094
1997-03-19,306.930185
1997-03-20,304.058245
1997-03-21,304.907869
1997-03-24,305.344072
1997-03-25,306.554895
1997-03-26,308.040268
1997-03-27,305.520918
1997-03-28,305.591764
1997-03-31,302.689292
1997-04-01,300.864822
1997-04-02,299.104412
1997-04-03,298.115583
1997-04-04,299.357355
1997-04-07,299.904402
1997-04-08,300.926593
1997-04-09,299.723126
1997-04-10,299.105209
1997-04-11,294.708158
1997-04-14,294.759119
1997-04-15,297.828391
1997-04-16,300.381298
1997-04-17,300.573944
1997-04-18,302.499617
1997-04-21,302.56711
1997-04-22,305.554672
1997-04-23,306.134153
1997-04-24,305.602568
1997-04-25,303.380061
1997-04-28,305.139802
1997-04-29,310.531023
1997-04-30,312.754711
1997-05-01,313.37889
1997-05-02,316.779895
1997-05-05,320.771879
1997-05-06,323.194887
1997-05-07,320.899731
1997-05-08,322.253396
1997-05-09,324.509552
1997-05-12,328.60277
1997-05-13,328.527974
1997-05-14,329.838554
1997-05-15,331.404436
1997-05-16,330.040603
1997-05-19,329.818605
1997-05-20,331.874952
1997-05-21,331.972564
1997-05-22,330.192076
1997-05-23,333.506377
1997-05-26,334.10497
1997-05-27,333.802428
1997-05-28,333.514235
1997-05-29,332.634895
1997-05-30,331.065566
1997-06-02,331.50133
1997-06-03,331.795918
1997-06-04,330.832602
1997-06-05,331.854812
1997-06-06,335.491987
1997-06-09,338.08499
1997-06-10,338.524383
1997-06-11,340.048514
1997-06-12,342.943809
1997-06-13,345.281461
1997-06-16,346.311722
1997-06-17,345.269963
1997-06-18,343.904688
1997-06-19,346.416298
1997-06-20,346.583052
1997-06-23,342.936203
1997-06-24,346.893698
1997-06-25,347.084348
1997-06-26,346.325818
1997-06-27,345.823946
1997-06-30,345.355793
1997-07-01,347.273472
1997-07-02,350.259855
1997-07-03,354.704386
1997-07-04,354.34475
1997-07-07,354.092171
1997-07-08,355.122089
1997-07-09,352.994552
1997-07-10,354.077261
1997-07-11,354.969695
1997-07-14,355.522781
1997-07-15,356.30275
1997-07-16,359.971197
1997-07-17,359.313565
1997-07-18,354.776267
1997-07-21,352.945237
1997-07-22,358.293752
1997-07-23,359.415774
1997-07-24,359.076143
1997-07-25,358.117338
1997-07-28,357.456327
1997-07-29,358.543026
1997-07-30,360.605624
1997-07-31,361.444175
1997-08-01,358.331517
1997-08-04,357.384658
1997-08-05,357.026927
1997-08-06,359.712809
1997-08-07,359.046162
1997-08-08,355.370746
1997-08-11,354.355378
1997-08-12,352.640021
1997-08-13,351.030219
1997-08-14,350.801329
1997-08-15,346.357814
1997-08-18,346.827047
1997-08-19,349.843912
1997-08-20,353.257732
1997-08-21,350.711943
1997-08-22,348.587852
1997-08-25,347.389051
1997-08-26,345.860513
1997-08-27,345.64011
1997-08-28,342.241061
1997-08-29,339.439491
1997-09-01,338.932178
1997-09-02,345.371448
1997-09-03,347.226232
1997-09-04,347.38827
1997-09-05,348.51741
1997-09-08,349.119254
1997-09-09,350.63103
1997-09-10,346.350496
1997-09-11,343.277302
1997-09-12,345.914719
1997-09-15,346.121025
1997-09-16,351.519159
1997-09-17,351.572429
1997-09-18,353.259789
1997-09-19,354.161289
1997-09-22,355.704066
1997-09-23,355.712952
1997-09-24,356.533168
1997-09-25,355.548908
1997-09-26,357.320688
1997-09-29,359.277743
1997-09-30,358.694756
1997-10-01,360.66853
1997-10-02,361.900587
1997-10-03,363.266486
1997-10-06,364.850129
1997-10-07,366.989874
1997-10-08,365.309734
1997-10-09,362.553231
1997-10-10,361.429219
1997-10-13,362.736884
1997-10-14,362.787623
1997-10-15,361.925424
1997-10-16,360.65724
1997-10-17,356.552338
1997-10-20,357.424004
1997-10-21,361.559542
1997-10-22,360.556621
1997-10-23,352.529211
1997-10-24,351.350183
1997-10-27,336.058828
1997-10-28,340.419199
1997-10-29,345.038448
1997-10-30,340.827859
1997-10-31,344.113587
1997-11-03,350.532996
1997-11-04,350.126686
1997-11-05,350.670544
1997-11-06,349.373192
1997-11-07,344.61186
1997-11-10,343.594388
1997-11-11,345.090282
1997-11-12,339.968608
1997-11-13,342.158614
1997-11-14,343.741175
1997-11-17,350.708067
1997-11-18,350.383455
1997-11-19,349.665389
1997-11-20,354.421215
1997-11-21,357.427316
1997-11-24,353.41131
1997-11-25,351.918713
1997-11-26,352.011028
1997-11-27,352.920833
1997-11-28,353.601065
1997-12-01,359.060969
1997-12-02,359.40688
1997-12-03,360.245067
1997-12-04,360.117085
1997-12-05,361.999592
1997-12-08,361.885238
1997-12-09,360.50059
1997-12-10,359.04903
1997-12-11,353.245175
1997-12-12,353.185413
1997-12-15,354.595286
1997-12-16,356.434008
1997-12-17,358.520947
1997-12-18,356.118733
1997-12-19,351.634934
1997-12-22,351.976695
1997-12-23,350.380593
1997-12-24,349.287117
1997-12-25,349.294734
1997-12-26,350.207653
1997-12-29,356.092725
1997-12-30,360.497838
1997-12-31,359.979237
1998-01-01,359.979237
1998-01-02,360.994404
1998-01-05,361.475981
1998-01-06,358.642211
1998-01-07,358.172419
1998-01-08,356.169093
1998-01-09,348.379771
1998-01-12,347.176364
1998-01-13,351.869753
1998-01-14,354.756528
1998-01-15,353.235356
1998-01-16,358.647053
1998-01-19,360.755269
1998-01-20,364.111047
1998-01-21,363.101462
1998-01-22,362.034819
1998-01-23,362.150503
1998-01-26,363.462481
1998-01-27,366.469519
1998-01-28,368.430236
1998-01-29,369.721281
1998-01-30,368.142273
1998-02-02,375.305479
1998-02-03,377.624342
1998-02-04,378.387669
1998-02-05,380.01203
1998-02-06,381.667123
1998-02-09,380.785948
1998-02-10,382.9069
1998-02-11,383.249063
1998-02-12,383.243726
1998-02-13,380.965052
1998-02-16,380.9074
1998-02-17,382.692334
1998-02-18,385.65525
1998-02-19,384.318469
1998-02-20,385.819292
1998-02-23,387.864937
1998-02-24,385.529173
1998-02-25,389.073373
1998-02-26,391.748723
1998-02-27,392.956003
1998-03-02,395.134243
1998-03-03,395.670174
1998-03-04,392.490905
1998-03-05,387.831359
1998-03-06,393.958032
1998-03-09,394.704768
1998-03-10,397.695128
1998-03-11,398.66766
1998-03-12,399.073398
1998-03-13,401.763252
1998-03-16,402.651214
1998-03-17,404.475695
1998-03-18,404.281056
1998-03-19,406.191967
1998-03-20,408.944982
1998-03-23,409.578122
1998-03-24,411.894067
