date,value
1998-12-31,2353.508277
1999-01-01,2353.508795
1999-01-04,2379.304564
1999-01-05,2406.85765
1999-01-06,2447.160938
1999-01-07,2435.843576
1999-01-08,2425.578585
1999-01-11,2403.577377
1999-01-12,2356.588478
1999-01-13,2329.56206
1999-01-14,2318.89356
1999-01-15,2355.840251
1999-01-18,2380.670799
1999-01-19,2392.215393
1999-01-20,2408.186064
1999-01-21,2374.23233
1999-01-22,2333.015081
1999-01-25,2350.953309
1999-01-26,2392.095858
1999-01-27,2393.003653
1999-01-28,2415.99371
1999-01-29,2435.471533
1999-02-01,2436.171561
1999-02-02,2425.231795
1999-02-03,2416.662978
1999-02-04,2379.762439
1999-02-05,2351.875037
1999-02-08,2345.717059
1999-02-09,2296.386749
1999-02-10,2302.567156
1999-02-11,2349.761845
1999-02-12,2332.333716
1999-02-15,2332.491166
1999-02-16,2337.567024
1999-02-17,2314.214056
1999-02-18,2323.977044
1999-02-19,2324.754008
1999-02-22,2369.431526
1999-02-23,2380.850301
1999-02-24,2366.07427
1999-02-25,2353.747606
1999-02-26,2338.338387
1999-03-01,2320.142402
1999-03-02,2303.488436
1999-03-03,2295.065983
1999-03-04,2306.664166
1999-03-05,2364.074706
1999-03-08,2378.137036
1999-03-09,2388.727376
1999-03-10,2396.689294
1999-03-11,2405.587038
1999-03-12,2411.347791
1999-03-15,2431.274898
1999-03-16,2439.245972
1999-03-17,2423.39034
1999-03-18,2430.144979
1999-03-19,2430.196568
1999-03-22,2422.144557
1999-03-23,2368.225777
1999-03-24,2366.793361
1999-03-25,2408.215695
1999-03-26,2383.739209
1999-03-29,2432.985828
1999-03-30,2432.183706
1999-03-31,2426.907046
1999-04-01,2449.426637
1999-04-02,2445.923299
1999-04-05,2471.946157
1999-04-06,2491.033604
1999-04-07,2501.777016
1999-04-08,2533.980682
1999-04-09,2532.832829
1999-04-12,2537.255942
1999-04-13,2532.603244
1999-04-14,2493.910579
1999-04-15,2449.670649
1999-04-16,2423.339222
1999-04-19,2357.371608
1999-04-20,2370.498701
1999-04-21,2412.286064
1999-04-22,2454.215556
1999-04-23,2460.176498
1999-04-26,2483.502377
1999-04-27,2489.840281
1999-04-28,2456.801967
1999-04-29,2425.49946
1999-04-30,2423.179771
1999-05-03,2432.450217
1999-05-04,2406.824419
1999-05-05,2416.616472
1999-05-06,2404.095643
1999-05-07,2404.062977
1999-05-10,2409.666774
1999-05-11,2423.80877
1999-05-12,2435.414767
1999-05-13,2436.715009
1999-05-14,2392.506945
1999-05-17,2381.520745
1999-05-18,2388.553357
1999-05-19,2403.622918
1999-05-20,2403.984017
1999-05-21,2383.258317
1999-05-24,2353.621058
1999-05-25,2321.895625
1999-05-26,2334.962562
1999-05-27,2309.953877
1999-05-28,2338.474749
1999-05-31,2339.838042
1999-06-01,2337.499973
1999-06-02,2340.375489
1999-06-03,2346.176181
1999-06-04,2391.938691
1999-06-07,2402.046114
1999-06-08,2397.190827
1999-06-09,2410.306881
1999-06-10,2383.187547
1999-06-11,2382.478011
1999-06-14,2360.647598
1999-06-15,2366.618331
1999-06-16,2408.486772
1999-06-17,2430.094096
1999-06-18,2435.629312
1999-06-21,2456.89406
1999-06-22,2443.827829
1999-06-23,2428.222539
1999-06-24,2409.244084
1999-06-25,2415.02037
1999-06-28,2431.789564
1999-06-29,2455.937759
1999-06-30,2484.27261
1999-07-01,2515.437719
1999-07-02,2538.588239
1999-07-05,2554.02497
1999-07-06,2543.566333
1999-07-07,2543.002409
1999-07-08,2530.924439
1999-07-09,2539.001021
1999-07-12,2535.973209
1999-07-13,2528.977311
1999-07-14,2544.354499
1999-07-15,2574.88515
1999-07-16,2575.695039
1999-07-19,2562.180512
1999-07-20,2517.878543
1999-07-21,2516.013458
1999-07-22,2478.458221
1999-07-23,2458.540127
1999-07-26,2447.911613
1999-07-27,2469.843933
1999-07-28,2485.927409
1999-07-29,2451.910318
1999-07-30,2456.650236
1999-08-02,2451.430179
1999-08-03,2442.11191
1999-08-04,2417.941709
1999-08-05,2400.948862
1999-08-06,2384.546133
1999-08-09,2377.213213
1999-08-10,2353.423433
1999-08-11,2372.901798
1999-08-12,2389.123236
1999-08-13,2430.376682
1999-08-16,2450.731846
1999-08-17,2462.063141
1999-08-18,2457.382154
1999-08-19,2447.709282
1999-08-20,2482.068196
1999-08-23,2520.368884
1999-08-24,2524.142829
1999-08-25,2560.917996
1999-08-26,2535.422158
1999-08-27,2524.331204
1999-08-30,2512.600965
1999-08-31,2487.30174
1999-09-01,2514.8677
1999-09-02,2503.256879
1999-09-03,2553.376838
1999-09-06,2565.33965
1999-09-07,2555.393983
1999-09-08,2548.142871
1999-09-09,2570.665592
1999-09-10,2575.003861
1999-09-13,2561.967825
1999-09-14,2556.730869
1999-09-15,2532.25316
1999-09-16,2524.56992
1999-09-17,2543.435878
1999-09-20,2561.087684
1999-09-21,2536.870131
1999-09-22,2529.51417
1999-09-23,2490.540144
1999-09-24,2472.396454
1999-09-27,2487.261542
1999-09-28,2494.861185
1999-09-29,2468.083956
1999-09-30,2491.90499
1999-10-01,2502.988343
1999-10-04,2536.330966
1999-10-05,2543.967888
1999-10-06,2574.041958
1999-10-07,2579.830247
1999-10-08,2603.444008
1999-10-11,2609.231496
1999-10-12,2584.562564
1999-10-13,2537.104964
1999-10-14,2537.41485
1999-10-15,2488.414902
1999-10-18,2472.03945
1999-10-19,2497.032343
1999-10-20,2540.467398
1999-10-21,2533.40033
1999-10-22,2555.480145
1999-10-25,2550.310122
1999-10-26,2545.244737
1999-10-27,2545.176627
1999-10-28,2597.824371
1999-10-29,2654.261594
1999-11-01,2649.051233
1999-11-02,2639.226277
