date,value
1999-05-31,1000
1999-06-01,1001.556032
1999-06-02,1003.786178
1999-06-03,1006.22686
1999-06-04,1024.530083
1999-06-07,1031.981871
1999-06-08,1031.296482
1999-06-09,1037.851955
1999-06-10,1034.34516
1999-06-11,1034.621579
1999-06-14,1019.41595
1999-06-15,1024.381936
1999-06-16,1044.963331
1999-06-17,1056.302805
1999-06-18,1065.093756
1999-06-21,1069.937952
1999-06-22,1062.965699
1999-06-23,1057.894951
1999-06-24,1046.213546
1999-06-25,1051.041237
1999-06-28,1056.7672
1999-06-29,1063.175053
1999-06-30,1067.428045
1999-07-01,1080.23801
1999-07-02,1089.020591
1999-07-05,1099.584815
1999-07-06,1098.183584
1999-07-07,1096.615965
1999-07-08,1090.531899
1999-07-09,1092.803324
1999-07-12,1091.4464
1999-07-13,1087.403584
1999-07-14,1095.490232
1999-07-15,1109.012191
1999-07-16,1109.040522
1999-07-19,1104.2572
1999-07-20,1091.121354
1999-07-21,1093.502518
1999-07-22,1078.361594
1999-07-23,1070.811205
1999-07-26,1064.269485
1999-07-27,1069.557454
1999-07-28,1076.727556
1999-07-29,1069.10228
1999-07-30,1076.16577
1999-08-02,1070.808739
1999-08-03,1064.050774
1999-08-04,1057.690994
1999-08-05,1049.88663
1999-08-06,1042.805857
1999-08-09,1038.533562
1999-08-10,1030.674941
1999-08-11,1039.211658
1999-08-12,1048.082243
1999-08-13,1061.0649
1999-08-16,1073.719424
1999-08-17,1075.674832
1999-08-18,1073.716629
1999-08-19,1068.104871
1999-08-20,1079.502266
1999-08-23,1089.951673
1999-08-24,1090.999589
1999-08-25,1101.352423
1999-08-26,1094.672244
1999-08-27,1091.214336
1999-08-30,1086.363106
1999-08-31,1078.800811
1999-09-01,1093.326118
1999-09-02,1089.174021
1999-09-03,1104.82828
1999-09-06,1111.225957
1999-09-07,1102.92942
1999-09-08,1102.297797
1999-09-09,1114.66507
1999-09-10,1119.339903
1999-09-13,1119.320556
1999-09-14,1120.430746
1999-09-15,1107.696916
1999-09-16,1100.911611
1999-09-17,1108.078458
1999-09-20,1113.482168
1999-09-21,1104.868164
1999-09-22,1104.031024
1999-09-23,1090.508058
1999-09-24,1078.089844
1999-09-27,1081.215299
1999-09-28,1088.623243
1999-09-29,1086.254411
1999-09-30,1101.380233
1999-10-01,1104.575546
1999-10-04,1115.150745
1999-10-05,1109.083105
1999-10-06,1118.557569
1999-10-07,1120.025902
1999-10-08,1124.353167
1999-10-11,1125.97891
1999-10-12,1121.278165
1999-10-13,1106.934532
1999-10-14,1104.352886
1999-10-15,1087.927446
1999-10-18,1079.854769
1999-10-19,1086.664969
1999-10-20,1091.356785
1999-10-21,1092.938028
1999-10-22,1099.143115
1999-10-25,1099.092789
1999-10-26,1098.194837
1999-10-27,1100.921988
1999-10-28,1118.012505
1999-10-29,1140.292308
1999-11-01,1143.858029
1999-11-02,1145.450885
1999-11-03,1153.66467
1999-11-04,1154.868731
1999-11-05,1161.208233
1999-11-08,1161.831295
1999-11-09,1160.730652
1999-11-10,1173.699607
1999-11-11,1184.504077
1999-11-12,1191.298821
1999-11-15,1189.491335
1999-11-16,1196.041399
1999-11-17,1206.479855
1999-11-18,1223.063351
1999-11-19,1220.301419
1999-11-22,1223.649608
1999-11-23,1219.696694
1999-11-24,1218.520679
1999-11-25,1225.692698
1999-11-26,1233.520863
1999-11-29,1226.975892
1999-11-30,1202.860674
1999-12-01,1212.562993
1999-12-02,1223.046984
1999-12-03,1237.610177
1999-12-06,1244.172775
1999-12-07,1247.292672
1999-12-08,1242.395642
1999-12-09,1254.404685
1999-12-10,1266.487364
1999-12-13,1263.684768
1999-12-14,1254.142256
1999-12-15,1262.652016
1999-12-16,1271.829188
1999-12-17,1278.235733
1999-12-20,1283.965145
1999-12-21,1290.368411
1999-12-22,1303.734148
1999-12-23,1312.229901
1999-12-24,1317.715089
1999-12-27,1318.433221
1999-12-28,1325.118779
1999-12-29,1344.847792
1999-12-30,1342.884119
1999-12-31,1348.160073
2000-01-03,1360.451919
2000-01-04,1314.700419
2000-01-05,1289.66581
2000-01-06,1264.724135
2000-01-07,1299.127592
2000-01-10,1317.886364
2000-01-11,1306.91708
2000-01-12,1290.412657
2000-01-13,1304.530684
2000-01-14,1309.704179
2000-01-17,1314.51797
2000-01-18,1304.182172
2000-01-19,1303.169919
2000-01-20,1303.053515
2000-01-21,1303.06666
2000-01-24,1283.061568
2000-01-25,1281.593886
2000-01-26,1272.42862
2000-01-27,1269.636109
2000-01-28,1241.233302
2000-01-31,1245.636579
2000-02-01,1260.50658
2000-02-02,1274.409021
2000-02-03,1294.534461
2000-02-04,1293.338947
2000-02-07,1287.494518
2000-02-08,1307.288217
2000-02-09,1302.959051
2000-02-10,1303.206057
2000-02-11,1289.192717
2000-02-14,1284.225697
2000-02-15,1269.706226
2000-02-16,1264.120278
2000-02-17,1277.094801
2000-02-18,1254.92129
2000-02-21,1242.235479
2000-02-22,1249.376428
2000-02-23,1278.375483
2000-02-24,1274.369594
2000-02-25,1283.068366
2000-02-28,1277.770334
2000-02-29,1282.851357
2000-03-01,1289.001627
2000-03-02,1282.987812
2000-03-03,1296.312689
2000-03-06,1297.042072
2000-03-07,1280.500964
2000-03-08,1288.509063
2000-03-09,1312.102059
2000-03-10,1305.768054
2000-03-13,1280.47406
2000-03-14,1267.233011
2000-03-15,1272.526783
2000-03-16,1317.376223
2000-03-17,1318.869181
2000-03-20,1308.75281
2000-03-21,1328.238105
2000-03-22,1330.746042
2000-03-23,1353.461204
2000-03-24,1370.483089
2000-03-27,1370.845858
2000-03-28,1368.211492
2000-03-29,1358.106318
2000-03-30,1339.742101
2000-03-31,1351.245091
2000-04-03,1325.721554
2000-04-04,1325.629809
2000-04-05,1316.51341
2000-04-06,1332.495202
2000-04-07,1350.912407
2000-04-10,1334.267143
2000-04-11,1315.203963
2000-04-12,1295.713886
2000-04-13,1277.920494
2000-04-14,1227.215427
2000-04-17,1235.680298
2000-04-18,1259.230657
2000-04-19,1257.38165
2000-04-20,1258.641718
2000-04-21,1258.931291
2000-04-24,1253.074908
2000-04-25,1266.586522
2000-04-26,1261.259119
2000-04-27,1253.926983
2000-04-28,1259.304338
2000-05-01,1268.778115
2000-05-02,1265.790591
2000-05-03,1242.95644
2000-05-04,1240.342694
2000-05-05,1250.759178
2000-05-08,1235.751547
2000-05-09,1225.890367
2000-05-10,1207.916383
2000-05-11,1218.685363
2000-05-12,1235.28253
2000-05-15,1251.029649
2000-05-16,1255.214628
2000-05-17,1230.38615
2000-05-18,1219.017734
2000-05-19,1194.65197
2000-05-22,1188.228286
2000-05-23,1173.601781
2000-05-24,1177.87834
2000-05-25,1180.941271
2000-05-26,1183.825835
2000-05-29,1188.884004
2000-05-30,1222.546999
2000-05-31,1210.842618
2000-06-01,1237.125609
2000-06-02,1264.078319
2000-06-05,1259.100149
2000-06-06,1265.189395
2000-06-07,1273.098058
2000-06-08,1270.964661
2000-06-09,1270.979694
2000-06-12,1265.826944
2000-06-13,1276.101876
2000-06-14,1274.623659
2000-06-15,1270.729278
2000-06-16,1274.47067
2000-06-19,1277.795755
2000-06-20,1278.206415
2000-06-21,1277.026307
2000-06-22,1265.322915
2000-06-23,1252.803998
2000-06-26,1254.426403
2000-06-27,1258.604589
2000-06-28,1261.839827
2000-06-29,1255.80755
2000-06-30,1266.938202
2000-07-03,1273.747853
2000-07-04,1271.377323
2000-07-05,1269.299779
2000-07-06,1274.407932
2000-07-07,1282.410704
2000-07-10,1283.646987
2000-07-11,1278.734681
2000-07-12,1286.04296
2000-07-13,1281.6087
2000-07-14,1285.750703
2000-07-17,1287.403839
2000-07-18,1274.492105
2000-07-19,1271.47386
2000-07-20,1286.75957
2000-07-21,1275.183435
2000-07-24,1267.184818
2000-07-25,1268.295238
2000-07-26,1256.560356
2000-07-27,1250.586536
2000-07-28,1228.863922
2000-07-31,1232.896367
2000-08-01,1240.418543
2000-08-02,1239.871387
2000-08-03,1241.261922
2000-08-04,1251.793396
2000-08-07,1267.75348
2000-08-08,1269.964995
2000-08-09,1261.644352
2000-08-10,1256.422143
2000-08-11,1261.15073
2000-08-14,1272.971614
2000-08-15,1273.537527
2000-08-16,1272.822125
2000-08-17,1277.808265
2000-08-18,1268.304671
2000-08-21,1268.007504
2000-08-22,1266.426153
2000-08-23,1269.674106
2000-08-24,1278.370511
2000-08-25,1282.38036
2000-08-28,1287.624853
2000-08-29,1280.334278
2000-08-30,1277.427841
2000-08-31,1281.982101
2000-09-01,1293.991388
2000-09-04,1295.365101
2000-09-05,1285.394026
2000-09-06,1277.73393
2000-09-07,1279.47435
2000-09-08,1273.343119
2000-09-11,1264.293413
2000-09-12,1259.113064
2000-09-13,1263.300744
2000-09-14,1263.561488
2000-09-15,1255.647502
2000-09-18,1240.595345
2000-09-19,1248.644746
2000-09-20,1246.749504
2000-09-21,1243.478633
2000-09-22,1255.882595
2000-09-25,1254.6797
2000-09-26,1255.943601
2000-09-27,1252.135909
2000-09-28,1265.474601
2000-09-29,1258.187962
2000-10-02,1260.17844
2000-10-03,1249.332256
