date,value
1997-01-01,402.560832
1997-01-02,399.496335
1997-01-03,401.884268
1997-01-06,403.130143
1997-01-07,403.881928
1997-01-08,402.078652
1997-01-09,401.435936
1997-01-10,399.235903
1997-01-13,401.829224
1997-01-14,404.66671
1997-01-15,404.969988
1997-01-16,407.090249
1997-01-17,407.426468
1997-01-20,405.530683
1997-01-21,405.618874
1997-01-22,407.302266
1997-01-23,404.904391
1997-01-24,401.991277
1997-01-27,398.378822
1997-01-28,398.035432
1997-01-29,399.641428
1997-01-30,401.847989
1997-01-31,404.754022
1997-02-03,404.424062
1997-02-04,405.243814
1997-02-05,402.128934
1997-02-06,402.189752
1997-02-07,403.001376
1997-02-10,404.456311
1997-02-11,404.525493
1997-02-12,407.522575
1997-02-13,410.116579
1997-02-14,410.476163
1997-02-17,410.022689
1997-02-18,410.952252
1997-02-19,410.402721
1997-02-20,410.134999
1997-02-21,410.650533
1997-02-24,413.438782
1997-02-25,414.87608
1997-02-26,412.073327
1997-02-27,410.050287
1997-02-28,407.392229
1997-03-03,407.111779
1997-03-04,407.24122
1997-03-05,409.195558
1997-03-06,408.722384
1997-03-07,410.281173
1997-03-10,413.37407
1997-03-11,413.53584
1997-03-12,410.1005
1997-03-13,405.337427
1997-03-14,406.103749
1997-03-17,405.069296
1997-03-18,404.305103
1997-03-19,403.185398
1997-03-20,400.262112
1997-03-21,402.643724
1997-03-24,402.497772
1997-03-25,403.876226
1997-03-26,405.758084
1997-03-27,402.695261
1997-03-28,402.472505
1997-03-31,398.342668
1997-04-01,395.49836
1997-04-02,393.889351
1997-04-03,392.967605
1997-04-04,393.994704
1997-04-07,393.948003
1997-04-08,395.044522
1997-04-09,393.383557
1997-04-10,391.792582
1997-04-11,386.957217
1997-04-14,386.556732
1997-04-15,390.609685
1997-04-16,393.535733
1997-04-17,394.370458
1997-04-18,396.535058
1997-04-21,396.661461
1997-04-22,398.875127
1997-04-23,400.248755
1997-04-24,399.847804
1997-04-25,396.712717
1997-04-28,397.787285
1997-04-29,403.818244
1997-04-30,407.40387
1997-05-01,409.182811
1997-05-02,413.658729
1997-05-05,418.619684
1997-05-06,422.569392
1997-05-07,420.484008
1997-05-08,422.236414
1997-05-09,425.192014
1997-05-12,431.462766
1997-05-13,431.557688
1997-05-14,433.608356
1997-05-15,435.704286
1997-05-16,435.526839
1997-05-19,435.176016
1997-05-20,438.562314
1997-05-21,438.114958
1997-05-22,435.88251
1997-05-23,439.983613
1997-05-26,440.022021
1997-05-27,439.347376
1997-05-28,440.278029
