date,value
2010-05-26,1000
2010-05-27,1034.772348
2010-05-28,1029.950006
2010-05-31,1029.908187
2010-06-01,1016.353015
2010-06-02,1025.874809
2010-06-03,1037.981439
2010-06-04,1008.292968
2010-06-07,990.432921
2010-06-08,990.119154
2010-06-09,995.13007
2010-06-10,1017.749343
2010-06-11,1025.385028
2010-06-14,1037.035425
2010-06-15,1053.059996
2010-06-16,1053.486545
2010-06-17,1056.954699
2010-06-18,1058.488976
2010-06-21,1062.274736
2010-06-22,1046.494352
2010-06-23,1037.210769
2010-06-24,1024.027206
2010-06-25,1020.170526
2010-06-28,1024.483113
2010-06-29,990.752183
2010-06-30,987.296531
2010-07-01,983.074664
2010-07-02,985.092255
2010-07-05,982.105571
2010-07-06,999.006464
2010-07-07,1018.800983
2010-07-08,1031.741452
2010-07-09,1038.33285
2010-07-12,1039.503293
2010-07-13,1059.70516
2010-07-14,1061.582088
2010-07-15,1061.374569
2010-07-16,1039.123272
2010-07-19,1039.971623
2010-07-20,1040.448386
2010-07-21,1036.231098
2010-07-22,1059.805646
2010-07-23,1063.932335
2010-07-26,1078.192433
2010-07-27,1084.607191
2010-07-28,1084.268268
2010-07-29,1086.066777
2010-07-30,1081.069827
2010-08-02,1110.227197
2010-08-03,1111.132914
2010-08-04,1110.884583
2010-08-05,1111.180343
2010-08-06,1111.818547
2010-08-09,1117.466356
2010-08-10,1103.746214
2010-08-11,1070.528055
2010-08-12,1063.861639
2010-08-13,1061.51808
2010-08-16,1062.706823
2010-08-17,1072.930812
2010-08-18,1073.542781
2010-08-19,1058.582347
2010-08-20,1043.18248
2010-08-23,1043.56269
2010-08-24,1030.293861
2010-08-25,1026.055426
2010-08-26,1029.30682
2010-08-27,1040.432357
2010-08-30,1034.63181
2010-08-31,1032.553011
2010-09-01,1063.992125
2010-09-02,1071.375623
2010-09-03,1086.538258
2010-09-06,1090.460586
2010-09-07,1075.268631
2010-09-08,1080.060908
2010-09-09,1088.332742
2010-09-10,1091.25292
2010-09-13,1107.79542
2010-09-14,1110.911051
2010-09-15,1108.947331
2010-09-16,1108.700989
2010-09-17,1105.715618
2010-09-20,1122.447113
2010-09-21,1123.136856
2010-09-22,1122.588033
2010-09-23,1115.979721
2010-09-24,1135.025095
2010-09-27,1132.251976
2010-09-28,1137.332513
2010-09-29,1139.010788
2010-09-30,1134.616143
2010-10-01,1138.182224
2010-10-04,1127.890491
2010-10-05,1151.907212
2010-10-06,1156.562005
2010-10-07,1160.448252
2010-10-08,1163.508368
2010-10-11,1165.017068
2010-10-12,1161.139831
2010-10-13,1175.066926
