date,value
1997-01-01,1231.381853
1997-01-02,1223.432801
1997-01-03,1226.843105
1997-01-06,1231.588254
1997-01-07,1233.600172
1997-01-08,1226.870955
1997-01-09,1223.00945
1997-01-10,1215.985917
1997-01-13,1224.476864
1997-01-14,1230.05179
1997-01-15,1229.853506
1997-01-16,1237.471954
1997-01-17,1237.171934
1997-01-20,1232.42555
1997-01-21,1230.026081
1997-01-22,1232.03258
1997-01-23,1229.159331
1997-01-24,1221.717951
1997-01-27,1211.10405
1997-01-28,1208.568883
1997-01-29,1209.87848
1997-01-30,1210.827338
1997-01-31,1219.468927
1997-02-03,1218.537828
1997-02-04,1219.231702
1997-02-05,1209.301725
1997-02-06,1209.343717
1997-02-07,1206.175438
1997-02-10,1210.648878
1997-02-11,1207.928634
1997-02-12,1212.520424
1997-02-13,1218.845262
1997-02-14,1221.90596
1997-02-17,1220.782045
1997-02-18,1220.745249
1997-02-19,1221.573086
1997-02-20,1225.291648
1997-02-21,1226.535891
1997-02-24,1232.522947
1997-02-25,1236.227982
1997-02-26,1230.923622
1997-02-27,1227.216758
1997-02-28,1222.469491
1997-03-03,1217.229898
1997-03-04,1218.093825
1997-03-05,1219.464231
1997-03-06,1218.19623
1997-03-07,1220.19346
1997-03-10,1225.957552
1997-03-11,1226.20624
1997-03-12,1219.389879
1997-03-13,1209.791416
1997-03-14,1208.34286
1997-03-17,1204.526949
1997-03-18,1204.804328
1997-03-19,1198.953253
1997-03-20,1192.642323
1997-03-21,1197.681864
1997-03-24,1191.279823
1997-03-25,1194.930438
1997-03-26,1199.252465
1997-03-27,1194.367289
1997-03-28,1194.225182
1997-03-31,1183.483293
1997-04-01,1174.731204
1997-04-02,1173.979682
1997-04-03,1171.3009
1997-04-04,1173.06583
1997-04-07,1169.937529
1997-04-08,1171.494702
1997-04-09,1166.255841
1997-04-10,1160.139747
1997-04-11,1152.273942
1997-04-14,1147.755987
1997-04-15,1155.569913
1997-04-16,1160.589757
1997-04-17,1165.052971
1997-04-18,1170.765425
1997-04-21,1170.898651
1997-04-22,1171.229502
1997-04-23,1176.213105
1997-04-24,1175.896137
1997-04-25,1167.009865
1997-04-28,1167.344421
1997-04-29,1177.330839
1997-04-30,1186.813644
1997-05-01,1194.779376
1997-05-02,1206.449095
1997-05-05,1217.655607
1997-05-06,1229.546639
1997-05-07,1227.525468
1997-05-08,1231.977518
1997-05-09,1239.728535
1997-05-12,1256.086205
1997-05-13,1256.066738
1997-05-14,1260.237622
1997-05-15,1267.733119
1997-05-16,1272.853531
1997-05-19,1269.992914
1997-05-20,1279.538579
1997-05-21,1278.886183
1997-05-22,1273.971082
1997-05-23,1282.815633
1997-05-26,1282.057347
1997-05-27,1280.300528
1997-05-28,1287.009792
1997-05-29,1285.536711
1997-05-30,1283.631402
1997-06-02,1287.419357
1997-06-03,1291.91521
1997-06-04,1291.937803
1997-06-05,1296.215062
1997-06-06,1299.922208
1997-06-09,1311.912166
1997-06-10,1313.537652
1997-06-11,1318.238414
1997-06-12,1318.807794
1997-06-13,1319.486222
1997-06-16,1326.286322
1997-06-17,1325.655031
1997-06-18,1325.353821
1997-06-19,1327.682297
1997-06-20,1324.980543
1997-06-23,1319.0832
1997-06-24,1322.480928
1997-06-25,1328.564147
1997-06-26,1327.314976
1997-06-27,1324.325187
1997-06-30,1325.989077
1997-07-01,1324.339766
1997-07-02,1331.901409
1997-07-03,1341.138564
1997-07-04,1338.144809
1997-07-07,1339.568154
1997-07-08,1340.591369
1997-07-09,1334.255502
1997-07-10,1337.267048
1997-07-11,1340.916115
1997-07-14,1340.593784
1997-07-15,1335.088076
1997-07-16,1342.352345
1997-07-17,1342.261164
1997-07-18,1338.04408
1997-07-21,1330.353746
1997-07-22,1335.545709
1997-07-23,1338.693932
1997-07-24,1336.620215
1997-07-25,1336.184859
1997-07-28,1332.955696
1997-07-29,1333.354705
1997-07-30,1337.495948
1997-07-31,1339.975224
1997-08-01,1329.920912
1997-08-04,1325.461339
1997-08-05,1322.623143
1997-08-06,1329.446845
1997-08-07,1326.651454
1997-08-08,1326.82648
1997-08-11,1316.394167
1997-08-12,1316.599954
1997-08-13,1319.81981
1997-08-14,1313.766634
1997-08-15,1314.59524
1997-08-18,1303.327784
1997-08-19,1310.367158
1997-08-20,1318.166357
1997-08-21,1316.891317
1997-08-22,1309.082141
1997-08-25,1308.781402
1997-08-26,1310.615698
1997-08-27,1305.120281
1997-08-28,1301.501
1997-08-29,1291.315335
1997-09-01,1285.424138
1997-09-02,1292.285044
1997-09-03,1303.869956
1997-09-04,1304.339503
1997-09-05,1309.410657
1997-09-08,1312.167196
1997-09-09,1318.693269
1997-09-10,1315.018931
1997-09-11,1303.933514
1997-09-12,1308.283086
1997-09-15,1311.673866
1997-09-16,1313.183524
1997-09-17,1314.621236
1997-09-18,1316.180668
1997-09-19,1317.900288
1997-09-22,1318.941304
1997-09-23,1318.822271
1997-09-24,1326.823986
1997-09-25,1323.204126
1997-09-26,1319.551877
1997-09-29,1321.910488
1997-09-30,1324.426908
1997-10-01,1325.437837
1997-10-02,1325.043587
1997-10-03,1328.612017
1997-10-06,1333.867615
1997-10-07,1335.757649
1997-10-08,1335.765907
1997-10-09,1332.108085
1997-10-10,1331.097209
1997-10-13,1329.786052
1997-10-14,1327.546709
1997-10-15,1326.476602
1997-10-16,1329.650392
1997-10-17,1313.381208
1997-10-20,1317.029841
1997-10-21,1324.77316
1997-10-22,1327.055716
1997-10-23,1300.429926
1997-10-24,1300.235785
1997-10-27,1253.091639
1997-10-28,1248.795923
1997-10-29,1272.195757
1997-10-30,1256.78904
1997-10-31,1268.902521
1997-11-03,1283.487335
1997-11-04,1283.99945
1997-11-05,1284.620623
1997-11-06,1279.334198
1997-11-07,1257.034291
1997-11-10,1252.261423
1997-11-11,1248.87882
1997-11-12,1227.818199
1997-11-13,1226.521193
1997-11-14,1225.310785
1997-11-17,1250.660426
1997-11-18,1249.507515
1997-11-19,1232.967224
1997-11-20,1246.129682
1997-11-21,1251.521535
1997-11-24,1239.739782
1997-11-25,1224.017888
1997-11-26,1224.115806
1997-11-27,1229.229573
1997-11-28,1232.322134
1997-12-01,1242.714103
1997-12-02,1246.412395
1997-12-03,1246.518197
