date,value
2007-11-30,1000
2007-12-03,998.850712
2007-12-04,998.32357
2007-12-05,1005.01674
2007-12-06,1008.693469
2007-12-07,1009.548063
2007-12-10,1014.237183
2007-12-11,1004.545147
2007-12-12,1005.989754
2007-12-13,998.936617
2007-12-14,990.403251
2007-12-17,978.36625
2007-12-18,980.700163
2007-12-19,977.785027
2007-12-20,980.673751
2007-12-21,990.427362
2007-12-24,993.978574
2007-12-25,995.206805
2007-12-26,996.782315
2007-12-27,991.476807
2007-12-28,993.409591
2007-12-31,990.459732
2008-01-01,990.459732
2008-01-02,986.113552
2008-01-03,986.548398
2008-01-04,974.970655
2008-01-07,978.986335
2008-01-08,974.57316
2008-01-09,979.442535
2008-01-10,980.055672
2008-01-11,971.119725
2008-01-14,974.499405
2008-01-15,961.707411
2008-01-16,955.002448
2008-01-17,944.647998
2008-01-18,937.310537
2008-01-21,919.325314
2008-01-22,906.23853
2008-01-23,910.010091
2008-01-24,922.171234
2008-01-25,921.066199
2008-01-28,925.770968
2008-01-29,931.690542
2008-01-30,926.744495
2008-01-31,938.996597
2008-02-01,948.856097
2008-02-04,948.133704
2008-02-05,928.581843
2008-02-06,923.408204
2008-02-07,921.225041
2008-02-08,918.919212
2008-02-11,917.817184
2008-02-12,929.075136
2008-02-13,929.950857
2008-02-14,930.96769
2008-02-15,931.301792
2008-02-18,931.687437
2008-02-19,932.880874
2008-02-20,926.484173
2008-02-21,928.243325
2008-02-22,930.292086
2008-02-25,942.308698
2008-02-26,947.114898
2008-02-27,953.23359
2008-02-28,946.380855
2008-02-29,934.778093
2008-03-03,928.493002
2008-03-04,925.340199
2008-03-05,930.296822
2008-03-06,923.402454
2008-03-07,915.066097
2008-03-10,911.19915
2008-03-11,916.073022
2008-03-12,917.698667
2008-03-13,917.496974
2008-03-14,907.722001
2008-03-17,899.50029
2008-03-18,919.825463
2008-03-19,907.15334
2008-03-20,910.248292
2008-03-21,913.228929
2008-03-24,913.7523
2008-03-25,926.439661
2008-03-26,926.281493
2008-03-27,926.172051
2008-03-28,923.081089
2008-03-31,923.745038
2008-04-01,936.469522
2008-04-02,940.056096
2008-04-03,941.643559
2008-04-04,946.258029
2008-04-07,946.229959
2008-04-08,941.231455
2008-04-09,938.176766
2008-04-10,940.739589
2008-04-11,934.608935
2008-04-14,928.554727
2008-04-15,930.473549
2008-04-16,943.413838
2008-04-17,939.67261
2008-04-18,943.502525
2008-04-21,947.011974
2008-04-22,942.115643
2008-04-23,943.677186
2008-04-24,941.674798
2008-04-25,946.777728
2008-04-28,946.535159
2008-04-29,945.474197
2008-04-30,943.860417
2008-05-01,950.067235
2008-05-02,953.211438
2008-05-05,951.806693
2008-05-06,954.131436
2008-05-07,945.240966
2008-05-08,947.524393
2008-05-09,943.228316
2008-05-12,949.475626
2008-05-13,949.032209
2008-05-14,952.464922
2008-05-15,958.590204
2008-05-16,962.063338
2008-05-19,963.352149
2008-05-20,959.754261
2008-05-21,955.456964
2008-05-22,958.57768
2008-05-23,953.230166
2008-05-26,950.742936
2008-05-27,952.627799
2008-05-28,951.102153
2008-05-29,958.880182
2008-05-30,962.27487
2008-06-02,956.75292
2008-06-03,952.449258
2008-06-04,953.752973
2008-06-05,960.051092
2008-06-06,947.524152
2008-06-09,944.428823
2008-06-10,938.216576
2008-06-11,931.527237
2008-06-12,928.324159
2008-06-13,932.032519
2008-06-16,933.095199
2008-06-17,931.407893
2008-06-18,925.558554
2008-06-19,921.641136
2008-06-20,912.37977
2008-06-23,910.357496
2008-06-24,908.620238
2008-06-25,914.695388
2008-06-26,904.106351
2008-06-27,901.256687
2008-06-30,905.468565
2008-07-01,904.801518
2008-07-02,900.851821
2008-07-03,900.511239
2008-07-04,897.543076
2008-07-07,895.385519
2008-07-08,900.935015
2008-07-09,898.785807
2008-07-10,897.939359
2008-07-11,890.617964
2008-07-14,886.26113
2008-07-15,882.370188
2008-07-16,888.128133
2008-07-17,895.831218
2008-07-18,896.761305
2008-07-21,897.103126
2008-07-22,906.094952
2008-07-23,909.658453
2008-07-24,903.119774
2008-07-25,901.653817
2008-07-28,896.865688
2008-07-29,901.503614
2008-07-30,912.361168
2008-07-31,912.053896
2008-08-01,907.034926
2008-08-04,909.187828
2008-08-05,921.40987
2008-08-06,922.021025
2008-08-07,911.491061
2008-08-08,920.498999
2008-08-11,926.953722
2008-08-12,921.910141
2008-08-13,915.688021
2008-08-14,917.65436
2008-08-15,917.130733
2008-08-18,914.635394
2008-08-19,905.192813
2008-08-20,905.880538
2008-08-21,908.265198
2008-08-22,914.156785
2008-08-25,906.662454
2008-08-26,904.534852
2008-08-27,910.160448
2008-08-28,920.479774
2008-08-29,920.030548
2008-09-01,915.725166
2008-09-02,914.619656
2008-09-03,914.57747
2008-09-04,898.170067
2008-09-05,894.045528
2008-09-08,908.36761
2008-09-09,897.740406
2008-09-10,897.310176
2008-09-11,898.109577
2008-09-12,906.404531
2008-09-15,891.032717
2008-09-16,890.708284
2008-09-17,873.588755
2008-09-18,888.555892
2008-09-19,907.446614
2008-09-22,889.952241
2008-09-23,885.028284
2008-09-24,884.838756
2008-09-25,896.554128
2008-09-26,895.589726
2008-09-29,857.771215
2008-09-30,867.324711
2008-10-01,869.989523
2008-10-02,854.556562
2008-10-03,849.377852
2008-10-06,816.902609
2008-10-07,795.952855
2008-10-08,773.412176
2008-10-09,733.402571
2008-10-10,694.717615
2008-10-13,748.166314
2008-10-14,763.219661
2008-10-15,729.375438
2008-10-16,724.605121
2008-10-17,737.15582
2008-10-20,765.385807
2008-10-21,753.935403
2008-10-22,716.731791
2008-10-23,722.366802
2008-10-24,700.824438
2008-10-27,672.423721
2008-10-28,712.236977
2008-10-29,728.538245
2008-10-30,747.553095
2008-10-31,747.186716
2008-11-03,751.208346
2008-11-04,775.86611
2008-11-05,761.028956
2008-11-06,732.515539
2008-11-07,742.837174
2008-11-10,743.834268
2008-11-11,725.678516
2008-11-12,710.25082
2008-11-13,732.133417
2008-11-14,723.500484
2008-11-17,712.059265
2008-11-18,716.026222
2008-11-19,695.129229
2008-11-20,666.100385
