date,value
2010-05-26,1000
2010-05-27,1017.770201
2010-05-28,1015.621183
2010-05-31,1015.870676
2010-06-01,1012.104019
2010-06-02,1021.8297
2010-06-03,1030.018086
2010-06-04,1010.243668
2010-06-07,1001.331773
2010-06-08,1007.483401
2010-06-09,1010.175973
2010-06-10,1027.939598
2010-06-11,1029.304785
2010-06-14,1036.706217
2010-06-15,1049.782216
2010-06-16,1052.189553
2010-06-17,1056.380219
2010-06-18,1055.879577
2010-06-21,1056.857784
2010-06-22,1048.886929
2010-06-23,1043.965456
2010-06-24,1039.521171
2010-06-25,1039.755214
2010-06-28,1043.595951
2010-06-29,1025.396653
2010-06-30,1018.836614
2010-07-01,1018.635668
2010-07-02,1018.574942
2010-07-05,1018.39857
2010-07-06,1029.750014
2010-07-07,1044.459175
2010-07-08,1051.541892
2010-07-09,1053.003361
2010-07-12,1050.974657
2010-07-13,1061.971848
2010-07-14,1064.509824
2010-07-15,1066.388439
2010-07-16,1052.493759
2010-07-19,1052.673455
2010-07-20,1055.592685
2010-07-21,1050.035184
2010-07-22,1062.635434
2010-07-23,1068.033982
2010-07-26,1076.72473
2010-07-27,1075.851766
2010-07-28,1073.371433
2010-07-29,1069.762536
2010-07-30,1067.588982
2010-08-02,1084.666138
2010-08-03,1085.574012
2010-08-04,1086.865827
2010-08-05,1087.601627
2010-08-06,1090.207555
2010-08-09,1093.985953
2010-08-10,1088.58955
2010-08-11,1069.440906
2010-08-12,1066.353756
2010-08-13,1065.885525
2010-08-16,1069.529507
2010-08-17,1078.743891
2010-08-18,1079.602444
2010-08-19,1071.973944
2010-08-20,1065.206067
2010-08-23,1066.084885
2010-08-24,1061.010856
2010-08-25,1059.846056
2010-08-26,1060.188851
2010-08-27,1070.803534
2010-08-30,1067.553462
2010-08-31,1066.492598
2010-09-01,1084.435033
2010-09-02,1088.673423
2010-09-03,1093.5638
2010-09-06,1097.772995
2010-09-07,1093.594245
2010-09-08,1096.232224
2010-09-09,1101.15474
2010-09-10,1101.257096
2010-09-13,1108.128254
2010-09-14,1112.625968
2010-09-15,1114.228223
2010-09-16,1111.334749
2010-09-17,1111.823347
2010-09-20,1122.862965
2010-09-21,1121.19037
2010-09-22,1123.997028
2010-09-23,1119.728775
2010-09-24,1131.853356
2010-09-27,1130.070374
2010-09-28,1134.67336
2010-09-29,1133.591655
2010-09-30,1128.847904
2010-10-01,1132.960007
2010-10-04,1125.308507
2010-10-05,1142.601298
2010-10-06,1145.754755
2010-10-07,1147.239059
2010-10-08,1147.910181
2010-10-11,1148.232241
2010-10-12,1146.048904
2010-10-13,1156.006234
2010-10-14,1161.228221
2010-10-15,1160.178922
2010-10-18,1165.508073
