date,value
2010-05-26,1000
2010-05-27,1017.571267
2010-05-28,1015.723201
2010-05-31,1016.569096
2010-06-01,1011.69578
2010-06-02,1021.772622
2010-06-03,1029.86678
2010-06-04,1011.086196
2010-06-07,1003.340168
2010-06-08,1009.429581
2010-06-09,1011.604649
2010-06-10,1027.967444
2010-06-11,1029.321199
2010-06-14,1036.236088
2010-06-15,1048.780961
2010-06-16,1051.590406
2010-06-17,1056.025862
2010-06-18,1055.333825
2010-06-21,1056.758782
2010-06-22,1048.983903
2010-06-23,1043.946057
2010-06-24,1039.977063
2010-06-25,1039.975884
2010-06-28,1044.341366
2010-06-29,1026.742833
2010-06-30,1020.198167
2010-07-01,1020.063164
2010-07-02,1020.02456
2010-07-05,1019.884503
2010-07-06,1030.848097
2010-07-07,1044.990211
2010-07-08,1052.184361
2010-07-09,1054.438261
2010-07-12,1052.855081
2010-07-13,1063.510163
2010-07-14,1065.565507
2010-07-15,1067.058983
2010-07-16,1053.670524
2010-07-19,1054.241699
2010-07-20,1057.396272
2010-07-21,1051.914752
2010-07-22,1063.338802
2010-07-23,1068.477955
2010-07-26,1076.995054
2010-07-27,1076.543829
2010-07-28,1073.788803
2010-07-29,1070.0167
2010-07-30,1068.560017
2010-08-02,1084.294273
2010-08-03,1085.596201
2010-08-04,1086.944072
2010-08-05,1088.403235
2010-08-06,1091.605103
2010-08-09,1095.565669
2010-08-10,1091.266454
2010-08-11,1072.931523
2010-08-12,1070.233813
2010-08-13,1069.941471
2010-08-16,1072.965097
2010-08-17,1081.557486
2010-08-18,1083.228734
2010-08-19,1075.778191
2010-08-20,1069.333109
2010-08-23,1070.244248
2010-08-24,1065.895046
2010-08-25,1065.55248
2010-08-26,1065.568033
2010-08-27,1075.392479
2010-08-30,1072.062391
2010-08-31,1070.933428
2010-09-01,1087.919492
2010-09-02,1092.156084
2010-09-03,1096.917271
2010-09-06,1101.392936
2010-09-07,1097.755877
2010-09-08,1099.820743
2010-09-09,1104.724156
2010-09-10,1104.486658
2010-09-13,1110.571908
2010-09-14,1114.971902
2010-09-15,1115.954722
2010-09-16,1113.133421
2010-09-17,1113.811672
2010-09-20,1124.623098
2010-09-21,1122.815318
2010-09-22,1126.322196
2010-09-23,1122.056858
2010-09-24,1133.475681
2010-09-27,1132.10243
2010-09-28,1136.877045
2010-09-29,1137.189144
2010-09-30,1132.749975
2010-10-01,1137.242508
2010-10-04,1131.06369
2010-10-05,1147.548706
2010-10-06,1150.089452
2010-10-07,1150.768507
2010-10-08,1152.068847
2010-10-11,1152.610828
2010-10-12,1150.906576
2010-10-13,1159.772138
2010-10-14,1163.835221
2010-10-15,1162.679924
2010-10-18,1167.535745
2010-10-19,1155.40113
2010-10-20,1163.638932
2010-10-21,1163.363223
2010-10-22,1161.208894
2010-10-25,1164.864773
2010-10-26,1159.868373
2010-10-27,1153.174594
2010-10-28,1160.345574
2010-10-29,1165.501531
2010-11-01,1165.084821
2010-11-02,1170.547769
2010-11-03,1169.9488
2010-11-04,1185.112954
2010-11-05,1183.24635
2010-11-08,1180.727222
2010-11-09,1179.042846
2010-11-10,1173.851579
2010-11-11,1171.838688
2010-11-12,1164.866454
2010-11-15,1164.401843
2010-11-16,1148.14961
2010-11-17,1150.186906
2010-11-18,1161.879413
2010-11-19,1160.955358
2010-11-22,1160.216515
2010-11-23,1148.454402
2010-11-24,1154.474339
2010-11-25,1154.43926
2010-11-26,1147.267345
2010-11-29,1140.570415
2010-11-30,1136.948725
2010-12-01,1151.597602
2010-12-02,1159.350229
2010-12-03,1165.666961
2010-12-06,1162.14901
2010-12-07,1164.073155
2010-12-08,1161.976207
2010-12-09,1163.842695
2010-12-10,1167.662985
2010-12-13,1175.516827
2010-12-14,1181.439792
2010-12-15,1176.422512
2010-12-16,1178.936738
2010-12-17,1179.547714
2010-12-20,1179.233017
2010-12-21,1182.279952
2010-12-22,1184.26804
2010-12-23,1185.963087
2010-12-24,1187.100162
2010-12-27,1185.273785
2010-12-28,1189.048531
2010-12-29,1192.290512
2010-12-30,1190.600996
2010-12-31,1192.509594
2011-01-03,1194.492341
2011-01-04,1193.013901
2011-01-05,1185.800914
2011-01-06,1184.422418
2011-01-07,1183.965557
2011-01-10,1180.276927
2011-01-11,1181.879599
2011-01-12,1188.732943
2011-01-13,1191.450672
2011-01-14,1191.449801
