date,value
1997-01-01,714.497651
1997-01-02,711.665609
1997-01-03,712.85359
1997-01-06,714.652313
1997-01-07,714.804085
1997-01-08,710.49369
1997-01-09,710.418944
1997-01-10,707.140658
1997-01-13,711.058218
1997-01-14,715.345758
1997-01-15,717.681835
1997-01-16,720.019369
1997-01-17,719.309459
1997-01-20,715.987822
1997-01-21,715.449647
1997-01-22,717.12644
1997-01-23,715.384405
1997-01-24,712.476452
1997-01-27,707.835621
1997-01-28,705.389612
1997-01-29,707.084575
1997-01-30,709.411622
1997-01-31,715.314131
1997-02-03,715.14473
1997-02-04,716.571404
1997-02-05,711.195472
1997-02-06,709.203014
1997-02-07,711.037785
1997-02-10,715.826174
1997-02-11,716.76909
1997-02-12,722.098981
1997-02-13,726.06395
1997-02-14,727.276828
1997-02-17,726.341128
1997-02-18,727.989591
1997-02-19,726.766837
1997-02-20,726.514143
1997-02-21,726.312502
1997-02-24,729.920326
1997-02-25,731.544721
1997-02-26,725.720009
1997-02-27,724.068686
1997-02-28,722.017389
1997-03-03,720.409922
1997-03-04,720.37182
1997-03-05,721.512831
1997-03-06,719.712149
1997-03-07,721.686901
1997-03-10,726.943241
1997-03-11,730.020121
1997-03-12,724.497477
1997-03-13,716.479032
1997-03-14,719.690082
1997-03-17,717.37889
1997-03-18,716.253068
1997-03-19,713.306523
1997-03-20,707.44653
1997-03-21,709.08084
1997-03-24,708.753214
1997-03-25,711.613671
1997-03-26,712.812154
1997-03-27,708.25114
1997-03-28,708.642864
1997-03-31,706.383146
1997-04-01,701.598834
1997-04-02,699.175341
1997-04-03,695.366443
1997-04-04,694.84792
1997-04-07,694.551152
1997-04-08,697.477293
1997-04-09,694.916764
1997-04-10,693.912179
1997-04-11,686.224315
1997-04-14,682.767093
1997-04-15,687.723005
1997-04-16,691.417659
1997-04-17,692.06102
1997-04-18,695.860376
1997-04-21,696.279271
1997-04-22,701.116957
1997-04-23,702.375071
1997-04-24,700.301121
1997-04-25,698.165939
1997-04-28,700.884069
1997-04-29,710.073849
1997-04-30,714.152817
1997-05-01,717.542973
1997-05-02,724.985248
1997-05-05,731.650147
1997-05-06,739.187573
1997-05-07,734.509202
1997-05-08,737.654298
1997-05-09,741.89424
1997-05-12,750.033281
1997-05-13,750.49544
1997-05-14,754.111505
1997-05-15,757.352211
1997-05-16,757.567437
1997-05-19,755.645684
1997-05-20,759.168108
1997-05-21,757.254833
1997-05-22,752.375125
1997-05-23,759.970976
1997-05-26,761.88095
1997-05-27,758.397516
1997-05-28,760.764796
1997-05-29,760.859707
1997-05-30,756.826273
1997-06-02,760.491292
1997-06-03,762.603855
1997-06-04,761.35993
1997-06-05,762.907905
1997-06-06,768.329659
1997-06-09,773.626392
1997-06-10,775.488146
1997-06-11,778.426252
1997-06-12,783.338914
1997-06-13,785.979046
1997-06-16,788.106849
1997-06-17,785.033917
1997-06-18,783.985984
1997-06-19,787.264015
1997-06-20,787.22136
1997-06-23,781.782233
1997-06-24,786.872987
1997-06-25,788.725052
1997-06-26,786.2844
1997-06-27,783.252456
1997-06-30,784.187224
1997-07-01,788.269769
1997-07-02,794.506323
1997-07-03,802.075184
1997-07-04,801.795439
1997-07-07,802.132278
1997-07-08,802.594744
1997-07-09,799.830297
1997-07-10,802.756454
1997-07-11,803.233352
1997-07-14,802.323418
1997-07-15,802.251553
1997-07-16,808.194248
1997-07-17,807.412766
1997-07-18,799.567839
1997-07-21,795.715478
1997-07-22,804.971473
1997-07-23,805.537554
1997-07-24,804.701416
1997-07-25,802.154531
1997-07-28,803.396169
1997-07-29,805.24677
1997-07-30,806.468952
1997-07-31,809.059358
1997-08-01,800.971172
1997-08-04,796.634414
1997-08-05,792.696644
1997-08-06,798.944904
1997-08-07,799.369921
1997-08-08,794.72614
1997-08-11,791.88936
1997-08-12,790.42697
1997-08-13,787.757862
1997-08-14,785.116196
1997-08-15,781.229053
1997-08-18,778.736989
1997-08-19,782.654582
1997-08-20,787.355456
1997-08-21,783.358906
1997-08-22,778.819962
1997-08-25,776.876373
1997-08-26,775.252227
1997-08-27,773.437936
1997-08-28,769.009233
1997-08-29,762.097249
1997-09-01,760.480616
1997-09-02,770.677287
1997-09-03,775.71978
1997-09-04,775.37943
1997-09-05,779.297846
1997-09-08,781.007161
1997-09-09,785.776439
1997-09-10,778.26131
1997-09-11,770.93171
1997-09-12,775.531583
1997-09-15,777.460103
1997-09-16,785.64184
1997-09-17,786.206279
1997-09-18,790.820856
1997-09-19,793.893086
1997-09-22,795.68831
1997-09-23,796.753188
1997-09-24,802.389718
1997-09-25,801.641149
1997-09-26,804.044893
1997-09-29,806.729875
1997-09-30,807.799838
1997-10-01,812.140696
1997-10-02,814.456897
1997-10-03,815.879984
1997-10-06,820.313146
1997-10-07,821.862407
1997-10-08,818.670317
1997-10-09,812.385057
1997-10-10,810.571255
1997-10-13,813.644107
1997-10-14,814.829163
1997-10-15,815.364276
1997-10-16,814.70967
1997-10-17,806.666566
1997-10-20,806.714715
1997-10-21,812.12986
1997-10-22,810.773415
1997-10-23,794.690184
1997-10-24,793.15321
1997-10-27,766.581318
1997-10-28,766.614606
1997-10-29,780.000454
1997-10-30,772.460307
1997-10-31,778.339295
1997-11-03,789.175867
1997-11-04,788.230466
1997-11-05,789.844107
1997-11-06,788.795684
1997-11-07,777.458869
1997-11-10,777.746289
1997-11-11,781.141277
1997-11-12,773.584602
1997-11-13,776.323891
1997-11-14,775.540262
1997-11-17,790.988602
1997-11-18,791.455068
1997-11-19,787.559432
1997-11-20,796.82701
1997-11-21,802.057524
1997-11-24,796.836751
1997-11-25,791.71236
1997-11-26,793.077449
1997-11-27,795.324209
1997-11-28,796.116719
1997-12-01,805.799723
1997-12-02,807.556385
1997-12-03,808.260755
1997-12-04,806.289325
1997-12-05,809.884164
1997-12-08,809.748355
1997-12-09,810.226189
1997-12-10,809.328633
1997-12-11,798.385578
1997-12-12,801.299615
1997-12-15,803.617094
1997-12-16,805.445886
1997-12-17,812.461047
1997-12-18,810.395145
1997-12-19,801.370024
1997-12-22,801.243895
1997-12-23,801.677181
1997-12-24,800.477602
1997-12-25,800.509534
1997-12-26,801.766001
1997-12-29,815.055278
1997-12-30,823.468168
1997-12-31,822.794597
1998-01-01,822.794597
1998-01-02,823.807435
1998-01-05,823.76084
1998-01-06,818.86818
1998-01-07,821.161009
1998-01-08,817.39551
1998-01-09,804.060467
1998-01-12,796.27871
1998-01-13,806.193801
1998-01-14,812.778474
1998-01-15,810.444749
1998-01-16,822.129945
1998-01-19,827.081882
1998-01-20,830.600371
1998-01-21,829.472718
1998-01-22,828.354844
1998-01-23,829.650322
1998-01-26,832.41456
1998-01-27,836.260832
1998-01-28,837.700465
1998-01-29,839.240766
1998-01-30,836.11418
1998-02-02,850.244947
1998-02-03,854.864032
1998-02-04,856.731673
1998-02-05,861.437149
1998-02-06,862.365214
1998-02-09,860.092357
1998-02-10,863.107702
1998-02-11,863.993192
1998-02-12,863.334955
1998-02-13,859.450634
1998-02-16,858.74305
1998-02-17,863.541402
1998-02-18,868.282376
1998-02-19,864.206761
1998-02-20,866.50765
1998-02-23,868.23043
1998-02-24,864.160608
1998-02-25,870.629362
1998-02-26,876.915994
1998-02-27,878.808883
1998-03-02,885.016077
1998-03-03,887.832455
1998-03-04,882.249382
1998-03-05,874.560423
1998-03-06,884.626657
1998-03-09,888.107446
1998-03-10,893.941949
1998-03-11,895.476384
1998-03-12,897.166589
1998-03-13,906.379222
1998-03-16,906.449614
1998-03-17,910.592909
1998-03-18,907.860029
1998-03-19,911.222545
1998-03-20,918.052049
1998-03-23,919.632873
1998-03-24,925.312891
1998-03-25,929.705992
1998-03-26,928.613257
1998-03-27,926.596833
1998-03-30,920.296396
1998-03-31,925.497832
1998-04-01,930.398512
1998-04-02,933.41613
1998-04-03,932.109064
1998-04-06,934.028582
1998-04-07,930.317255
1998-04-08,926.376768
1998-04-09,933.512868
1998-04-10,933.753689
1998-04-13,930.418941
1998-04-14,937.903469
1998-04-15,939.821176
1998-04-16,929.364624
1998-04-17,933.223679
1998-04-20,934.550255
1998-04-21,937.811131
1998-04-22,937.261769
1998-04-23,930.489917
1998-04-24,923.097305
1998-04-27,905.580614
1998-04-28,906.8089
1998-04-29,909.184544
1998-04-30,922.566132
1998-05-01,930.314839
1998-05-04,936.663156
1998-05-05,931.701656
1998-05-06,928.201421
1998-05-07,919.580725
1998-05-08,926.664219
1998-05-11,930.676158
1998-05-12,929.214971
1998-05-13,927.184935
1998-05-14,923.889534
1998-05-15,919.038437
1998-05-18,911.320346
1998-05-19,916.059691
1998-05-20,925.97136
1998-05-21,929.970377
1998-05-22,929.680192
1998-05-25,930.857094
1998-05-26,927.924217
1998-05-27,917.264686
1998-05-28,920.883325
1998-05-29,920.064039
1998-06-01,918.927752
1998-06-02,922.015281
1998-06-03,920.316909
1998-06-04,921.973634
1998-06-05,929.010305
1998-06-08,927.999798
1998-06-09,928.126629
1998-06-10,920.160153
1998-06-11,910.064745
1998-06-12,905.994589
1998-06-15,889.432673
1998-06-16,897.317174
1998-06-17,915.36917
1998-06-18,913.725196
1998-06-19,913.137775
1998-06-22,906.883053
1998-06-23,910.482429
1998-06-24,912.504518
1998-06-25,915.327373
1998-06-26,914.118163
1998-06-29,916.482659
1998-06-30,921.413881
1998-07-01,931.04861
1998-07-02,931.990752
1998-07-03,937.069391
1998-07-06,940.971392
1998-07-07,940.342063
1998-07-08,941.256159
1998-07-09,933.827876
1998-07-10,930.33319
1998-07-13,934.920159
1998-07-14,946.552107
1998-07-15,946.000846
1998-07-16,950.612447
1998-07-17,953.608739
1998-07-20,955.268082
1998-07-21,947.840574
1998-07-22,942.954406
1998-07-23,930.540989
1998-07-24,931.201241
1998-07-27,924.721876
1998-07-28,921.787798
1998-07-29,916.905364
1998-07-30,923.34755
1998-07-31,914.457819
1998-08-03,907.499444
1998-08-04,895.293265
1998-08-05,892.095571
1998-08-06,888.425595
1998-08-07,893.335973
1998-08-10,886.099524
1998-08-11,871.753785
1998-08-12,884.024238
1998-08-13,876.046626
1998-08-14,873.534123
1998-08-17,878.381633
1998-08-18,889.553548
1998-08-19,891.574743
1998-08-20,890.514652
1998-08-21,874.471646
1998-08-24,877.922922
1998-08-25,882.170199
1998-08-26,874.225593
1998-08-27,852.447078
1998-08-28,849.506969
1998-08-31,833.144567
1998-09-01,844.432203
1998-09-02,845.489494
1998-09-03,847.028486
1998-09-04,847.367306
1998-09-07,861.257765
1998-09-08,878.606222
1998-09-09,868.836817
1998-09-10,859.850543
1998-09-11,867.225073
1998-09-14,874.082407
1998-09-15,879.546856
1998-09-16,880.89314
1998-09-17,864.709047
1998-09-18,862.0671
1998-09-21,853.101516
1998-09-22,860.568293
1998-09-23,874.563343
1998-09-24,873.691317
1998-09-25,868.911518
1998-09-28,873.221887
1998-09-29,877.506317
1998-09-30,858.814917
1998-10-01,843.849609
1998-10-02,849.727332
1998-10-05,845.295703
1998-10-06,854.807977
1998-10-07,871.255524
1998-10-08,862.578373
1998-10-09,859.451115
1998-10-12,869.98931
1998-10-13,867.615139
1998-10-14,873.181461
1998-10-15,893.894585
1998-10-16,904.570319
1998-10-19,903.089091
1998-10-20,908.758836
1998-10-21,906.879982
1998-10-22,906.94891
1998-10-23,903.66885
1998-10-26,904.010899
1998-10-27,906.471982
1998-10-28,904.13922
1998-10-29,916.358419
1998-10-30,922.522087
1998-11-02,940.32988
1998-11-03,939.124077
1998-11-04,943.435089
1998-11-05,943.896577
1998-11-06,942.507496
1998-11-09,929.385862
1998-11-10,923.753371
1998-11-11,927.707997
1998-11-12,917.818127
1998-11-13,924.965359
1998-11-16,938.003594
1998-11-17,936.259777
1998-11-18,936.808489
1998-11-19,942.977532
1998-11-20,951.150733
1998-11-23,960.267776
1998-11-24,959.916291
1998-11-25,957.127372
1998-11-26,964.403663
1998-11-27,962.674966
1998-11-30,948.554621
1998-12-01,946.759316
1998-12-02,945.074265
1998-12-03,944.689781
1998-12-04,954.374943
1998-12-07,955.340631
1998-12-08,957.19925
1998-12-09,963.382522
1998-12-10,960.741371
1998-12-11,958.644044
1998-12-14,950.886379
1998-12-15,953.859378
1998-12-16,956.370558
1998-12-17,964.222372
1998-12-18,969.151673
1998-12-21,975.676791
1998-12-22,972.756701
1998-12-23,985.153831
1998-12-24,982.594054
1998-12-25,983.313048
1998-12-28,984.583937
1998-12-29,995.493521
1998-12-30,989.104862
1998-12-31,994.423741
1999-01-01,994.423897
1999-01-04,1000.047112
1999-01-05,1008.232942
1999-01-06,1019.365752
1999-01-07,1014.357846
1999-01-08,1012.786048
1999-01-11,1004.142308
1999-01-12,989.368435
1999-01-13,978.696557
1999-01-14,973.355546
1999-01-15,981.990524
1999-01-18,986.836494
1999-01-19,987.614205
1999-01-20,988.666365
1999-01-21,981.413555
1999-01-22,970.568723
1999-01-25,971.955247
1999-01-26,981.098972
1999-01-27,977.424104
1999-01-28,979.727798
1999-01-29,983.452388
1999-02-01,980.373871
1999-02-02,979.541233
1999-02-03,976.222928
1999-02-04,973.045767
1999-02-05,970.586731
1999-02-08,967.801565
1999-02-09,957.355014
1999-02-10,955.227801
1999-02-11,964.000128
1999-02-12,959.353926
