date,value
2010-05-26,1000
2010-05-27,1035.229613
2010-05-28,1029.629827
2010-05-31,1029.584995
2010-06-01,1020.84225
2010-06-02,1034.349583
2010-06-03,1046.356242
2010-06-04,1012.917212
2010-06-07,991.66364
2010-06-08,995.621677
2010-06-09,1003.801144
2010-06-10,1034.083498
2010-06-11,1037.572722
2010-06-14,1051.64711
2010-06-15,1070.033293
2010-06-16,1073.452557
2010-06-17,1072.998576
2010-06-18,1075.464303
2010-06-21,1081.011012
2010-06-22,1063.221899
2010-06-23,1054.262201
2010-06-24,1037.466065
2010-06-25,1038.97185
2010-06-28,1039.206716
2010-06-29,998.939156
2010-06-30,991.453995
2010-07-01,986.479307
2010-07-02,984.882808
2010-07-05,982.467126
2010-07-06,998.936434
2010-07-07,1018.44153
2010-07-08,1028.980806
2010-07-09,1038.528571
2010-07-12,1037.680598
2010-07-13,1057.391331
2010-07-14,1061.88337
2010-07-15,1060.062145
2010-07-16,1033.976693
2010-07-19,1032.000168
2010-07-20,1036.173253
2010-07-21,1031.793069
2010-07-22,1055.141827
2010-07-23,1067.421483
2010-07-26,1081.050242
2010-07-27,1075.448351
2010-07-28,1071.317441
2010-07-29,1071.803241
2010-07-30,1069.397432
2010-08-02,1093.460716
2010-08-03,1091.682172
2010-08-04,1092.39431
2010-08-05,1091.529801
2010-08-06,1088.939269
2010-08-09,1096.189222
2010-08-10,1083.180598
2010-08-11,1048.599853
2010-08-12,1042.719903
2010-08-13,1039.553661
2010-08-16,1042.176229
2010-08-17,1057.464193
2010-08-18,1060.877885
2010-08-19,1046.67083
2010-08-20,1035.299205
2010-08-23,1031.733986
2010-08-24,1014.626196
2010-08-25,1012.300117
2010-08-26,1015.905689
2010-08-27,1030.083873
2010-08-30,1023.003906
2010-08-31,1021.345004
2010-09-01,1055.099745
2010-09-02,1066.365206
2010-09-03,1080.995086
2010-09-06,1084.830343
2010-09-07,1069.364745
2010-09-08,1076.418305
2010-09-09,1083.981009
2010-09-10,1086.506184
2010-09-13,1105.387533
2010-09-14,1108.227211
2010-09-15,1112.408195
2010-09-16,1112.907789
2010-09-17,1114.35794
2010-09-20,1132.457562
2010-09-21,1127.365548
2010-09-22,1125.219993
2010-09-23,1117.750527
2010-09-24,1142.839841
2010-09-27,1138.232245
2010-09-28,1147.362698
2010-09-29,1148.343456
2010-09-30,1142.063099
2010-10-01,1143.066598
2010-10-04,1134.494821
2010-10-05,1157.878688
2010-10-06,1157.847677
2010-10-07,1157.208428
2010-10-08,1162.180361
2010-10-11,1163.563808
2010-10-12,1165.680347
2010-10-13,1178.91002
2010-10-14,1182.380575
2010-10-15,1181.289602
2010-10-18,1179.607079
2010-10-19,1160.162887
2010-10-20,1175.366587
2010-10-21,1183.085513
2010-10-22,1182.243602
2010-10-25,1191.350336
2010-10-26,1185.863538
2010-10-27,1178.715764
2010-10-28,1184.848798
2010-10-29,1184.422832
2010-11-01,1187.355296
2010-11-02,1199.484147
2010-11-03,1202.105952
2010-11-04,1232.24855
2010-11-05,1233.707955
2010-11-08,1231.64239
2010-11-09,1226.977827
2010-11-10,1223.617856
2010-11-11,1220.561068
2010-11-12,1208.989562
2010-11-15,1208.934249
2010-11-16,1186.196611
2010-11-17,1190.763322
2010-11-18,1211.730824
2010-11-19,1217.133291
2010-11-22,1219.949242
2010-11-23,1200.90362
2010-11-24,1219.819219
2010-11-25,1222.727907
2010-11-26,1211.620616
2010-11-29,1201.855476
2010-11-30,1195.503588
2010-12-01,1225.38149
2010-12-02,1248.017046
2010-12-03,1257.547732
2010-12-06,1256.54985
2010-12-07,1262.463643
2010-12-08,1254.755249
2010-12-09,1246.367611
2010-12-10,1253.411838
2010-12-13,1261.994103
2010-12-14,1260.183163
2010-12-15,1250.987606
2010-12-16,1251.663752
2010-12-17,1251.591631
2010-12-20,1253.673359
2010-12-21,1267.375595
2010-12-22,1264.991892
2010-12-23,1261.625959
2010-12-24,1263.461677
2010-12-27,1259.198128
2010-12-28,1257.683847
2010-12-29,1262.892786
2010-12-30,1261.806058
2010-12-31,1263.663941
2011-01-03,1277.16768
2011-01-04,1273.474404
2011-01-05,1269.6749
2011-01-06,1266.760474
2011-01-07,1264.681184
2011-01-10,1262.365959
2011-01-11,1270.824435
2011-01-12,1281.251971
2011-01-13,1284.213164
2011-01-14,1287.474597
2011-01-17,1283.513102
2011-01-18,1294.012451
2011-01-19,1277.543425
2011-01-20,1254.119827
2011-01-21,1257.107845
2011-01-24,1263.751191
2011-01-25,1264.905298
2011-01-26,1282.282763
2011-01-27,1287.217122
2011-01-28,1259.799371
2011-01-31,1263.792012
2011-02-01,1285.165761
2011-02-02,1284.384561
2011-02-03,1283.475897
2011-02-04,1284.759767
2011-02-07,1293.549269
2011-02-08,1302.423067
2011-02-09,1301.122593
2011-02-10,1299.432157
2011-02-11,1309.199355
2011-02-14,1313.188923
2011-02-15,1309.165545
2011-02-16,1314.176312
2011-02-17,1314.833941
2011-02-18,1315.6193
2011-02-21,1309.630491
2011-02-22,1287.701009
2011-02-23,1270.592358
2011-02-24,1268.103994
2011-02-25,1287.986799
2011-02-28,1299.839499
2011-03-01,1289.832429
2011-03-02,1290.056797
2011-03-03,1308.967564
2011-03-04,1304.988362
2011-03-07,1295.98153
2011-03-08,1298.622209
2011-03-09,1297.500686
2011-03-10,1272.687583
2011-03-11,1270.615094
2011-03-14,1263.104888
2011-03-15,1238.635835
2011-03-16,1220.746866
2011-03-17,1237.34528
2011-03-18,1247.932888
2011-03-21,1271.5993
2011-03-22,1268.564113
2011-03-23,1270.785832
2011-03-24,1293.14393
2011-03-25,1296.020963
2011-03-28,1288.740529
2011-03-29,1295.418705
2011-03-30,1312.168879
2011-03-31,1313.671041
2011-04-01,1324.441111
2011-04-04,1332.474421
2011-04-05,1335.109955
2011-04-06,1339.523607
2011-04-07,1329.228441
2011-04-08,1335.054852
2011-04-11,1329.659479
2011-04-12,1313.430757
2011-04-13,1325.064682
2011-04-14,1321.737628
2011-04-15,1325.206502
2011-04-18,1304.704132
2011-04-19,1319.781187
2011-04-20,1355.199245
2011-04-21,1367.436299
2011-04-22,1367.867176
2011-04-25,1365.965937
2011-04-26,1373.685505
2011-04-27,1379.272416
2011-04-28,1391.464043
2011-04-29,1398.833807
2011-05-02,1400.022432
2011-05-03,1385.648516
2011-05-04,1370.046072
2011-05-05,1355.891364
2011-05-06,1363.939597
2011-05-09,1359.721974
2011-05-10,1376.596863
2011-05-11,1368.603616
2011-05-12,1360.588953
2011-05-13,1356.51964
2011-05-16,1347.587193
2011-05-17,1335.789357
2011-05-18,1352.059276
2011-05-19,1359.842261
2011-05-20,1351.481609
2011-05-23,1322.005502
2011-05-24,1324.840646
2011-05-25,1330.366601
2011-05-26,1337.215616
2011-05-27,1351.761898
2011-05-30,1352.619464
2011-05-31,1371.542481
2011-06-01,1351.408234
2011-06-02,1348.3432
2011-06-03,1339.643619
2011-06-06,1329.249658
2011-06-07,1332.679077
2011-06-08,1318.556245
2011-06-09,1330.706313
2011-06-10,1305.794343
2011-06-13,1302.545187
2011-06-14,1324.768619
2011-06-15,1299.941682
2011-06-16,1286.139487
2011-06-17,1293.179406
2011-06-20,1301.007882
2011-06-21,1331.283884
2011-06-22,1326.959692
2011-06-23,1315.452169
2011-06-24,1308.304169
2011-06-27,1321.824188
2011-06-28,1345.427667
2011-06-29,1360.257144
2011-06-30,1376.381277
2011-07-01,1391.619623
2011-07-04,1397.049298
2011-07-05,1400.540575
2011-07-06,1400.071756
2011-07-07,1411.170487
2011-07-08,1401.436749
2011-07-11,1366.75756
2011-07-12,1357.280184
2011-07-13,1374.660477
2011-07-14,1363.18172
2011-07-15,1367.508066
2011-07-18,1348.046513
2011-07-19,1374.154986
2011-07-20,1372.229031
2011-07-21,1386.333413
2011-07-22,1390.201975
2011-07-25,1384.092836
2011-07-26,1380.201164
2011-07-27,1349.599615
2011-07-28,1344.894753
2011-07-29,1340.56766
2011-08-01,1326.267602
2011-08-02,1288.780272
2011-08-03,1287.24599
2011-08-04,1218.592856
2011-08-05,1203.208122
2011-08-08,1125.512676
2011-08-09,1178.613897
2011-08-10,1139.516821
2011-08-11,1187.70105
2011-08-12,1208.551478
2011-08-15,1229.52845
2011-08-16,1215.461512
2011-08-17,1213.577547
2011-08-18,1141.160698
2011-08-19,1121.027616
2011-08-22,1119.576768
2011-08-23,1153.368754
2011-08-24,1170.521467
2011-08-25,1152.755779
2011-08-26,1170.499256
2011-08-29,1206.003399
2011-08-30,1214.092234
2011-08-31,1231.992324
2011-09-01,1223.514838
2011-09-02,1196.995928
2011-09-05,1184.180261
2011-09-06,1179.739363
2011-09-07,1211.058074
2011-09-08,1207.538478
2011-09-09,1169.099935
2011-09-12,1166.782033
2011-09-13,1179.89393
2011-09-14,1196.186154
2011-09-15,1217.178817
2011-09-16,1226.624865
2011-09-19,1217.014093
2011-09-20,1220.213475
2011-09-21,1192.799507
2011-09-22,1143.814331
2011-09-23,1147.968635
2011-09-26,1160.224025
2011-09-27,1182.327558
2011-09-28,1162.315345
2011-09-29,1155.369263
2011-09-30,1124.53956
2011-10-03,1092.097365
2011-10-04,1098.20718
2011-10-05,1119.196917
2011-10-06,1146.46521
2011-10-07,1148.178485
2011-10-10,1183.728162
2011-10-11,1189.766494
2011-10-12,1201.914396
2011-10-13,1200.52411
2011-10-14,1221.943039
2011-10-17,1204.186805
2011-10-18,1210.264778
2011-10-19,1197.556031
2011-10-20,1194.467011
2011-10-21,1225.039889
2011-10-24,1248.149847
2011-10-25,1228.820091
2011-10-26,1231.542489
2011-10-27,1277.601534
2011-10-28,1282.877789
2011-10-31,1254.434401
2011-11-01,1218.218451
2011-11-02,1237.377038
2011-11-03,1256.773696
2011-11-04,1253.781165
2011-11-07,1253.327891
2011-11-08,1264.572918
2011-11-09,1228.281283
2011-11-10,1228.812933
2011-11-11,1256.425631
2011-11-14,1247.785517
2011-11-15,1249.02753
2011-11-16,1231.891669
2011-11-17,1212.145824
2011-11-18,1204.978048
2011-11-21,1180.544339
2011-11-22,1181.530842
2011-11-23,1156.274774
2011-11-24,1153.315268
2011-11-25,1149.247071
2011-11-28,1184.675488
2011-11-29,1189.517563
2011-11-30,1236.525888
2011-12-01,1238.098015
2011-12-02,1237.053116
2011-12-05,1242.813725
2011-12-06,1240.359186
2011-12-07,1242.638968
2011-12-08,1223.897969
2011-12-09,1239.26809
2011-12-12,1221.515297
2011-12-13,1208.6558
2011-12-14,1185.92441
2011-12-15,1188.854897
2011-12-16,1191.201733
2011-12-19,1183.992632
2011-12-20,1215.374778
2011-12-21,1211.4105
2011-12-22,1216.721516
2011-12-23,1227.472876
2011-12-26,1227.77263
2011-12-27,1231.70383
2011-12-28,1217.03484
2011-12-29,1226.564764
2011-12-30,1225.094669
2012-01-02,1227.034505
2012-01-03,1239.954356
2012-01-04,1238.500837
2012-01-05,1240.680428
2012-01-06,1236.409777
2012-01-09,1237.31997
2012-01-10,1248.004704
2012-01-11,1244.220692
2012-01-12,1245.478649
2012-01-13,1240.841364
2012-01-16,1243.064236
2012-01-17,1252.913211
2012-01-18,1264.641622
2012-01-19,1268.62416
2012-01-20,1266.303457
2012-01-23,1271.170757
2012-01-24,1268.324606
2012-01-25,1280.619566
2012-01-26,1283.610751
2012-01-27,1280.886849
2012-01-30,1278.267201
2012-01-31,1282.167621
2012-02-01,1295.980099
2012-02-02,1299.516205
2012-02-03,1315.940526
2012-02-06,1312.46623
2012-02-07,1317.874089
2012-02-08,1319.607139
2012-02-09,1326.296885
2012-02-10,1317.689113
2012-02-13,1327.552064
2012-02-14,1327.733224
2012-02-15,1321.622269
2012-02-16,1327.677547
2012-02-17,1333.038557
2012-02-20,1336.266349
2012-02-21,1335.562522
2012-02-22,1335.934384
2012-02-23,1342.892796
2012-02-24,1348.667734
2012-02-27,1349.530639
2012-02-28,1356.56433
2012-02-29,1351.873797
2012-03-01,1362.105749
2012-03-02,1355.980632
2012-03-05,1353.225797
2012-03-06,1328.990454
2012-03-07,1338.435396
2012-03-08,1357.835483
2012-03-09,1362.514145
2012-03-12,1359.930602
2012-03-13,1378.090341
2012-03-14,1376.932366
2012-03-15,1381.897116
2012-03-16,1383.91077
2012-03-19,1389.051117
2012-03-20,1381.784638
2012-03-21,1383.177213
2012-03-22,1376.245483
2012-03-23,1380.92895
2012-03-26,1401.284501
2012-03-27,1398.323127
2012-03-28,1388.364659
2012-03-29,1386.174753
2012-03-30,1389.319959
2012-04-02,1406.355229
2012-04-03,1405.223098
2012-04-04,1383.966865
2012-04-05,1389.526474
2012-04-06,1389.022076
2012-04-09,1380.024266
2012-04-10,1354.232566
2012-04-11,1365.666029
2012-04-12,1383.711871
2012-04-13,1371.92888
2012-04-16,1365.325623
2012-04-17,1385.113538
2012-04-18,1386.549972
2012-04-19,1378.687653
2012-04-20,1381.735655
2012-04-23,1363.669666
2012-04-24,1363.374657
2012-04-25,1387.709941
2012-04-26,1404.142962
2012-04-27,1412.895158
2012-04-30,1406.636244
2012-05-01,1413.244792
