date,value
1997-01-01,283.5496
1997-01-02,280.274137
1997-01-03,283.729126
1997-01-06,284.564757
1997-01-07,285.924878
1997-01-08,285.443076
1997-01-09,286.04144
1997-01-10,285.959383
1997-01-13,287.563197
1997-01-14,291.264654
1997-01-15,291.071908
1997-01-16,292.639036
1997-01-17,293.463584
1997-01-20,293.216978
1997-01-21,294.091046
1997-01-22,295.598232
1997-01-23,293.096807
1997-01-24,290.621332
1997-01-27,288.405431
1997-01-28,289.155379
1997-01-29,291.404085
1997-01-30,294.62395
1997-01-31,296.554657
1997-02-03,296.974822
1997-02-04,298.000345
1997-02-05,295.657921
1997-02-06,295.444159
1997-02-07,298.430308
1997-02-10,298.258804
1997-02-11,298.76804
1997-02-12,302.146282
1997-02-13,305.256827
1997-02-14,304.530148
1997-02-17,304.401728
1997-02-18,305.979209
1997-02-19,304.605833
1997-02-20,301.613013
1997-02-21,300.438041
1997-02-24,303.599318
1997-02-25,305.230626
1997-02-26,302.861176
1997-02-27,299.913253
1997-02-28,297.617817
1997-03-03,298.930485
1997-03-04,299.12394
1997-03-05,302.54883
1997-03-06,302.149205
1997-03-07,303.500808
1997-03-10,307.331051
1997-03-11,306.678584
1997-03-12,303.43641
1997-03-13,299.034202
1997-03-14,299.237383
1997-03-17,298.934075
1997-03-18,296.745355
1997-03-19,295.370585
1997-03-20,291.792215
1997-03-21,292.923472
1997-03-24,294.139277
1997-03-25,295.871019
1997-03-26,297.516523
1997-03-27,294.811367
1997-03-28,294.905364
1997-03-31,291.055454
1997-04-01,289.780405
1997-04-02,286.944656
1997-04-03,286.606007
1997-04-04,288.37578
1997-04-07,290.011193
1997-04-08,292.564482
1997-04-09,291.287104
1997-04-10,289.838122
1997-04-11,284.468155
1997-04-14,285.122231
1997-04-15,288.658065
1997-04-16,290.969386
1997-04-17,291.68967
1997-04-18,293.136572
1997-04-21,293.576059
1997-04-22,297.405675
1997-04-23,299.220598
1997-04-24,299.826745
1997-04-25,297.638572
1997-04-28,299.275557
1997-04-29,306.401518
1997-04-30,308.749731
1997-05-01,309.298786
1997-05-02,313.285554
1997-05-05,317.121867
1997-05-06,319.269623
1997-05-07,316.116026
1997-05-08,318.204874
1997-05-09,321.23952
1997-05-12,324.684972
1997-05-13,323.763135
1997-05-14,325.120233
1997-05-15,326.316665
1997-05-16,324.224798
1997-05-19,323.647406
1997-05-20,326.74512
1997-05-21,327.507101
1997-05-22,325.827522
1997-05-23,329.482233
1997-05-26,330.573143
1997-05-27,330.667195
1997-05-28,329.557853
1997-05-29,327.58497
1997-05-30,324.87897
1997-06-02,324.390272
1997-06-03,325.219321
1997-06-04,324.779229
1997-06-05,326.165974
1997-06-06,330.959355
1997-06-09,334.660134
1997-06-10,334.497012
1997-06-11,336.332943
1997-06-12,339.305128
1997-06-13,341.86639
1997-06-16,342.774206
1997-06-17,341.146313
1997-06-18,340.489533
1997-06-19,343.522163
1997-06-20,344.346965
1997-06-23,341.018916
1997-06-24,345.421732
1997-06-25,347.12786
1997-06-26,346.342451
1997-06-27,345.835719
1997-06-30,343.130795
1997-07-01,346.7925
1997-07-02,350.087945
1997-07-03,356.657742
1997-07-04,357.297898
1997-07-07,357.82858
1997-07-08,358.976739
1997-07-09,358.022307
1997-07-10,358.45174
1997-07-11,359.48309
1997-07-14,361.351983
1997-07-15,362.125725
1997-07-16,369.877254
1997-07-17,369.171682
1997-07-18,362.01735
1997-07-21,358.356081
1997-07-22,364.636543
1997-07-23,367.451664
1997-07-24,366.093928
1997-07-25,365.040022
1997-07-28,363.757567
1997-07-29,364.989193
1997-07-30,368.200547
1997-07-31,369.199898
1997-08-01,366.139989
1997-08-04,363.489005
1997-08-05,362.494346
1997-08-06,366.157137
1997-08-07,365.936415
1997-08-08,361.782036
1997-08-11,358.763766
1997-08-12,356.763666
1997-08-13,354.862118
1997-08-14,353.659966
1997-08-15,347.895527
1997-08-18,348.454267
1997-08-19,354.253339
1997-08-20,357.996112
1997-08-21,355.030672
1997-08-22,350.526604
1997-08-25,348.240006
1997-08-26,345.977644
1997-08-27,345.606399
1997-08-28,341.688231
1997-08-29,339.034464
1997-09-01,339.447435
1997-09-02,348.036978
1997-09-03,350.790502
1997-09-04,351.159443
1997-09-05,352.29925
1997-09-08,351.597002
1997-09-09,351.853484
1997-09-10,346.784192
1997-09-11,342.846704
1997-09-12,345.575266
1997-09-15,345.767468
1997-09-16,352.991778
1997-09-17,355.484056
1997-09-18,357.414304
1997-09-19,358.72738
1997-09-22,360.84788
1997-09-23,360.943722
1997-09-24,362.796949
1997-09-25,361.384162
1997-09-26,364.336711
1997-09-29,366.606359
1997-09-30,366.170002
1997-10-01,369.42428
1997-10-02,371.234234
1997-10-03,374.150939
1997-10-06,375.65384
1997-10-07,378.08659
1997-10-08,376.525806
1997-10-09,372.439547
1997-10-10,369.756782
1997-10-13,370.904168
1997-10-14,371.013428
1997-10-15,369.155576
1997-10-16,368.223301
1997-10-17,362.585419
1997-10-20,363.211548
1997-10-21,368.206008
1997-10-22,367.340798
1997-10-23,357.662588
1997-10-24,356.43154
1997-10-27,340.3047
1997-10-28,344.687891
1997-10-29,350.441023
1997-10-30,344.657752
1997-10-31,347.398798
1997-11-03,354.198262
1997-11-04,354.519267
1997-11-05,356.670624
1997-11-06,354.905856
1997-11-07,349.20906
1997-11-10,347.193683
1997-11-11,347.133111
1997-11-12,339.581513
1997-11-13,342.160502
1997-11-14,344.752368
1997-11-17,352.228268
1997-11-18,351.841409
1997-11-19,351.714892
1997-11-20,357.755262
1997-11-21,360.167407
1997-11-24,354.118189
1997-11-25,353.326127
1997-11-26,353.13175
1997-11-27,353.799845
1997-11-28,354.233338
1997-12-01,360.10196
1997-12-02,360.502074
1997-12-03,361.153009
1997-12-04,361.533456
1997-12-05,363.343373
1997-12-08,364.643696
1997-12-09,363.697662
1997-12-10,361.509209
1997-12-11,355.5243
1997-12-12,355.518773
1997-12-15,357.975931
1997-12-16,360.089701
1997-12-17,361.962275
1997-12-18,359.371269
1997-12-19,354.595212
1997-12-22,355.772572
1997-12-23,352.721717
1997-12-24,350.945501
1997-12-25,350.947058
1997-12-26,352.352752
1997-12-29,359.049381
1997-12-30,363.814182
1997-12-31,363.614742
1998-01-01,363.614742
1998-01-02,364.115286
1998-01-05,367.394558
1998-01-06,364.517497
1998-01-07,363.717635
1998-01-08,361.501361
1998-01-09,352.535893
1998-01-12,351.500849
1998-01-13,357.040823
1998-01-14,359.635087
1998-01-15,358.08828
1998-01-16,363.047957
1998-01-19,363.701097
1998-01-20,368.634052
1998-01-21,366.699764
1998-01-22,365.639836
1998-01-23,365.705417
1998-01-26,365.292676
1998-01-27,369.614441
1998-01-28,372.930346
1998-01-29,374.711741
1998-01-30,374.092866
1998-02-02,380.447525
1998-02-03,381.735575
1998-02-04,382.615763
1998-02-05,383.80319
1998-02-06,385.673733
1998-02-09,383.375117
1998-02-10,385.39726
1998-02-11,386.494449
1998-02-12,386.933215
1998-02-13,384.94097
1998-02-16,386.525556
1998-02-17,388.054262
1998-02-18,390.847357
1998-02-19,388.715802
1998-02-20,390.54883
1998-02-23,394.899559
1998-02-24,392.860757
1998-02-25,397.356668
1998-02-26,399.324624
1998-02-27,398.703615
1998-03-02,400.705687
1998-03-03,401.624938
1998-03-04,396.853133
1998-03-05,393.147611
1998-03-06,400.425571
1998-03-09,401.394471
1998-03-10,404.260788
1998-03-11,405.601083
1998-03-12,407.028693
1998-03-13,409.500555
1998-03-16,412.204048
1998-03-17,414.744061
1998-03-18,413.772916
1998-03-19,415.760572
1998-03-20,418.697581
1998-03-23,419.657574
1998-03-24,424.135796
1998-03-25,425.46914
1998-03-26,424.413492
1998-03-27,424.654007
1998-03-30,421.60638
1998-03-31,425.467824
1998-04-01,428.9399
1998-04-02,432.422423
1998-04-03,434.974604
1998-04-06,437.856748
1998-04-07,435.024722
1998-04-08,431.693339
1998-04-09,435.278067
1998-04-10,435.582695
1998-04-13,435.100492
1998-04-14,439.71728
1998-04-15,442.184252
1998-04-16,436.948363
1998-04-17,440.62812
1998-04-20,444.304686
1998-04-21,445.847346
1998-04-22,446.287924
1998-04-23,439.818513
1998-04-24,435.107128
1998-04-27,424.521133
1998-04-28,426.362898
1998-04-29,428.082494
1998-04-30,435.406487
1998-05-01,438.903084
1998-05-04,443.255044
1998-05-05,440.689991
1998-05-06,437.874738
1998-05-07,433.589206
1998-05-08,437.550018
1998-05-11,438.517344
1998-05-12,439.22372
1998-05-13,439.891144
1998-05-14,439.494435
1998-05-15,437.033648
1998-05-18,433.183065
1998-05-19,437.700086
1998-05-20,443.021862
1998-05-21,444.088407
1998-05-22,443.432575
1998-05-25,444.688964
1998-05-26,440.803786
1998-05-27,436.937746
1998-05-28,437.589997
1998-05-29,435.813532
1998-06-01,434.540736
1998-06-02,436.869701
1998-06-03,438.076688
1998-06-04,440.309587
1998-06-05,445.701036
1998-06-08,450.344641
1998-06-09,450.621155
1998-06-10,447.030838
1998-06-11,440.693348
1998-06-12,436.46985
1998-06-15,426.128669
1998-06-16,432.758985
1998-06-17,442.875962
1998-06-18,440.906299
1998-06-19,439.876672
1998-06-22,437.121788
1998-06-23,441.642025
1998-06-24,444.831416
1998-06-25,450.308141
1998-06-26,449.365879
1998-06-29,453.110794
1998-06-30,452.582544
1998-07-01,456.380995
1998-07-02,457.262172
1998-07-03,460.27703
1998-07-06,466.080318
1998-07-07,467.353524
1998-07-08,471.013546
1998-07-09,468.129851
1998-07-10,469.881391
1998-07-13,475.057936
1998-07-14,482.278193
1998-07-15,483.623247
1998-07-16,486.729832
1998-07-17,492.006983
1998-07-20,496.976478
1998-07-21,489.979237
1998-07-22,484.529357
