date,value
2007-11-30,1000
2007-12-03,997.412297
2007-12-04,989.497476
2007-12-05,1003.905644
2007-12-06,1010.461956
2007-12-07,1017.127857
2007-12-10,1023.46664
2007-12-11,1010.636491
2007-12-12,1013.953518
2007-12-13,1000.605753
2007-12-14,987.433111
2007-12-17,968.921715
2007-12-18,973.477818
2007-12-19,970.941518
2007-12-20,973.70903
2007-12-21,990.422933
2007-12-24,997.105432
2007-12-25,998.226316
2007-12-26,1000.7686
2007-12-27,996.547971
2007-12-28,1000.062261
2007-12-31,997.081251
2008-01-01,997.081251
2008-01-02,989.936323
2008-01-03,987.28784
2008-01-04,965.635354
2008-01-07,961.088816
2008-01-08,954.802207
2008-01-09,952.648821
2008-01-10,949.051071
2008-01-11,942.532728
2008-01-14,952.812559
2008-01-15,931.014716
2008-01-16,916.470613
2008-01-17,904.058024
2008-01-18,896.881729
2008-01-21,869.863253
2008-01-22,870.330459
2008-01-23,871.067326
2008-01-24,899.429378
2008-01-25,898.954787
2008-01-28,903.107471
2008-01-29,913.683051
2008-01-30,906.751195
2008-01-31,917.148985
2008-02-01,932.105045
2008-02-04,932.570766
2008-02-05,900.909612
2008-02-06,895.295843
2008-02-07,884.579643
2008-02-08,884.936041
2008-02-11,881.947599
2008-02-12,900.583854
2008-02-13,904.666791
2008-02-14,905.845028
2008-02-15,903.231377
2008-02-18,908.183529
2008-02-19,915.03844
2008-02-20,907.700308
2008-02-21,910.719068
2008-02-22,908.988737
2008-02-25,923.751057
2008-02-26,935.114738
2008-02-27,942.766885
2008-02-28,933.53003
2008-02-29,916.434759
2008-03-03,908.975854
2008-03-04,903.540496
2008-03-05,914.461085
2008-03-06,906.068822
2008-03-07,893.885452
2008-03-10,883.205652
2008-03-11,896.072911
2008-03-12,902.698121
2008-03-13,900.358352
2008-03-14,892.134472
2008-03-17,872.686472
2008-03-18,898.901308
2008-03-19,883.574699
2008-03-20,881.553867
2008-03-21,882.932027
2008-03-24,887.616105
2008-03-25,908.525386
2008-03-26,911.582963
2008-03-27,912.347622
2008-03-28,906.165808
2008-03-31,910.697709
2008-04-01,927.594522
2008-04-02,934.899802
2008-04-03,935.723712
2008-04-04,941.860409
2008-04-07,944.979279
2008-04-08,938.743953
2008-04-09,936.077396
2008-04-10,936.572094
2008-04-11,927.964531
2008-04-14,921.772465
2008-04-15,925.209694
2008-04-16,946.600938
2008-04-17,945.215194
2008-04-18,953.664575
2008-04-21,957.429618
2008-04-22,952.059538
2008-04-23,954.301557
2008-04-24,949.186658
2008-04-25,956.670404
2008-04-28,960.068822
2008-04-29,957.138681
2008-04-30,958.030278
2008-05-01,960.180815
2008-05-02,969.395063
2008-05-05,969.843134
2008-05-06,974.972687
2008-05-07,965.532082
