date,value
2007-11-30,1000
2007-12-03,996.510408
2007-12-04,994.048793
2007-12-05,1006.052354
2007-12-06,1013.199313
2007-12-07,1015.274346
2007-12-10,1021.132519
2007-12-11,1009.044835
2007-12-12,1011.839784
2007-12-13,1001.726761
2007-12-14,989.881064
2007-12-17,974.22753
2007-12-18,975.720287
2007-12-19,974.149046
2007-12-20,976.893918
2007-12-21,988.524573
2007-12-24,994.222642
2007-12-25,995.402281
2007-12-26,998.017513
2007-12-27,994.134062
2007-12-28,996.772801
2007-12-31,993.486809
2008-01-01,993.486809
2008-01-02,985.696929
2008-01-03,985.311766
2008-01-04,966.430832
2008-01-07,966.604287
2008-01-08,962.798679
2008-01-09,964.044461
2008-01-10,962.070401
2008-01-11,951.675741
2008-01-14,960.994255
2008-01-15,941.127526
2008-01-16,924.443259
2008-01-17,914.316403
2008-01-18,908.662178
2008-01-21,879.771036
2008-01-22,875.231395
2008-01-23,879.203603
2008-01-24,905.784843
2008-01-25,906.225662
2008-01-28,908.174219
2008-01-29,915.32084
2008-01-30,909.439197
2008-01-31,920.289521
2008-02-01,931.239706
2008-02-04,931.03573
2008-02-05,901.794929
2008-02-06,895.118236
2008-02-07,889.943274
2008-02-08,889.844415
2008-02-11,891.30308
2008-02-12,907.164078
2008-02-13,912.102024
2008-02-14,914.332387
2008-02-15,910.564033
2008-02-18,912.730556
2008-02-19,917.975069
2008-02-20,910.503264
2008-02-21,914.197734
2008-02-22,911.689171
2008-02-25,925.217928
2008-02-26,935.892053
2008-02-27,944.306289
2008-02-28,936.474185
2008-02-29,919.459272
2008-03-03,911.381827
2008-03-04,907.600224
2008-03-05,916.23637
2008-03-06,909.649785
2008-03-07,898.138547
2008-03-10,889.04603
2008-03-11,903.977942
2008-03-12,909.729262
2008-03-13,906.259303
2008-03-14,895.798464
2008-03-17,882.539844
2008-03-18,908.259889
2008-03-19,894.489328
2008-03-20,892.994264
2008-03-21,895.236217
2008-03-24,899.354784
2008-03-25,916.701527
2008-03-26,916.406947
2008-03-27,916.496925
2008-03-28,909.248598
2008-03-31,913.899053
2008-04-01,929.505617
2008-04-02,938.381705
2008-04-03,943.040544
2008-04-04,948.435161
2008-04-07,952.128636
2008-04-08,945.825483
2008-04-09,941.97307
2008-04-10,946.606791
2008-04-11,936.290278
2008-04-14,928.232019
2008-04-15,935.291486
2008-04-16,955.23803
2008-04-17,952.99089
2008-04-18,959.668283
2008-04-21,966.068559
2008-04-22,959.827579
2008-04-23,962.33469
2008-04-24,957.683823
2008-04-25,962.799359
2008-04-28,963.815655
2008-04-29,961.537365
2008-04-30,960.749327
2008-05-01,962.969744
2008-05-02,971.909602
2008-05-05,970.983287
2008-05-06,975.36714
2008-05-07,965.48845
2008-05-08,967.074516
2008-05-09,961.258385
2008-05-12,971.644957
2008-05-13,970.801667
2008-05-14,977.820767
2008-05-15,988.510846
2008-05-16,996.369592
2008-05-19,1001.620535
2008-05-20,993.966302
2008-05-21,989.527436
2008-05-22,990.04199
2008-05-23,980.587769
2008-05-26,976.794196
2008-05-27,975.761995
2008-05-28,977.257149
2008-05-29,983.378906
2008-05-30,983.278319
2008-06-02,978.438263
2008-06-03,973.52372
2008-06-04,972.205367
2008-06-05,980.696977
2008-06-06,970.305843
2008-06-09,966.467674
2008-06-10,954.42475
2008-06-11,946.204654
2008-06-12,942.068616
2008-06-13,949.833974
2008-06-16,954.878135
2008-06-17,953.372462
2008-06-18,946.486886
2008-06-19,945.170553
2008-06-20,932.147808
2008-06-23,927.886663
2008-06-24,925.732527
2008-06-25,930.714751
2008-06-26,919.08354
2008-06-27,917.774661
2008-06-30,920.227653
2008-07-01,912.764381
2008-07-02,903.252601
2008-07-03,901.084218
2008-07-04,898.290397
2008-07-07,894.510701
2008-07-08,894.170152
2008-07-09,891.062803
2008-07-10,889.192358
2008-07-11,881.128725
2008-07-14,877.302711
2008-07-15,870.923313
2008-07-16,878.524737
2008-07-17,891.934293
2008-07-18,890.422224
2008-07-21,891.081571
2008-07-22,895.370384
2008-07-23,897.930917
2008-07-24,885.219151
2008-07-25,882.531226
2008-07-28,876.160919
2008-07-29,881.554406
2008-07-30,890.125614
2008-07-31,886.979508
2008-08-01,879.041972
2008-08-04,875.629824
2008-08-05,884.60622
2008-08-06,890.461306
2008-08-07,882.860464
2008-08-08,885.588009
2008-08-11,893.360122
2008-08-12,889.111753
2008-08-13,877.837262
2008-08-14,883.304589
2008-08-15,881.117622
2008-08-18,879.309911
2008-08-19,864.579947
2008-08-20,867.260061
2008-08-21,870.660389
2008-08-22,878.180297
2008-08-25,871.125091
2008-08-26,868.438249
2008-08-27,875.946611
2008-08-28,887.348064
2008-08-29,885.568593
2008-09-01,877.666706
2008-09-02,873.673838
2008-09-03,867.827681
2008-09-04,847.721981
2008-09-05,835.851986
2008-09-08,855.49146
2008-09-09,836.367803
2008-09-10,835.659504
2008-09-11,833.205532
2008-09-12,846.749369
2008-09-15,826.089812
2008-09-16,819.448903
2008-09-17,800.955745
2008-09-18,815.874449
2008-09-19,850.345353
2008-09-22,840.210063
2008-09-23,833.503261
2008-09-24,832.368937
2008-09-25,844.60849
2008-09-26,841.709613
2008-09-29,794.90069
2008-09-30,800.281964
2008-10-01,799.746673
2008-10-02,774.855667
2008-10-03,772.264582
2008-10-06,730.519823
2008-10-07,712.949994
2008-10-08,687.335023
2008-10-09,656.411706
2008-10-10,620.943809
2008-10-13,678.105888
2008-10-14,691.988793
2008-10-15,647.323504
2008-10-16,638.916336
2008-10-17,652.288233
2008-10-20,677.407035
2008-10-21,665.163651
2008-10-22,622.809995
2008-10-23,625.840054
2008-10-24,602.561353
2008-10-27,576.688498
2008-10-28,611.934538
2008-10-29,638.841404
2008-10-30,657.986994
2008-10-31,662.116853
2008-11-03,667.503958
2008-11-04,697.374792
2008-11-05,683.394643
2008-11-06,644.238586
2008-11-07,656.264586
2008-11-10,661.311225
2008-11-11,638.078645
2008-11-12,619.230499
2008-11-13,635.343125
2008-11-14,625.924852
2008-11-17,611.607785
2008-11-18,614.51339
2008-11-19,588.908436
2008-11-20,557.268329
2008-11-21,576.239466
2008-11-24,613.086525
2008-11-25,624.233761
2008-11-26,634.769849
2008-11-27,640.236571
2008-11-28,645.307004
2008-12-01,601.510964
2008-12-02,611.892728
2008-12-03,622.240367
2008-12-04,612.925967
2008-12-05,617.323371
2008-12-08,651.751962
2008-12-09,644.860685
2008-12-10,652.376093
2008-12-11,646.506137
2008-12-12,641.967268
2008-12-15,647.895307
2008-12-16,666.4643
2008-12-17,676.195983
2008-12-18,669.256385
2008-12-19,660.084977
2008-12-22,650.241292
2008-12-23,646.467225
2008-12-24,646.577445
2008-12-25,647.520145
2008-12-26,650.354149
2008-12-29,655.983295
2008-12-30,667.714602
2008-12-31,671.402664
2009-01-01,671.402664
2009-01-02,689.896614
2009-01-05,688.375565
2009-01-06,693.189023
2009-01-07,683.91476
2009-01-08,683.005982
2009-01-09,671.446678
2009-01-12,658.562153
2009-01-13,649.080396
2009-01-14,629.154372
2009-01-15,622.298235
2009-01-16,634.985545
2009-01-19,632.026099
2009-01-20,604.70314
2009-01-21,612.376304
2009-01-22,604.008947
2009-01-23,598.984298
2009-01-26,608.991253
2009-01-27,620.127944
2009-01-28,636.629409
2009-01-29,620.453543
2009-01-30,604.909232
2009-02-02,599.534743
2009-02-03,612.57147
2009-02-04,616.49029
2009-02-05,621.094075
2009-02-06,635.070551
2009-02-09,639.696929
2009-02-10,617.124131
2009-02-11,615.53096
2009-02-12,609.703381
2009-02-13,610.313325
2009-02-16,606.193524
2009-02-17,581.306958
2009-02-18,577.54143
2009-02-19,577.315853
2009-02-20,565.385974
2009-02-23,554.776369
2009-02-24,562.288042
2009-02-25,558.624695
2009-02-26,557.82686
2009-02-27,547.453924
2009-03-02,522.151665
2009-03-03,516.52969
2009-03-04,529.64596
2009-03-05,510.737917
2009-03-06,508.955702
2009-03-09,502.268336
2009-03-10,529.989905
2009-03-11,535.66176
2009-03-12,546.320527
2009-03-13,555.944824
2009-03-16,560.097305
2009-03-17,569.633748
2009-03-18,578.297081
2009-03-19,590.42665
