date,value
2010-05-26,1000
2010-05-27,1027.003874
2010-05-28,1023.287685
2010-05-31,1022.911916
2010-06-01,1015.84685
2010-06-02,1024.693606
2010-06-03,1035.119866
2010-06-04,1008.561515
2010-06-07,992.590247
2010-06-08,996.824525
2010-06-09,1005.248275
2010-06-10,1027.440404
2010-06-11,1031.675377
2010-06-14,1041.899474
2010-06-15,1057.921008
2010-06-16,1060.885897
2010-06-17,1061.220555
2010-06-18,1063.212175
2010-06-21,1067.560717
2010-06-22,1054.807132
2010-06-23,1046.924737
2010-06-24,1036.571174
2010-06-25,1032.953473
2010-06-28,1038.61854
2010-06-29,1009.606058
2010-06-30,1007.203569
2010-07-01,1005.246635
2010-07-02,1006.083353
2010-07-05,1002.282584
2010-07-06,1018.393028
2010-07-07,1034.428244
2010-07-08,1045.402983
2010-07-09,1051.290097
2010-07-12,1050.903454
2010-07-13,1066.904659
2010-07-14,1070.378322
2010-07-15,1071.743962
2010-07-16,1053.636066
2010-07-19,1051.728329
2010-07-20,1056.959802
2010-07-21,1053.260044
2010-07-22,1071.088952
2010-07-23,1077.7197
2010-07-26,1085.833351
2010-07-27,1085.368851
2010-07-28,1083.443343
2010-07-29,1082.232267
2010-07-30,1080.155946
2010-08-02,1103.658774
2010-08-03,1104.066429
2010-08-04,1105.859302
2010-08-05,1105.0764
2010-08-06,1107.059497
2010-08-09,1115.607836
2010-08-10,1104.901981
2010-08-11,1078.155052
2010-08-12,1072.932925
2010-08-13,1070.088857
2010-08-16,1073.216007
2010-08-17,1084.210499
2010-08-18,1083.815903
2010-08-19,1072.496304
2010-08-20,1061.829182
2010-08-23,1062.43648
2010-08-24,1049.794149
2010-08-25,1045.1078
2010-08-26,1047.816002
2010-08-27,1059.170835
2010-08-30,1053.032129
2010-08-31,1050.38634
2010-09-01,1079.368428
2010-09-02,1084.291238
2010-09-03,1094.287781
2010-09-06,1098.528267
2010-09-07,1088.320864
2010-09-08,1094.085133
2010-09-09,1099.614113
2010-09-10,1101.809792
2010-09-13,1115.49059
2010-09-14,1120.146582
2010-09-15,1123.541004
2010-09-16,1122.847158
2010-09-17,1122.769964
2010-09-20,1137.648745
2010-09-21,1135.479412
2010-09-22,1138.987633
2010-09-23,1132.407585
2010-09-24,1150.550146
2010-09-27,1148.387441
2010-09-28,1154.284622
2010-09-29,1151.163168
2010-09-30,1146.908353
2010-10-01,1151.275543
2010-10-04,1143.745393
2010-10-05,1164.66997
2010-10-06,1169.676239
2010-10-07,1171.491471
2010-10-08,1174.229329
2010-10-11,1174.392288
2010-10-12,1172.172626
2010-10-13,1186.820124
2010-10-14,1193.2313
2010-10-15,1190.583677
2010-10-18,1191.009396
2010-10-19,1172.643122
2010-10-20,1187.081597
2010-10-21,1194.181759
2010-10-22,1189.878673
2010-10-25,1198.532124
2010-10-26,1194.566203
2010-10-27,1184.146638
2010-10-28,1188.670842
2010-10-29,1192.878555
2010-11-01,1196.975459
2010-11-02,1206.0921
2010-11-03,1205.267374
2010-11-04,1230.220783
2010-11-05,1230.857713
2010-11-08,1226.447706
2010-11-09,1225.956444
2010-11-10,1217.244215
2010-11-11,1214.566163
2010-11-12,1203.824499
2010-11-15,1204.354284
2010-11-16,1183.251073
2010-11-17,1186.967984
2010-11-18,1204.181771
2010-11-19,1207.624472
2010-11-22,1204.480452
2010-11-23,1184.249772
2010-11-24,1196.888204
2010-11-25,1198.637216
2010-11-26,1185.497634
2010-11-29,1176.176328
2010-11-30,1172.542739
2010-12-01,1193.509498
2010-12-02,1209.924612
2010-12-03,1218.308526
2010-12-06,1215.281518
2010-12-07,1219.490052
2010-12-08,1217.596134
2010-12-09,1217.644967
2010-12-10,1223.452351
2010-12-13,1232.285462
2010-12-14,1236.236757
2010-12-15,1230.543419
2010-12-16,1229.763814
2010-12-17,1226.784559
2010-12-20,1227.096454
2010-12-21,1234.331865
2010-12-22,1234.768381
2010-12-23,1234.784557
2010-12-24,1236.999422
2010-12-27,1234.071793
2010-12-28,1236.153014
2010-12-29,1238.676522
2010-12-30,1236.448973
2010-12-31,1240.026916
2011-01-03,1242.330885
2011-01-04,1241.525274
2011-01-05,1236.177624
2011-01-06,1234.80726
2011-01-07,1233.586693
2011-01-10,1228.10491
2011-01-11,1234.331432
2011-01-12,1247.352411
2011-01-13,1253.341769
2011-01-14,1256.138919
2011-01-17,1255.894368
2011-01-18,1264.679395
2011-01-19,1260.455031
2011-01-20,1245.441038
2011-01-21,1250.410559
2011-01-24,1262.199103
