date,value
1997-01-01,326.596335
1997-01-02,323.845254
1997-01-03,328.18514
1997-01-06,328.567033
1997-01-07,330.732074
1997-01-08,329.312963
1997-01-09,330.467903
1997-01-10,330.898666
1997-01-13,331.783469
1997-01-14,335.489313
1997-01-15,335.365579
1997-01-16,337.285871
1997-01-17,339.218745
1997-01-20,339.494253
1997-01-21,341.362975
1997-01-22,343.002681
1997-01-23,339.872602
1997-01-24,336.961942
1997-01-27,334.452916
1997-01-28,334.959221
1997-01-29,336.731586
1997-01-30,341.509903
1997-01-31,344.061451
1997-02-03,344.072843
1997-02-04,345.224718
1997-02-05,341.381068
1997-02-06,341.704323
1997-02-07,344.941036
1997-02-10,343.880101
1997-02-11,345.435111
1997-02-12,349.274003
1997-02-13,351.343733
1997-02-14,350.08676
1997-02-17,349.833449
1997-02-18,351.941742
1997-02-19,352.252327
1997-02-20,349.267887
1997-02-21,348.317194
1997-02-24,352.613199
1997-02-25,353.737889
1997-02-26,351.944536
1997-02-27,347.985187
1997-02-28,346.092374
1997-03-03,347.074714
1997-03-04,345.62364
1997-03-05,349.225368
1997-03-06,348.072644
1997-03-07,349.316565
1997-03-10,353.006298
1997-03-11,352.275663
1997-03-12,349.106715
1997-03-13,344.907092
1997-03-14,345.46219
1997-03-17,345.518859
1997-03-18,344.072827
1997-03-19,342.620207
1997-03-20,338.967704
1997-03-21,338.759359
1997-03-24,339.228865
1997-03-25,340.87026
1997-03-26,343.49609
1997-03-27,340.04044
1997-03-28,340.182232
1997-03-31,334.985832
1997-04-01,333.431038
1997-04-02,330.83641
1997-04-03,330.62224
1997-04-04,333.933846
1997-04-07,335.439542
1997-04-08,336.441074
1997-04-09,334.733998
1997-04-10,334.051161
1997-04-11,327.851326
1997-04-14,329.397865
1997-04-15,333.317996
1997-04-16,337.384119
1997-04-17,337.398117
1997-04-18,340.005315
1997-04-21,339.662501
1997-04-22,344.208156
1997-04-23,344.718549
1997-04-24,344.74528
1997-04-25,341.21081
1997-04-28,343.964628
1997-04-29,351.654121
1997-04-30,354.446578
1997-05-01,354.15823
1997-05-02,358.227123
1997-05-05,363.780245
1997-05-06,364.67718
1997-05-07,361.790658
1997-05-08,363.076213
1997-05-09,365.720965
1997-05-12,370.247165
1997-05-13,370.026356
1997-05-14,371.281702
1997-05-15,373.637255
1997-05-16,370.114079
1997-05-19,370.196426
1997-05-20,372.770069
1997-05-21,373.980464
1997-05-22,372.033125
1997-05-23,375.743498
1997-05-26,376.243594
1997-05-27,377.987157
1997-05-28,376.179823
1997-05-29,374.465084
1997-05-30,372.746572
1997-06-02,372.29315
1997-06-03,370.848781
1997-06-04,368.847976
1997-06-05,370.152947
1997-06-06,376.545331
1997-06-09,379.987776
1997-06-10,379.698546
1997-06-11,381.624167
1997-06-12,385.909636
1997-06-13,389.930037
1997-06-16,390.600451
1997-06-17,390.183332
1997-06-18,386.898855
1997-06-19,391.271207
1997-06-20,392.203607
1997-06-23,387.070648
1997-06-24,393.886188
1997-06-25,392.452309
1997-06-26,391.458599
1997-06-27,391.902416
1997-06-30,390.499209
1997-07-01,392.976112
1997-07-02,396.839503
1997-07-03,403.447718
1997-07-04,403.522988
1997-07-07,402.594006
1997-07-08,404.670644
1997-07-09,401.264842
1997-07-10,402.37165
1997-07-11,404.282324
