date,value
1998-11-30,375.323285
1998-12-01,373.668547
1998-12-02,372.692691
1998-12-03,369.260929
1998-12-04,375.079467
1998-12-07,377.165488
1998-12-08,376.573497
1998-12-09,377.495089
1998-12-10,373.883613
1998-12-11,373.021465
1998-12-14,367.719071
1998-12-15,372.278616
1998-12-16,372.759232
1998-12-17,377.573834
1998-12-18,379.175848
1998-12-21,385.517414
1998-12-22,387.137205
1998-12-23,394.879006
1998-12-24,394.177866
1998-12-25,394.178958
1998-12-28,396.341474
1998-12-29,401.52517
1998-12-30,397.743798
1998-12-31,396.959086
1999-01-01,396.959106
1999-01-04,400.929843
1999-01-05,403.690505
1999-01-06,412.427177
1999-01-07,409.739784
1999-01-08,410.51654
1999-01-11,405.98964
1999-01-12,398.952252
1999-01-13,394.436664
1999-01-14,389.99299
1999-01-15,396.929981
1999-01-18,399.361132
1999-01-19,400.735229
1999-01-20,402.049941
1999-01-21,396.438283
1999-01-22,391.688858
1999-01-25,394.304378
1999-01-26,399.170899
1999-01-27,399.643846
1999-01-28,404.097192
1999-01-29,406.512941
1999-02-01,406.843612
1999-02-02,403.857891
1999-02-03,403.920942
1999-02-04,398.598426
1999-02-05,395.885351
1999-02-08,396.364723
1999-02-09,388.062172
1999-02-10,387.791016
1999-02-11,394.098719
1999-02-12,390.204897
1999-02-15,390.196582
1999-02-16,392.001076
1999-02-17,387.790489
1999-02-18,389.167461
1999-02-19,389.388632
1999-02-22,396.825371
1999-02-23,398.619393
1999-02-24,396.17612
1999-02-25,393.622633
1999-02-26,391.337866
1999-03-01,388.749153
1999-03-02,387.367378
1999-03-03,386.921867
1999-03-04,390.414627
1999-03-05,399.535717
1999-03-08,400.933217
1999-03-09,401.17536
1999-03-10,402.806324
1999-03-11,405.600189
1999-03-12,407.362278
1999-03-15,409.514228
1999-03-16,409.26545
1999-03-17,407.473814
1999-03-18,410.988406
1999-03-19,407.957565
1999-03-22,406.724046
1999-03-23,397.611734
1999-03-24,397.962545
1999-03-25,404.477412
1999-03-26,400.643771
1999-03-29,408.058496
1999-03-30,407.018496
1999-03-31,404.57135
1999-04-01,405.804115
1999-04-02,405.571789
1999-04-05,410.210925
1999-04-06,410.956002
1999-04-07,413.604832
1999-04-08,419.795736
1999-04-09,421.666419
1999-04-12,424.139439
1999-04-13,424.104889
1999-04-14,417.933771
1999-04-15,415.82758
1999-04-16,414.621867
1999-04-19,407.967198
1999-04-20,409.137594
1999-04-21,415.422324
1999-04-22,420.598189
1999-04-23,419.865489
1999-04-26,420.933039
1999-04-27,423.155383
