date,value
2010-11-30,1000
2010-12-01,1010.322908
2010-12-02,1017.967107
2010-12-03,1023.517265
2010-12-06,1021.622245
2010-12-07,1023.205504
2010-12-08,1022.130044
2010-12-09,1023.682904
2010-12-10,1027.124712
2010-12-13,1034.176662
2010-12-14,1037.868962
2010-12-15,1033.612625
2010-12-16,1033.967761
2010-12-17,1034.864492
2010-12-20,1035.196924
2010-12-21,1038.643745
2010-12-22,1039.682105
2010-12-23,1040.914149
2010-12-24,1041.810288
2010-12-27,1040.134877
2010-12-28,1043.629512
2010-12-29,1046.052653
2010-12-30,1044.189354
2010-12-31,1046.032045
2011-01-03,1045.931655
2011-01-04,1042.229509
2011-01-05,1037.131687
2011-01-06,1034.943565
2011-01-07,1034.238249
2011-01-10,1031.252444
2011-01-11,1032.823225
2011-01-12,1039.567438
2011-01-13,1041.125078
2011-01-14,1040.852272
2011-01-17,1042.268577
2011-01-18,1046.095799
2011-01-19,1045.787086
2011-01-20,1040.089545
2011-01-21,1041.955842
2011-01-24,1049.616419
2011-01-25,1051.547475
2011-01-26,1054.513136
2011-01-27,1051.709032
2011-01-28,1041.395157
2011-01-31,1042.38727
2011-02-01,1052.916829
2011-02-02,1053.116864
2011-02-03,1055.831285
2011-02-04,1058.051576
2011-02-07,1059.814918
2011-02-08,1064.53734
2011-02-09,1063.520461
2011-02-10,1060.413984
2011-02-11,1063.008267
2011-02-14,1063.928593
2011-02-15,1062.303504
2011-02-16,1064.81689
2011-02-17,1067.807766
2011-02-18,1071.440954
2011-02-21,1070.827003
2011-02-22,1062.392065
2011-02-23,1058.160197
2011-02-24,1056.911205
2011-02-28,1071.713267
2011-03-01,1068.234896
2011-03-02,1067.217436
2011-03-03,1075.433182
2011-03-04,1073.403027
2011-03-07,1068.223857
2011-03-08,1070.10236
2011-03-09,1073.144575
2011-03-10,1061.892348
2011-03-11,1062.05884
2011-03-14,1051.648879
2011-03-15,1024.471776
2011-03-16,1025.894649
2011-03-17,1037.563927
2011-03-18,1039.168744
2011-03-21,1049.477046
2011-03-22,1055.295018
2011-03-23,1055.908298
2011-03-24,1060.892769
2011-03-25,1063.080637
2011-03-28,1059.615805
2011-03-29,1062.168239
2011-03-30,1068.22361
2011-03-31,1069.012229
2011-04-01,1068.898169
2011-04-04,1073.864909
2011-04-05,1071.598919
2011-04-06,1073.143281
2011-04-07,1071.381036
2011-04-08,1074.325483
2011-04-11,1077.949506
2011-04-12,1073.917754
2011-04-13,1076.151387
2011-04-14,1078.224909
2011-04-15,1081.286618
2011-04-18,1072.710191
2011-04-19,1075.214901
2011-04-20,1088.088094
2011-04-21,1093.909625
2011-04-22,1092.491006
2011-04-25,1089.094817
2011-04-26,1093.650494
2011-04-27,1096.193578
2011-04-28,1105.077947
2011-04-29,1109.25224
2011-05-02,1114.124408
2011-05-03,1112.788425
2011-05-04,1110.498006
2011-05-05,1104.633045
2011-05-06,1106.138847
2011-05-09,1105.621677
2011-05-10,1112.155981
2011-05-11,1110.037711
2011-05-12,1112.812254
2011-05-13,1108.115088
2011-05-16,1104.67234
2011-05-17,1098.310649
2011-05-18,1106.708632
2011-05-19,1106.636401
2011-05-20,1102.831394
2011-05-23,1092.614587
2011-05-24,1094.028789
2011-05-25,1095.012654
2011-05-26,1098.527879
2011-05-27,1104.537382
2011-05-30,1105.340902
2011-05-31,1115.506862
2011-06-01,1106.20195
2011-06-02,1099.580449
2011-06-03,1094.373599
2011-06-06,1088.296262
2011-06-07,1090.914928
2011-06-08,1087.434873
2011-06-09,1090.317041
2011-06-10,1079.147874
2011-06-13,1082.056247
2011-06-14,1091.651408
