date,value
1998-12-31,79.691135
1999-01-01,79.690234
1999-01-04,80.047361
1999-01-05,80.2413
1999-01-06,81.162889
1999-01-07,81.321463
1999-01-08,81.293474
1999-01-11,81.6972
1999-01-12,80.787701
1999-01-13,79.900189
1999-01-14,79.697639
1999-01-15,79.874608
1999-01-18,80.154891
1999-01-19,80.586366
1999-01-20,80.614477
1999-01-21,80.091402
1999-01-22,79.408294
1999-01-25,79.406701
1999-01-26,79.981855
1999-01-27,79.511521
1999-01-28,79.356573
1999-01-29,79.796336
1999-02-01,79.990611
1999-02-02,80.247188
1999-02-03,80.315119
1999-02-04,80.078093
1999-02-05,79.503425
1999-02-08,79.342163
1999-02-09,78.473455
1999-02-10,77.784221
1999-02-11,78.501458
1999-02-12,78.00573
1999-02-15,77.814259
1999-02-16,77.269596
1999-02-17,76.445323
1999-02-18,76.261131
1999-02-19,76.12017
1999-02-22,76.64905
1999-02-23,76.775074
1999-02-24,76.428526
1999-02-25,76.375516
1999-02-26,76.267721
1999-03-01,76.179924
1999-03-02,75.876796
1999-03-03,75.674385
1999-03-04,75.531307
1999-03-05,76.688591
1999-03-08,76.758308
1999-03-09,76.819488
1999-03-10,77.592345
1999-03-11,77.677308
1999-03-12,78.185633
1999-03-15,78.553415
1999-03-16,78.8609
1999-03-17,79.030815
1999-03-18,78.829892
1999-03-19,79.019454
1999-03-22,78.626543
1999-03-23,77.941102
1999-03-24,77.89078
1999-03-25,78.688763
1999-03-26,78.399134
1999-03-29,79.019301
1999-03-30,78.942738
1999-03-31,79.253288
1999-04-01,79.563357
1999-04-02,79.518374
1999-04-05,79.741861
1999-04-06,79.591932
1999-04-07,79.705409
1999-04-08,80.21125
1999-04-09,80.649913
1999-04-12,81.06486
1999-04-13,81.386989
1999-04-14,82.090291
1999-04-15,82.303984
1999-04-16,83.323819
1999-04-19,83.220191
1999-04-20,82.817147
1999-04-21,83.027054
1999-04-22,83.54918
1999-04-23,84.171744
1999-04-26,84.453122
1999-04-27,84.807602
1999-04-28,84.960737
1999-04-29,85.121955
1999-04-30,85.443335
1999-05-03,85.747066
1999-05-04,85.923461
1999-05-05,86.019199
1999-05-06,86.982942
1999-05-07,86.953051
1999-05-10,87.623545
1999-05-11,87.668418
1999-05-12,87.6112
1999-05-13,87.460235
1999-05-14,87.026988
1999-05-17,85.900851
1999-05-18,85.970302
1999-05-19,85.725181
1999-05-20,86.047953
1999-05-21,86.089554
1999-05-24,85.695919
1999-05-25,85.093516
1999-05-26,84.760869
1999-05-27,84.518812
1999-05-28,84.709346
1999-05-31,84.533567
1999-06-01,85.057408
1999-06-02,84.951484
1999-06-03,84.972112
1999-06-04,85.435043
1999-06-07,86.127118
1999-06-08,86.528488
1999-06-09,86.984021
1999-06-10,87.251984
1999-06-11,87.393557
1999-06-14,86.773175
1999-06-15,86.67865
1999-06-16,87.048373
1999-06-17,87.747688
1999-06-18,87.969085
1999-06-21,88.438558
1999-06-22,88.562246
1999-06-23,88.519211
1999-06-24,88.171068
1999-06-25,88.389711
1999-06-28,88.770101
1999-06-29,89.197802
1999-06-30,89.464884
1999-07-01,90.234651
1999-07-02,90.607839
1999-07-05,90.792306
1999-07-06,90.858827
1999-07-07,90.301831
1999-07-08,90.125086
1999-07-09,90.640572
1999-07-12,90.934029
1999-07-13,90.889722
1999-07-14,91.517095
1999-07-15,92.369349
1999-07-16,91.960442
1999-07-19,91.835331
1999-07-20,91.684249
1999-07-21,91.730718
1999-07-22,91.18521
1999-07-23,90.602428
1999-07-26,90.437272
1999-07-27,90.382406
1999-07-28,90.919386
1999-07-29,91.284632
1999-07-30,91.740745
1999-08-02,91.230278
1999-08-03,90.699673
1999-08-04,90.691902
1999-08-05,90.012188
1999-08-06,89.662581
1999-08-09,89.340773
1999-08-10,89.19519
1999-08-11,89.45748
1999-08-12,89.84563
1999-08-13,90.260672
1999-08-16,91.150146
1999-08-17,91.207493
1999-08-18,91.574496
1999-08-19,91.822893
1999-08-20,92.268351
1999-08-23,92.505324
1999-08-24,92.31494
1999-08-25,92.488035
1999-08-26,91.91249
1999-08-27,91.747127
1999-08-30,91.768183
1999-08-31,92.10713
1999-09-01,92.906475
1999-09-02,92.723853
1999-09-03,93.123996
1999-09-06,93.513837
1999-09-07,93.64151
1999-09-08,93.2957
1999-09-09,94.211368
1999-09-10,94.659659
1999-09-13,95.048115
1999-09-14,94.759422
1999-09-15,94.474316
1999-09-16,93.074021
1999-09-17,93.152267
1999-09-20,93.143494
1999-09-21,92.895592
1999-09-22,92.266072
1999-09-23,91.505642
1999-09-24,90.268981
1999-09-27,90.497947
1999-09-28,90.728956
1999-09-29,90.856175
1999-09-30,91.984897
1999-10-01,92.276638
1999-10-04,92.306557
1999-10-05,92.00864
1999-10-06,92.039533
1999-10-07,92.383719
1999-10-08,92.102339
1999-10-11,92.592546
1999-10-12,92.212616
1999-10-13,91.081935
1999-10-14,91.154943
1999-10-15,90.564413
1999-10-18,88.867113
1999-10-19,88.839513
1999-10-20,89.562947
1999-10-21,89.377784
1999-10-22,89.80215
1999-10-25,90.068978
1999-10-26,89.684204
1999-10-27,89.607628
1999-10-28,89.921704
1999-10-29,90.890609
1999-11-01,91.249679
1999-11-02,91.681413
1999-11-03,92.139584
1999-11-04,92.678555
1999-11-05,92.409234
1999-11-08,92.536919
1999-11-09,92.994686
1999-11-10,93.59422
1999-11-11,92.972562
1999-11-12,92.798847
1999-11-15,93.119388
1999-11-16,93.295686
1999-11-17,94.451089
1999-11-18,95.202562
1999-11-19,95.057774
1999-11-22,95.549118
1999-11-23,95.073134
1999-11-24,94.642403
1999-11-25,94.471875
1999-11-26,95.285916
1999-11-29,95.298087
1999-11-30,94.825666
1999-12-01,94.824676
1999-12-02,95.399193
1999-12-03,96.136892
1999-12-06,96.741445
1999-12-07,97.162698
1999-12-08,97.274378
1999-12-09,96.846069
1999-12-10,97.254176
1999-12-13,97.609073
1999-12-14,96.54484
1999-12-15,95.94285
1999-12-16,96.79997
1999-12-17,96.60444
1999-12-20,96.580668
1999-12-21,97.023671
1999-12-22,97.805524
1999-12-23,98.485487
1999-12-24,98.778129
1999-12-27,99.000248
1999-12-28,99.005871
1999-12-29,100.241166
1999-12-30,100.486636
1999-12-31,101.541676
2000-01-03,101.467048
2000-01-04,99.19678
2000-01-05,98.49853
2000-01-06,98.172763
2000-01-07,99.648956
2000-01-10,101.41448
2000-01-11,101.203515
2000-01-12,100.539231
2000-01-13,102.395413
2000-01-14,103.068393
2000-01-17,104.140707
2000-01-18,104.744074
2000-01-19,104.845749
2000-01-20,105.941254
2000-01-21,106.178817
2000-01-24,105.051732
2000-01-25,104.207916
2000-01-26,104.226455
2000-01-27,104.098742
2000-01-28,102.226252
2000-01-31,100.803338
2000-02-01,101.45561
2000-02-02,102.038341
2000-02-03,103.840001
2000-02-04,104.528507
2000-02-07,105.433445
2000-02-08,106.34554
2000-02-09,106.843815
2000-02-10,107.60763
2000-02-11,107.384927
2000-02-14,107.312975
2000-02-15,106.914345
2000-02-16,108.019816
2000-02-17,109.411952
2000-02-18,108.126221
2000-02-21,107.725039
2000-02-22,107.24147
2000-02-23,108.566674
2000-02-24,109.090838
2000-02-25,109.994362
2000-02-28,110.373497
2000-02-29,113.046873
2000-03-01,114.70616
2000-03-02,114.298359
2000-03-03,115.955369
2000-03-06,116.146728
2000-03-07,115.461856
2000-03-08,114.98318
2000-03-09,116.865293
2000-03-10,117.008734
2000-03-13,114.552193
2000-03-14,112.268065
2000-03-15,109.975563
2000-03-16,111.678685
2000-03-17,112.219034
2000-03-20,110.020481
2000-03-21,109.863591
2000-03-22,111.753442
2000-03-23,111.879147
2000-03-24,112.256504
2000-03-27,112.698959
2000-03-28,111.825202
2000-03-29,109.984895
2000-03-30,107.913211
2000-03-31,109.069335
2000-04-03,107.237052
2000-04-04,105.095563
2000-04-05,105.489207
2000-04-06,106.518971
2000-04-07,107.324284
2000-04-10,106.19817
2000-04-11,105.152193
2000-04-12,104.40109
2000-04-13,103.38956
2000-04-14,100.523105
2000-04-17,97.464303
2000-04-18,99.730061
2000-04-19,100.469918
2000-04-20,100.734057
2000-04-21,100.333055
2000-04-24,99.843294
2000-04-25,100.870148
2000-04-26,101.003203
2000-04-27,100.796934
2000-04-28,101.381573
2000-05-01,102.364228
2000-05-02,102.553016
2000-05-03,101.305031
2000-05-04,101.934901
2000-05-05,102.692294
2000-05-08,102.160038
2000-05-09,101.540061
2000-05-10,100.377354
2000-05-11,100.780016
2000-05-12,101.609996
2000-05-15,102.551089
2000-05-16,103.01436
2000-05-17,102.149705
2000-05-18,101.44493
2000-05-19,100.585702
2000-05-22,99.394476
2000-05-23,98.830284
2000-05-24,97.902023
2000-05-25,97.954629
2000-05-26,98.245868
2000-05-29,98.589204
2000-05-30,99.839211
2000-05-31,99.704017
2000-06-01,100.825918
2000-06-02,102.920431
2000-06-05,103.549484
2000-06-06,104.548897
2000-06-07,104.860513
2000-06-08,104.739676
2000-06-09,105.137185
2000-06-12,105.170914
2000-06-13,105.406466
2000-06-14,105.391429
2000-06-15,104.81989
2000-06-16,105.02917
2000-06-19,105.221759
2000-06-20,105.555868
2000-06-21,105.281539
2000-06-22,104.600803
2000-06-23,104.039601
2000-06-26,104.402367
2000-06-27,104.92419
2000-06-28,106.119097
2000-06-29,106.470237
2000-06-30,107.283395
2000-07-03,108.127808
2000-07-04,107.850237
2000-07-05,107.174665
2000-07-06,107.225697
2000-07-07,107.697509
2000-07-10,108.332133
2000-07-11,108.678123
2000-07-12,109.013486
2000-07-13,108.453708
2000-07-14,108.652841
2000-07-17,108.623058
2000-07-18,107.650626
2000-07-19,106.775544
2000-07-20,107.400947
2000-07-21,106.413775
2000-07-24,105.231476
2000-07-25,105.55298
2000-07-26,105.336086
2000-07-27,104.155445
2000-07-28,102.252911
2000-07-31,102.440114
2000-08-01,103.081691
2000-08-02,103.426402
2000-08-03,102.957166
2000-08-04,103.70183
2000-08-07,104.316359
2000-08-08,104.118245
2000-08-09,104.655469
2000-08-10,104.788423
2000-08-11,105.862677
2000-08-14,106.197038
2000-08-15,106.427646
2000-08-16,107.057059
2000-08-17,107.309949
2000-08-18,107.34329
2000-08-21,107.256459
2000-08-22,107.655588
2000-08-23,107.594829
2000-08-24,108.635805
2000-08-25,109.184321
2000-08-28,109.040824
2000-08-29,109.227746
2000-08-30,109.170334
2000-08-31,109.563713
2000-09-01,110.307762
2000-09-04,110.381021
2000-09-05,109.675798
2000-09-06,109.29231
2000-09-07,109.717058
2000-09-08,108.978369
2000-09-11,108.437195
2000-09-12,107.745936
2000-09-13,107.767715
2000-09-14,108.111326
2000-09-15,107.820621
2000-09-18,106.169792
2000-09-19,106.248286
2000-09-20,106.477299
2000-09-21,105.812021
2000-09-22,105.694668
2000-09-25,105.774536
2000-09-26,105.422674
2000-09-27,104.900861
2000-09-28,105.576589
2000-09-29,106.23585
2000-10-02,105.609297
2000-10-03,104.858239
2000-10-04,104.68422
2000-10-05,104.23036
2000-10-06,103.242919
2000-10-09,102.578094
2000-10-10,101.850478
2000-10-11,101.034937
2000-10-12,99.517213
2000-10-13,100.123448
2000-10-16,100.101814
2000-10-17,98.80621
2000-10-18,97.691505
2000-10-19,98.878506
2000-10-20,100.044277
2000-10-23,100.251648
2000-10-24,100.29851
2000-10-25,98.86584
2000-10-26,99.028197
2000-10-27,99.43985
2000-10-30,99.757154
2000-10-31,101.227967
2000-11-01,102.057448
2000-11-02,103.165963
2000-11-03,103.821139
2000-11-06,104.110054
2000-11-07,104.258311
2000-11-08,103.610051
2000-11-09,102.806551
2000-11-10,101.44992
2000-11-13,100.340461
2000-11-14,101.582933
2000-11-15,102.143519
2000-11-16,100.810451
2000-11-17,100.778643
2000-11-20,99.163765
2000-11-21,98.253988
2000-11-22,97.199817
2000-11-23,97.114698
2000-11-24,98.346009
2000-11-27,98.961556
2000-11-28,97.780762
2000-11-29,97.084411
2000-11-30,96.340596
2000-12-01,97.878539
2000-12-04,97.97403
2000-12-05,99.120278
2000-12-06,98.846688
2000-12-07,98.691749
2000-12-08,99.92686
2000-12-11,100.777425
2000-12-12,99.949468
2000-12-13,99.274644
2000-12-14,98.689421
2000-12-15,98.102524
2000-12-18,98.109985
2000-12-19,97.107398
2000-12-20,95.488016
2000-12-21,95.449444
