date,value
2007-11-30,1000
2007-12-03,996.996301
2007-12-04,986.308737
2007-12-05,998.53033
2007-12-06,1008.892464
2007-12-07,1016.767118
2007-12-10,1023.985302
2007-12-11,1010.211196
2007-12-12,1011.60551
2007-12-13,995.371396
2007-12-14,982.26849
2007-12-17,963.662473
2007-12-18,968.53945
2007-12-19,964.904954
2007-12-20,966.896485
2007-12-21,983.69679
2007-12-24,990.272884
2007-12-25,992.562364
2007-12-26,996.169641
2007-12-27,991.102094
2007-12-28,993.62872
2007-12-31,990.506403
2008-01-01,990.506403
2008-01-02,984.849533
2008-01-03,982.555101
2008-01-04,961.120944
2008-01-07,957.396988
2008-01-08,951.599764
2008-01-09,949.415793
2008-01-10,948.147828
2008-01-11,943.634836
2008-01-14,953.571879
2008-01-15,929.884627
2008-01-16,917.011004
2008-01-17,903.29232
2008-01-18,892.137726
2008-01-21,863.920861
2008-01-22,864.303678
2008-01-23,867.05913
2008-01-24,895.879152
2008-01-25,893.138342
2008-01-28,897.29723
2008-01-29,911.259549
2008-01-30,905.364845
2008-01-31,913.900373
2008-02-01,927.569825
2008-02-04,927.926192
2008-02-05,895.849355
2008-02-06,887.685176
2008-02-07,877.049787
2008-02-08,874.036262
2008-02-11,868.977714
2008-02-12,887.102973
2008-02-13,891.481943
2008-02-14,891.904347
2008-02-15,891.150696
2008-02-18,896.557836
2008-02-19,905.945662
2008-02-20,899.354841
2008-02-21,903.808319
2008-02-22,904.164496
2008-02-25,920.57357
2008-02-26,932.397221
2008-02-27,938.111971
2008-02-28,926.077051
2008-02-29,905.421908
2008-03-03,896.03313
2008-03-04,889.998075
2008-03-05,899.169458
2008-03-06,888.052913
2008-03-07,874.761238
2008-03-10,861.486688
2008-03-11,872.314525
2008-03-12,878.610812
2008-03-13,873.654494
2008-03-14,861.586874
2008-03-17,838.69684
2008-03-18,865.099816
2008-03-19,849.377579
2008-03-20,853.34783
2008-03-21,854.908879
2008-03-24,859.22125
2008-03-25,881.459421
2008-03-26,882.61403
2008-03-27,881.462837
2008-03-28,876.965411
2008-03-31,878.970075
2008-04-01,898.746843
2008-04-02,908.827301
2008-04-03,907.961167
2008-04-04,911.181163
2008-04-07,916.595986
2008-04-08,910.982234
2008-04-09,904.467751
2008-04-10,903.111274
2008-04-11,895.991808
2008-04-14,889.49524
2008-04-15,892.890863
2008-04-16,913.950109
2008-04-17,914.604432
2008-04-18,923.457863
2008-04-21,927.918622
2008-04-22,919.019616
2008-04-23,919.358029
2008-04-24,916.209289
2008-04-25,927.363572
2008-04-28,930.900917
2008-04-29,927.128454
2008-04-30,923.969029
2008-05-01,929.247738
2008-05-02,940.93739
2008-05-05,940.652767
2008-05-06,945.085521
2008-05-07,937.547772
2008-05-08,940.882931
2008-05-09,929.314546
2008-05-12,936.265691
2008-05-13,935.308893
2008-05-14,941.578288
2008-05-15,951.691377
2008-05-16,960.683456
2008-05-19,962.744971
2008-05-20,955.132416
2008-05-21,948.277344
2008-05-22,950.599644
2008-05-23,938.331232
2008-05-26,934.411536
2008-05-27,933.29119
2008-05-28,933.045921
2008-05-29,934.155488
2008-05-30,938.585944
2008-06-02,932.323299
2008-06-03,928.254956
2008-06-04,926.261151
2008-06-05,934.639314
2008-06-06,920.616548
2008-06-09,913.841589
2008-06-10,898.8638
2008-06-11,889.939687
2008-06-12,886.464061
2008-06-13,894.857189
2008-06-16,898.15072
2008-06-17,899.667627
2008-06-18,891.908866
2008-06-19,883.162601
2008-06-20,871.926571
2008-06-23,866.866838
2008-06-24,868.260967
2008-06-25,874.982448
2008-06-26,860.266751
2008-06-27,854.827122
2008-06-30,859.715583
2008-07-01,854.184523
2008-07-02,845.178425
2008-07-03,843.654338
2008-07-04,840.777566
2008-07-07,837.132491
2008-07-08,836.740833
2008-07-09,835.876166
2008-07-10,832.945477
2008-07-11,820.357791
2008-07-14,817.139432
2008-07-15,805.156025
2008-07-16,808.62499
2008-07-17,821.959372
2008-07-18,825.57388
2008-07-21,828.692863
2008-07-22,835.037816
2008-07-23,843.048188
2008-07-24,831.414024
2008-07-25,827.944304
2008-07-28,821.86447
