date,value
2010-05-26,1000
2010-05-27,1033.461118
2010-05-28,1031.65965
2010-05-31,1030.979422
2010-06-01,1019.078315
2010-06-02,1024.182468
2010-06-03,1036.757534
2010-06-04,1008.577521
2010-06-07,990.630523
2010-06-08,990.6084
2010-06-09,996.690467
2010-06-10,1018.975954
2010-06-11,1025.929231
2010-06-14,1039.6461
2010-06-15,1055.984445
2010-06-16,1057.681829
2010-06-17,1062.091013
2010-06-18,1063.762408
2010-06-21,1070.254437
2010-06-22,1053.381972
2010-06-23,1044.120569
2010-06-24,1032.111777
2010-06-25,1027.430932
2010-06-28,1030.816962
2010-06-29,997.586899
2010-06-30,993.33903
2010-07-01,986.527183
2010-07-02,988.580013
2010-07-05,985.238458
2010-07-06,1004.475288
2010-07-07,1023.991348
2010-07-08,1036.941693
2010-07-09,1042.970559
2010-07-12,1042.638342
2010-07-13,1062.142768
2010-07-14,1065.652204
2010-07-15,1066.094487
2010-07-16,1047.146711
2010-07-19,1048.342826
2010-07-20,1047.136753
2010-07-21,1042.545176
2010-07-22,1064.640308
2010-07-23,1067.758319
2010-07-26,1081.000637
2010-07-27,1084.44896
2010-07-28,1084.911181
2010-07-29,1084.90267
2010-07-30,1078.714024
2010-08-02,1108.794
2010-08-03,1113.882088
2010-08-04,1113.041971
2010-08-05,1117.692298
2010-08-06,1117.913315
2010-08-09,1121.299158
2010-08-10,1107.147438
2010-08-11,1073.105381
2010-08-12,1065.642393
2010-08-13,1062.4858
2010-08-16,1064.971099
2010-08-17,1075.595138
2010-08-18,1076.595831
2010-08-19,1064.070477
2010-08-20,1047.63069
2010-08-23,1048.318702
2010-08-24,1035.248903
2010-08-25,1029.51953
2010-08-26,1032.572855
2010-08-27,1042.848656
2010-08-30,1037.200203
2010-08-31,1033.054362
2010-09-01,1063.435145
2010-09-02,1070.399542
2010-09-03,1084.239116
2010-09-06,1089.325509
2010-09-07,1074.434318
2010-09-08,1078.294564
2010-09-09,1087.060528
2010-09-10,1090.20795
2010-09-13,1106.87299
