date,value
1998-11-30,1000
1998-12-01,984.890609
1998-12-02,988.626621
1998-12-03,984.010493
1998-12-04,988.164888
1998-12-07,997.473556
1998-12-08,991.380234
1998-12-09,991.213657
1998-12-10,986.829676
1998-12-11,974.561884
1998-12-14,961.498767
1998-12-15,961.074866
1998-12-16,966.111865
1998-12-17,976.210058
1998-12-18,977.236839
1998-12-21,987.992324
1998-12-22,988.563929
1998-12-23,1001.237559
1998-12-24,999.393067
1998-12-25,1000.324637
1998-12-28,1004.229181
1998-12-29,1007.493474
1998-12-30,1007.189883
1998-12-31,1009.34898
1999-01-01,1009.349104
1999-01-04,1024.059944
1999-01-05,1033.368035
1999-01-06,1052.175831
1999-01-07,1058.054582
1999-01-08,1060.328012
1999-01-11,1053.453075
1999-01-12,1039.23399
1999-01-13,1015.068046
1999-01-14,1002.709127
1999-01-15,1010.454946
1999-01-18,1019.119661
1999-01-19,1011.340139
1999-01-20,1004.397902
1999-01-21,990.449567
1999-01-22,973.320965
1999-01-25,971.534814
1999-01-26,975.588124
1999-01-27,977.744971
1999-01-28,979.209464
1999-01-29,987.423731
1999-02-01,992.677855
1999-02-02,988.093027
1999-02-03,986.901656
1999-02-04,985.40334
1999-02-05,980.455713
1999-02-08,975.912672
1999-02-09,961.188768
1999-02-10,960.381314
1999-02-11,968.319324
1999-02-12,968.161211
1999-02-15,968.833565
1999-02-16,974.415599
1999-02-17,964.683705
1999-02-18,965.342965
1999-02-19,964.594269
1999-02-22,977.990025
1999-02-23,973.392316
1999-02-24,977.610879
1999-02-25,974.458001
1999-02-26,968.187496
1999-03-01,969.47572
1999-03-02,971.315644
1999-03-03,964.823959
1999-03-04,964.781922
1999-03-05,981.753799
1999-03-08,983.623717
1999-03-09,990.068321
1999-03-10,1001.416637
1999-03-11,1001.871608
1999-03-12,1012.102922
1999-03-15,1017.462909
1999-03-16,1020.307956
1999-03-17,1018.577788
1999-03-18,1019.916557
1999-03-19,1024.033621
1999-03-22,1023.513032
1999-03-23,1008.051975
1999-03-24,1005.015278
1999-03-25,1015.622872
1999-03-26,1009.754293
1999-03-29,1018.114543
1999-03-30,1018.317505
1999-03-31,1021.725124
1999-04-01,1020.149768
1999-04-02,1018.707851
1999-04-05,1021.527681
1999-04-06,1023.225708
1999-04-07,1027.1882
1999-04-08,1030.797385
1999-04-09,1038.371456
1999-04-12,1039.195021
