date,value
1998-12-31,4254.346755
1999-01-01,4254.347606
1999-01-04,4293.506869
1999-01-05,4330.912787
1999-01-06,4423.530384
1999-01-07,4416.397121
1999-01-08,4429.655835
1999-01-11,4393.039523
1999-01-12,4331.128865
1999-01-13,4263.737035
1999-01-14,4223.958552
1999-01-15,4284.30327
1999-01-18,4313.172714
1999-01-19,4312.239098
1999-01-20,4333.353719
1999-01-21,4294.664391
1999-01-22,4238.442859
1999-01-25,4246.211083
1999-01-26,4256.848609
1999-01-27,4216.286348
1999-01-28,4251.672728
1999-01-29,4283.296564
1999-02-01,4292.648129
1999-02-02,4276.189635
1999-02-03,4283.015352
1999-02-04,4251.25074
1999-02-05,4242.403613
1999-02-08,4238.807796
1999-02-09,4171.382527
1999-02-10,4166.421575
1999-02-11,4225.06281
1999-02-12,4210.174469
1999-02-15,4210.36166
1999-02-16,4226.738513
1999-02-17,4192.115277
1999-02-18,4214.620601
1999-02-19,4204.162864
1999-02-22,4267.520213
1999-02-23,4274.460371
1999-02-24,4256.871072
1999-02-25,4244.16955
1999-02-26,4231.046379
1999-03-01,4200.26635
1999-03-02,4187.304632
1999-03-03,4180.637645
1999-03-04,4220.302281
1999-03-05,4326.630234
1999-03-08,4328.57396
1999-03-09,4331.144096
1999-03-10,4387.350866
1999-03-11,4428.740087
1999-03-12,4446.475948
1999-03-15,4468.701634
1999-03-16,4474.808749
1999-03-17,4484.878532
1999-03-18,4502.837278
1999-03-19,4499.575683
1999-03-22,4480.81729
1999-03-23,4397.597928
1999-03-24,4378.327397
1999-03-25,4430.247189
1999-03-26,4407.882301
1999-03-29,4453.965938
1999-03-30,4427.584947
1999-03-31,4432.451962
1999-04-01,4447.748338
1999-04-02,4443.230264
1999-04-05,4475.283534
1999-04-06,4494.549683
1999-04-07,4537.959676
1999-04-08,4585.618911
1999-04-09,4598.453934
1999-04-12,4626.252432
1999-04-13,4638.032165
1999-04-14,4649.362426
1999-04-15,4659.9024
1999-04-16,4695.791219
1999-04-19,4729.469138
1999-04-20,4697.024596
1999-04-21,4718.8662
1999-04-22,4750.816174
1999-04-23,4760.332296
1999-04-26,4754.615688
1999-04-27,4806.570664
1999-04-28,4813.884099
1999-04-29,4813.135334
1999-04-30,4788.165679
1999-05-03,4845.795188
1999-05-04,4818.299218
1999-05-05,4831.119053
1999-05-06,4853.077992
1999-05-07,4858.545083
1999-05-10,4847.290846
1999-05-11,4844.247244
1999-05-12,4826.410257
1999-05-13,4838.554588
1999-05-14,4762.707456
1999-05-17,4707.274764
1999-05-18,4706.391647
1999-05-19,4720.705822
1999-05-20,4725.48324
1999-05-21,4716.785399
1999-05-24,4683.693686
1999-05-25,4631.84877
1999-05-26,4656.353807
1999-05-27,4583.872671
1999-05-28,4614.117333
1999-05-31,4613.788047
1999-06-01,4618.554957
1999-06-02,4629.278974
1999-06-03,4645.469699
1999-06-04,4680.305949
1999-06-07,4722.824019
1999-06-08,4719.494652
1999-06-09,4723.737725
1999-06-10,4716.369196
1999-06-11,4736.349821
1999-06-14,4722.959477
1999-06-15,4741.817209
1999-06-16,4778.017148
1999-06-17,4805.277002
1999-06-18,4819.172592
1999-06-21,4822.371351
1999-06-22,4793.425243
1999-06-23,4759.556091
1999-06-24,4710.995616
1999-06-25,4723.335391
1999-06-28,4746.084319
1999-06-29,4772.800979
1999-06-30,4770.90656
1999-07-01,4827.136219
1999-07-02,4853.613571
1999-07-05,4889.544082
1999-07-06,4881.872049
1999-07-07,4868.052697
1999-07-08,4859.785778
1999-07-09,4877.2557
1999-07-12,4874.338622
1999-07-13,4842.044769
1999-07-14,4864.824073
1999-07-15,4907.697976
1999-07-16,4911.104091
1999-07-19,4904.669902
1999-07-20,4871.509566
1999-07-21,4858.731338
1999-07-22,4818.18869
1999-07-23,4784.215816
1999-07-26,4779.451586
1999-07-27,4804.260937
1999-07-28,4812.627748
1999-07-29,4774.940489
1999-07-30,4789.871928
1999-08-02,4777.395503
1999-08-03,4770.57621
1999-08-04,4757.215732
1999-08-05,4742.739935
1999-08-06,4707.199377
1999-08-09,4699.399075
1999-08-10,4651.040383
1999-08-11,4680.213673
1999-08-12,4708.481977
1999-08-13,4765.617089
1999-08-16,4790.855277
1999-08-17,4808.669801
1999-08-18,4804.227583
1999-08-19,4785.568443
1999-08-20,4834.343508
1999-08-23,4896.478327
1999-08-24,4881.459122
1999-08-25,4883.200596
1999-08-26,4835.799005
1999-08-27,4810.731586
1999-08-30,4762.127248
1999-08-31,4721.405534
1999-09-01,4772.90304
1999-09-02,4737.386477
1999-09-03,4815.288757
1999-09-06,4832.650916
1999-09-07,4799.514915
1999-09-08,4784.813212
1999-09-09,4813.607396
1999-09-10,4803.075038
1999-09-13,4797.194722
1999-09-14,4768.982404
1999-09-15,4733.399899
1999-09-16,4698.694002
1999-09-17,4711.359107
1999-09-20,4709.779
1999-09-21,4672.932869
1999-09-22,4642.339095
1999-09-23,4611.182344
1999-09-24,4568.623902
1999-09-27,4572.920834
1999-09-28,4574.726762
1999-09-29,4567.590818
1999-09-30,4623.631839
1999-10-01,4614.975307
1999-10-04,4655.294645
1999-10-05,4637.931209
1999-10-06,4685.835664
1999-10-07,4694.823865
1999-10-08,4699.750824
1999-10-11,4704.364748
1999-10-12,4662.420676
1999-10-13,4593.510639
1999-10-14,4596.640136
1999-10-15,4515.720376
1999-10-18,4499.862299
1999-10-19,4536.391226
1999-10-20,4575.331432
1999-10-21,4568.386084
1999-10-22,4628.825461
1999-10-25,4612.361351
1999-10-26,4601.314217
1999-10-27,4616.963789
1999-10-28,4723.304292
1999-10-29,4797.728558
1999-11-01,4772.688834
1999-11-02,4770.113295
1999-11-03,4768.590792
1999-11-04,4799.513341
1999-11-05,4789.155964
1999-11-08,4785.609157
1999-11-09,4780.902403
1999-11-10,4808.025821
1999-11-11,4802.453903
1999-11-12,4821.821476
1999-11-15,4829.639562
1999-11-16,4873.816273
1999-11-17,4889.745653
1999-11-18,4914.623839
1999-11-19,4891.485639
1999-11-22,4869.437784
1999-11-23,4840.244244
1999-11-24,4827.884473
1999-11-25,4843.470358
1999-11-26,4842.227153
1999-11-29,4817.868933
1999-11-30,4782.726795
1999-12-01,4808.637383
1999-12-02,4822.235041
1999-12-03,4886.833383
1999-12-06,4884.658348
1999-12-07,4865.623337
1999-12-08,4837.067864
1999-12-09,4852.759767
1999-12-10,4865.232618
1999-12-13,4842.481988
1999-12-14,4816.961225
1999-12-15,4818.934732
1999-12-16,4851.191146
1999-12-17,4854.855756
1999-12-20,4852.834728
1999-12-21,4851.428752
1999-12-22,4871.69731
1999-12-23,4948.587779
1999-12-24,4954.410873
1999-12-27,4912.192097
1999-12-28,4946.024067
1999-12-29,4957.804906
1999-12-30,4981.459925
1999-12-31,4991.972501
2000-01-03,4963.197248
2000-01-04,4841.249121
2000-01-05,4823.078848
2000-01-06,4829.398085
2000-01-07,4902.999688
2000-01-10,4922.89948
2000-01-11,4905.57127
2000-01-12,4897.096399
2000-01-13,4946.919309
2000-01-14,4971.120841
2000-01-17,4986.813978
2000-01-18,4914.897947
2000-01-19,4900.203731
2000-01-20,4869.95239
2000-01-21,4857.346548
2000-01-24,4805.601439
2000-01-25,4762.709328
2000-01-26,4788.322112
2000-01-27,4795.576411
2000-01-28,4714.488775
2000-01-31,4734.273487
2000-02-01,4749.779772
2000-02-02,4768.814868
2000-02-03,4808.419093
2000-02-04,4787.538546
2000-02-07,4767.41489
2000-02-08,4800.880348
2000-02-09,4743.309506
2000-02-10,4717.719015
2000-02-11,4685.480511
2000-02-14,4644.247893
2000-02-15,4637.726958
2000-02-16,4652.587306
2000-02-17,4662.237909
2000-02-18,4572.010574
2000-02-21,4532.825148
2000-02-22,4572.389296
2000-02-23,4578.742397
2000-02-24,4542.279114
2000-02-25,4523.16693
2000-02-28,4526.947725
2000-02-29,4571.356766
2000-03-01,4628.393942
2000-03-02,4647.235423
2000-03-03,4675.523979
2000-03-06,4662.078073
2000-03-07,4624.861643
2000-03-08,4618.958354
2000-03-09,4660.355148
2000-03-10,4653.553256
2000-03-13,4611.730815
2000-03-14,4590.251596
2000-03-15,4632.944349
2000-03-16,4812.553254
2000-03-17,4794.772595
2000-03-20,4798.564664
2000-03-21,4855.531346
2000-03-22,4837.464071
2000-03-23,4881.422492
2000-03-24,4915.640118
2000-03-27,4914.245926
2000-03-28,4917.668378
2000-03-29,4921.193614
2000-03-30,4892.100392
2000-03-31,4944.996599
2000-04-03,5004.523972
2000-04-04,5010.698008
2000-04-05,4988.042846
2000-04-06,5002.862692
2000-04-07,4983.315969
2000-04-10,4986.322941
2000-04-11,4989.016538
2000-04-12,5006.272764
2000-04-13,4984.220315
2000-04-14,4821.168349
2000-04-17,4780.831866
2000-04-18,4850.625574
2000-04-19,4847.847868
