date,value
2014-11-25,1000
2014-11-26,1003.179895
2014-11-27,1000.193179
2014-11-28,998.462898
2014-12-01,994.879004
2014-12-02,996.713121
2014-12-03,999.477591
2014-12-04,997.325797
2014-12-05,999.414759
2014-12-08,991.858329
2014-12-09,987.675814
2014-12-10,974.368898
2014-12-11,975.462421
2014-12-12,959.87095
2014-12-15,946.943325
2014-12-16,949.572388
2014-12-17,957.249312
2014-12-18,978.020955
2014-12-19,985.92619
2014-12-22,990.527538
2014-12-23,992.602461
2014-12-24,993.478946
2014-12-25,993.153094
2014-12-26,994.753954
2014-12-29,994.808234
2014-12-30,990.34291
2014-12-31,983.642473
2015-01-01,983.632121
2015-01-02,980.846008
2015-01-05,960.21235
2015-01-06,950.619656
2015-01-07,953.076595
2015-01-08,973.884047
2015-01-09,968.938793
2015-01-12,964.184132
2015-01-13,966.33322
2015-01-14,959.422117
2015-01-15,956.75182
2015-01-16,964.491055
2015-01-19,970.353567
2015-01-20,971.386609
2015-01-21,976.373191
2015-01-22,988.282865
2015-01-23,987.222178
2015-01-26,987.380748
2015-01-27,981.643102
2015-01-28,971.870632
2015-01-29,974.488733
2015-01-30,963.596754
2015-02-02,975.453387
2015-02-03,991.317141
2015-02-04,992.03706
2015-02-05,997.458662
2015-02-06,993.440965
2015-02-09,989.690371
2015-02-10,997.665622
2015-02-11,995.481372
2015-02-12,1008.622969
2015-02-13,1015.320668
2015-02-16,1017.497515
2015-02-17,1018.52198
2015-02-18,1022.098878
2015-02-19,1025.057113
2015-02-20,1028.676868
2015-02-23,1028.153414
2015-02-24,1030.506855
2015-02-25,1028.648843
2015-02-26,1027.722994
2015-02-27,1028.441141
2015-03-02,1029.277645
2015-03-03,1024.089353
2015-03-04,1020.606136
2015-03-05,1021.645994
2015-03-06,1010.69393
2015-03-09,1010.762139
2015-03-10,992.343286
2015-03-11,993.672297
2015-03-12,1001.288232
2015-03-13,998.787395
2015-03-16,1010.245874
2015-03-17,1005.57021
2015-03-18,1014.764093
2015-03-19,1013.10023
2015-03-20,1027.781016
2015-03-23,1031.349855
2015-03-24,1028.151525
2015-03-25,1021.63906
2015-03-26,1014.93041
2015-03-27,1014.728803
2015-03-30,1022.981967
2015-03-31,1013.53323
2015-04-01,1011.25462
2015-04-02,1018.010168
2015-04-03,1018.518549
2015-04-06,1027.88846
2015-04-07,1026.383384
2015-04-08,1025.864838
2015-04-09,1028.758916
2015-04-10,1033.027464
2015-04-13,1028.944633
2015-04-14,1034.05568
2015-04-15,1038.345839
2015-04-16,1040.778123
2015-04-17,1031.968543
2015-04-20,1038.157446
2015-04-21,1036.937435
2015-04-22,1037.816145
2015-04-23,1042.55396
2015-04-24,1046.805128
2015-04-27,1049.659924
2015-04-28,1054.334248
2015-04-29,1049.904632
2015-04-30,1042.213578
2015-05-01,1047.088857
2015-05-04,1048.74796
2015-05-05,1039.334427
2015-05-06,1041.594774
2015-05-07,1039.476148
2015-05-08,1054.200503
2015-05-11,1054.093653
2015-05-12,1050.591178
2015-05-13,1056.187296
2015-05-14,1061.822728
2015-05-15,1061.98246
2015-05-18,1065.812366
2015-05-19,1062.611862
2015-05-20,1063.755557
2015-05-21,1068.313385
2015-05-22,1064.683945
2015-05-25,1065.650616
2015-05-26,1050.862948
2015-05-27,1057.480165
2015-05-28,1055.715402
2015-05-29,1052.294569
2015-06-01,1051.130599
2015-06-02,1053.288183
2015-06-03,1059.115788
2015-06-04,1051.525852
2015-06-05,1039.954767
2015-06-08,1034.479153
2015-06-09,1033.927102
2015-06-10,1051.452615
2015-06-11,1052.818739
2015-06-12,1046.354824
2015-06-15,1038.764551
2015-06-16,1041.656352
2015-06-17,1039.271077
2015-06-18,1048.689462
2015-06-19,1045.833294
2015-06-22,1059.389934
2015-06-23,1059.921309
2015-06-24,1054.372899
2015-06-25,1052.109886
2015-06-26,1046.728492
2015-06-29,1022.960518
2015-06-30,1021.658036
2015-07-01,1026.753445
2015-07-02,1026.40833
2015-07-03,1025.253772
2015-07-06,1013.889294
2015-07-07,1007.770471
2015-07-08,995.578085
2015-07-09,1002.222697
2015-07-10,1017.238488
2015-07-13,1024.642833
2015-07-14,1030.645712
2015-07-15,1028.338625
2015-07-16,1035.479019
2015-07-17,1033.024779
2015-07-20,1031.127725
2015-07-21,1028.191156
2015-07-22,1023.034254
2015-07-23,1025.008225
2015-07-24,1013.089392
2015-07-27,1006.568963
2015-07-28,1010.811458
2015-07-29,1018.607168
2015-07-30,1018.140014
2015-07-31,1021.472594
2015-08-03,1019.565728
2015-08-04,1015.230518
2015-08-05,1020.405366
2015-08-06,1018.805978
2015-08-07,1016.502057
2015-08-10,1028.00706
2015-08-11,1016.917915
2015-08-12,1009.946149
2015-08-13,1008.920907
2015-08-14,1009.136529
2015-08-17,1011.109482
2015-08-18,1007.809018
2015-08-19,994.990202
2015-08-20,977.555419
2015-08-21,952.821144
2015-08-24,919.085738
2015-08-25,912.903423
2015-08-26,931.659432
2015-08-27,947.984587
2015-08-28,955.413417
2015-08-31,949.489616
2015-09-01,925.511441
2015-09-02,930.313127
2015-09-03,937.462121
2015-09-04,920.922862
2015-09-07,923.396408
2015-09-08,938.934829
2015-09-09,944.626428
2015-09-10,942.242858
2015-09-11,942.52441
2015-09-14,936.244409
2015-09-15,944.381658
2015-09-16,955.719589
2015-09-17,954.567508
2015-09-18,937.815914
2015-09-21,932.075605
2015-09-22,913.260335
2015-09-23,911.193785
2015-09-24,903.844916
2015-09-25,907.681194
2015-09-28,888.483487
2015-09-29,883.281603
2015-09-30,902.401412
2015-10-01,904.249275
2015-10-02,914.309552
2015-10-05,934.710676
2015-10-06,939.919454
2015-10-07,952.736551
2015-10-08,960.63757
2015-10-09,968.800625
2015-10-12,969.938702
2015-10-13,959.882509
2015-10-14,954.396029
2015-10-15,966.129121
2015-10-16,970.159238
2015-10-19,966.758732
2015-10-20,964.286011
2015-10-21,962.726202
2015-10-22,971.358136
2015-10-23,981.232104
2015-10-26,979.88216
2015-10-27,971.817629
2015-10-28,983.926895
2015-10-29,978.189418
2015-10-30,979.793389
2015-11-02,984.093523
2015-11-03,982.05236
2015-11-04,980.091424
2015-11-05,978.168961
2015-11-06,974.464517
2015-11-09,969.517551
2015-11-10,967.553528
2015-11-11,966.757099
2015-11-12,953.544958
2015-11-13,943.59703
2015-11-16,949.404668
2015-11-17,955.060067
2015-11-18,963.734048
2015-11-19,969.591015
2015-11-20,971.382068
2015-11-23,969.646706
2015-11-24,968.865501
2015-11-25,970.944553
2015-11-26,975.93767
2015-11-27,974.69976
2015-11-30,971.664233
2015-12-01,981.289838
2015-12-02,972.56323
2015-12-03,961.678152
2015-12-04,969.893741
2015-12-07,968.1551
2015-12-08,956.710066
2015-12-09,954.496261
2015-12-10,955.014501
2015-12-11,941.21794
2015-12-14,934.365467
2015-12-15,941.749353
2015-12-16,954.550813
2015-12-17,948.202644
2015-12-18,937.514362
2015-12-21,942.644289
2015-12-22,950.189321
2015-12-23,962.401884
2015-12-24,965.350794
2015-12-25,963.91113
2015-12-28,961.237456
2015-12-29,969.896961
2015-12-30,964.31925
2015-12-31,956.739977
2016-01-01,956.739977
2016-01-04,939.391267
2016-01-05,936.884781
2016-01-06,923.260951
2016-01-07,901.877308
2016-01-08,892.511131
2016-01-11,891.371762
2016-01-12,892.113871
2016-01-13,883.344573
2016-01-14,881.608051
2016-01-15,865.274176
2016-01-18,860.272385
2016-01-19,862.645944
2016-01-20,843.893349
2016-01-21,844.224411
2016-01-22,865.343476
2016-01-25,856.115834
2016-01-26,864.16104
2016-01-27,862.372472
2016-01-28,858.275023
2016-01-29,874.245456
2016-02-01,877.073782
2016-02-02,859.33216
2016-02-03,856.296085
2016-02-04,864.81854
2016-02-05,858.047719
2016-02-08,843.436621
2016-02-09,835.610703
2016-02-10,834.507404
2016-02-11,825.026689
2016-02-12,833.815308
2016-02-15,847.963283
2016-02-16,858.593457
2016-02-17,873.924804
2016-02-18,878.417393
2016-02-19,870.988328
2016-02-22,882.902473
2016-02-23,872.722123
2016-02-24,868.703928
2016-02-25,879.139592
2016-02-26,881.554318
2016-02-29,879.819531
2016-03-01,895.379332
2016-03-02,907.4182
2016-03-03,918.909586
2016-03-04,926.702921
