date,value
1978-01-03,93.82
1978-01-04,93.52
1978-01-05,92.74
1978-01-06,91.62
1978-01-09,90.64
1978-01-10,90.17
1978-01-11,89.74
1978-01-12,89.92
1978-01-13,89.69
1978-01-16,89.43
1978-01-17,89.88
1978-01-18,90.56
1978-01-19,90.09
1978-01-20,89.89
1978-01-23,89.24
1978-01-24,89.25
1978-01-25,89.39
1978-01-26,88.58
1978-01-27,88.58
1978-01-30,89.34
1978-01-31,89.25
1978-02-01,89.93
1978-02-02,90.13
1978-02-03,89.62
1978-02-06,89.5
1978-02-07,90.33
1978-02-08,90.83
1978-02-09,90.3
1978-02-10,90.08
1978-02-13,88.86
1978-02-14,89.04
1978-02-15,88.83
1978-02-16,88.08
1978-02-17,87.96
1978-02-21,87.59
1978-02-22,87.56
1978-02-23,87.64
1978-02-24,88.49
1978-02-27,87.72
1978-02-28,87.04
1978-03-01,87.19
1978-03-02,87.32
1978-03-03,87.45
1978-03-06,86.9
1978-03-07,87.36
1978-03-08,87.84
1978-03-09,87.89
1978-03-10,88.88
1978-03-13,88.95
1978-03-14,89.35
1978-03-15,89.12
1978-03-16,89.51
1978-03-17,90.2
1978-03-20,90.82
1978-03-21,89.79
1978-03-22,89.47
1978-03-23,89.36
1978-03-27,88.87
1978-03-28,89.5
1978-03-29,89.64
1978-03-30,89.41
1978-03-31,89.21
1978-04-03,88.46
1978-04-04,88.86
1978-04-05,89.64
1978-04-06,89.79
1978-04-07,90.17
1978-04-10,90.49
1978-04-11,90.25
1978-04-12,90.11
1978-04-13,90.98
1978-04-14,92.92
1978-04-17,94.45
1978-04-18,93.43
1978-04-19,93.86
1978-04-20,94.54
1978-04-21,94.34
1978-04-24,95.77
1978-04-25,96.64
1978-04-26,96.82
1978-04-27,95.86
1978-04-28,96.83
1978-05-01,97.67
1978-05-02,97.25
1978-05-03,96.26
1978-05-04,95.93
1978-05-05,96.53
1978-05-08,96.19
1978-05-09,95.9
1978-05-10,95.92
1978-05-11,97.2
1978-05-12,98.07
1978-05-15,98.76
1978-05-16,99.35
1978-05-17,99.6
1978-05-18,98.62
1978-05-19,98.12
1978-05-22,99.09
1978-05-23,98.05
1978-05-24,97.08
1978-05-25,96.8
1978-05-26,96.58
1978-05-30,96.86
1978-05-31,97.24
1978-06-01,97.35
1978-06-02,98.14
1978-06-05,99.95
1978-06-06,100.32
1978-06-07,100.12
1978-06-08,100.21
1978-06-09,99.93
1978-06-12,99.55
1978-06-13,99.57
1978-06-14,99.48
1978-06-15,98.34
1978-06-16,97.42
1978-06-19,97.49
1978-06-20,96.51
1978-06-21,96.01
1978-06-22,96.24
1978-06-23,95.85
1978-06-26,94.6
1978-06-27,94.98
1978-06-28,95.4
1978-06-29,95.57
1978-06-30,95.53
1978-07-03,95.09
1978-07-05,94.27
1978-07-06,94.32
1978-07-07,94.89
1978-07-10,95.27
1978-07-11,95.93
1978-07-12,96.24
1978-07-13,96.25
1978-07-14,97.58
1978-07-17,97.78
1978-07-18,96.87
1978-07-19,98.12
1978-07-20,98.03
1978-07-21,97.75
1978-07-24,97.72
1978-07-25,98.44
1978-07-26,99.08
1978-07-27,99.54
1978-07-28,100.0
1978-07-31,100.68
1978-08-01,100.66
1978-08-02,102.92
1978-08-03,103.51
1978-08-04,103.92
1978-08-07,103.55
1978-08-08,104.01
1978-08-09,104.5
1978-08-10,103.66
1978-08-11,103.96
1978-08-14,103.97
1978-08-15,103.85
1978-08-16,104.65
1978-08-17,105.08
1978-08-18,104.73
1978-08-21,103.89
1978-08-22,104.31
1978-08-23,104.91
1978-08-24,105.08
1978-08-25,104.9
1978-08-28,103.96
1978-08-29,103.39
1978-08-30,103.5
1978-08-31,103.29
1978-09-01,103.68
1978-09-05,104.49
1978-09-06,105.38
1978-09-07,105.42
1978-09-08,106.79
1978-09-11,106.98
1978-09-12,106.99
1978-09-13,106.34
1978-09-14,105.1
1978-09-15,105.1
1978-09-18,104.12
1978-09-19,102.53
1978-09-20,101.73
1978-09-21,101.9
1978-09-22,101.84
1978-09-25,101.86
1978-09-26,102.62
1978-09-27,101.66
1978-09-28,101.96
1978-09-29,102.54
1978-10-02,102.96
1978-10-03,102.6
1978-10-04,103.06
1978-10-05,103.27
1978-10-06,103.52
1978-10-09,104.59
1978-10-10,103.9
1978-10-11,105.39
1978-10-12,104.88
1978-10-13,104.56
1978-10-16,102.61
1978-10-17,101.26
1978-10-18,100.49
1978-10-19,99.33
1978-10-20,97.95
1978-10-23,98.18
1978-10-24,97.49
1978-10-25,97.31
1978-10-26,96.03
1978-10-27,94.59
1978-10-30,95.05
1978-10-31,93.15
1978-11-01,96.85
1978-11-02,95.61
1978-11-03,96.18
1978-11-06,95.19
1978-11-07,93.85
1978-11-08,94.45
1978-11-09,94.42
1978-11-10,94.77
1978-11-13,93.13
1978-11-14,92.49
1978-11-15,92.71
1978-11-16,93.71
1978-11-17,94.42
1978-11-20,95.25
1978-11-21,95.01
1978-11-22,95.48
1978-11-24,95.79
1978-11-27,95.39
1978-11-28,95.15
1978-11-29,93.75
1978-11-30,94.7
1978-12-01,96.28
1978-12-04,96.15
1978-12-05,97.44
1978-12-06,97.49
1978-12-07,97.08
1978-12-08,96.63
1978-12-11,97.11
1978-12-12,96.59
1978-12-13,96.06
1978-12-14,96.04
1978-12-15,95.33
1978-12-18,93.44
1978-12-19,94.24
1978-12-20,94.68
1978-12-21,94.71
1978-12-22,96.31
1978-12-26,97.52
1978-12-27,96.66
1978-12-28,96.28
1978-12-29,96.11
1979-01-02,96.73
1979-01-03,97.8
1979-01-04,98.58
1979-01-05,99.13
1979-01-08,98.8
1979-01-09,99.33
1979-01-10,98.77
1979-01-11,99.1
1979-01-12,99.93
1979-01-15,100.59
1979-01-16,99.46
1979-01-17,99.48
1979-01-18,99.72
1979-01-19,99.75
1979-01-22,99.9
1979-01-23,100.6
1979-01-24,100.16
1979-01-25,101.19
1979-01-26,101.86
1979-01-29,101.55
1979-01-30,101.05
1979-01-31,99.93
1979-02-01,99.96
1979-02-02,99.5
1979-02-05,98.09
1979-02-06,98.05
1979-02-07,97.16
1979-02-08,97.65
1979-02-09,97.87
1979-02-12,98.2
1979-02-13,98.93
1979-02-14,98.87
1979-02-15,98.73
1979-02-16,98.67
1979-02-20,99.42
1979-02-21,99.07
1979-02-22,98.33
1979-02-23,97.78
1979-02-26,97.67
1979-02-27,96.13
1979-02-28,96.28
1979-03-01,96.9
1979-03-02,96.97
1979-03-05,98.06
1979-03-06,97.87
1979-03-07,98.44
1979-03-08,99.58
1979-03-09,99.54
1979-03-12,99.67
1979-03-13,99.84
1979-03-14,99.71
1979-03-15,99.86
1979-03-16,100.69
1979-03-19,101.06
1979-03-20,100.5
1979-03-21,101.25
1979-03-22,101.67
1979-03-23,101.6
1979-03-26,101.04
1979-03-27,102.48
1979-03-28,102.12
1979-03-29,102.03
1979-03-30,101.5
1979-04-02,100.9
1979-04-03,102.4
1979-04-04,102.65
1979-04-05,103.26
1979-04-06,103.18
1979-04-09,102.87
1979-04-10,103.34
1979-04-11,102.31
1979-04-12,102.0
1979-04-16,101.12
1979-04-17,101.24
1979-04-18,101.7
1979-04-19,101.28
1979-04-20,101.23
1979-04-23,101.57
1979-04-24,102.2
1979-04-25,102.5
1979-04-26,102.01
1979-04-27,101.8
1979-04-30,101.75
1979-05-01,101.68
1979-05-02,101.72
1979-05-03,101.81
1979-05-04,100.69
1979-05-07,99.02
1979-05-08,99.17
1979-05-09,99.46
1979-05-10,98.52
1979-05-11,98.52
1979-05-14,98.06
1979-05-15,98.14
1979-05-16,98.42
1979-05-17,99.94
1979-05-18,99.93
1979-05-21,100.14
1979-05-22,100.51
1979-05-23,99.88
1979-05-24,99.93
1979-05-25,100.22
1979-05-29,100.05
1979-05-30,99.11
1979-05-31,99.08
1979-06-01,99.17
1979-06-04,98.32
1979-06-05,100.62
1979-06-06,101.3
