date,value
2008-12-31,1028.295322
2009-01-02,1053.146899
2009-01-05,1054.931323
2009-01-06,1064.768007
2009-01-07,1046.960513
2009-01-08,1045.36437
2009-01-09,1025.727881
2009-01-12,1002.997908
2009-01-13,989.695072
2009-01-14,959.220259
2009-01-15,950.036682
2009-01-16,961.559764
2009-01-20,912.383839
2009-01-21,932.789955
2009-01-22,923.153563
2009-01-23,921.355947
2009-01-26,936.828366
2009-01-27,947.319386
2009-01-28,974.684365
2009-01-29,950.097895
2009-01-30,932.454433
2009-02-02,921.781841
2009-02-03,940.167806
2009-02-04,941.781704
2009-02-05,947.422576
2009-02-06,972.788755
2009-02-09,976.500744
2009-02-10,939.140776
2009-02-11,941.450901
2009-02-12,933.552874
2009-02-13,930.883484
2009-02-17,885.433575
2009-02-18,879.984609
2009-02-19,877.925916
2009-02-20,862.948001
2009-02-23,840.670297
2009-02-24,855.924805
2009-02-25,849.011962
2009-02-26,848.508005
2009-02-27,833.84346
2009-03-02,792.141294
2009-03-03,783.935457
2009-03-04,806.266493
2009-03-05,778.608203
2009-03-06,775.017242
2009-03-09,766.199901
2009-03-10,806.19298
2009-03-11,816.100083
2009-03-12,834.501384
2009-03-13,844.378655
2009-03-16,853.370652
2009-03-17,869.872296
2009-03-18,889.994204
2009-03-19,892.50171
2009-03-20,880.726402
2009-03-23,928.730796
2009-03-24,917.791252
2009-03-25,925.800534
2009-03-26,938.70915
2009-03-27,919.956953
2009-03-30,883.999442
2009-03-31,897.658872
2009-04-01,913.629641
2009-04-02,952.586987
2009-04-03,955.525997
2009-04-06,947.934595
2009-04-07,930.522872
2009-04-08,934.238943
2009-04-09,961.879206
2009-04-13,969.830345
2009-04-14,962.745879
2009-04-15,966.419245
2009-04-16,978.327981
2009-04-17,983.572326
2009-04-20,947.608554
2009-04-21,956.437834
2009-04-22,956.122794
2009-04-23,966.616025
2009-04-24,984.819873
2009-04-27,974.331563
2009-04-28,967.219608
2009-04-29,988.706592
2009-04-30,996.076398
2009-05-01,1002.465052
2009-05-04,1033.437352
2009-05-05,1032.481573
2009-05-06,1048.985331
2009-05-07,1044.351371
2009-05-08,1072.596936
2009-05-11,1054.853517
2009-05-12,1053.790768
2009-05-13,1028.684697
2009-05-14,1031.913292
2009-05-15,1026.487576
2009-05-18,1049.378356
2009-05-19,1061.58702
2009-05-20,1067.583056
2009-05-21,1052.930477
2009-05-22,1053.576552
2009-05-26,1071.661065
2009-05-27,1061.604867
2009-05-28,1068.757737
2009-05-29,1085.807169
2009-06-01,1113.5017
2009-06-02,1119.373955
2009-06-03,1096.757382
2009-06-04,1102.520103
2009-06-05,1096.637576
2009-06-08,1092.330672
2009-06-09,1099.703395
2009-06-10,1103.781613
2009-06-11,1116.50304
2009-06-12,1112.137612
2009-06-15,1081.725604
2009-06-16,1071.943077
2009-06-17,1066.377431
2009-06-18,1069.06563
2009-06-19,1078.75626
2009-06-22,1047.906483
2009-06-23,1050.280917
2009-06-24,1058.705215
2009-06-25,1072.748701
2009-06-26,1076.396658
2009-06-29,1085.003364
2009-06-30,1076.643717
2009-07-01,1087.275314
2009-07-02,1058.004763
2009-07-06,1052.303252
2009-07-07,1036.287363
2009-07-08,1029.057751
2009-07-09,1036.396181
2009-07-10,1028.606617
2009-07-13,1045.626874
2009-07-14,1057.185297
2009-07-15,1087.908143
2009-07-16,1097.305364
2009-07-17,1099.112625
2009-07-20,1116.753421
2009-07-21,1123.561287
2009-07-22,1124.766738
2009-07-23,1143.679956
2009-07-24,1148.378153
2009-07-27,1155.111343
2009-07-28,1150.01764
2009-07-29,1144.218867
2009-07-30,1162.765355
2009-07-31,1172.519548
2009-08-03,1192.494512
2009-08-04,1194.094735
2009-08-05,1188.973015
2009-08-06,1185.310143
2009-08-07,1190.932114
2009-08-10,1186.656331
2009-08-11,1174.250118
2009-08-12,1184.098853
2009-08-13,1198.52094
2009-08-14,1189.374536
2009-08-17,1157.287935
2009-08-18,1170.467077
2009-08-19,1175.755418
2009-08-20,1190.666627
2009-08-21,1210.00797
2009-08-24,1217.345283
2009-08-25,1219.041345
2009-08-26,1216.340835
2009-08-27,1218.438786
2009-08-28,1220.982766
2009-08-31,1212.900554
2009-09-01,1189.46759
2009-09-02,1185.392262
2009-09-03,1190.438579
2009-09-04,1205.825997
2009-09-08,1228.118539
2009-09-09,1236.580979
2009-09-10,1248.502993
2009-09-11,1251.066354
2009-09-14,1251.168176
2009-09-15,1256.415016
2009-09-16,1276.820206
2009-09-17,1278.13898
2009-09-18,1275.736768
2009-09-21,1268.180097
2009-09-22,1281.290193
2009-09-23,1273.579745
2009-09-24,1255.603386
2009-09-25,1248.669014
2009-09-28,1262.356336
2009-09-29,1262.571676
2009-09-30,1262.865063
2009-10-01,1233.201747
2009-10-02,1220.309458
2009-10-05,1234.574354
2009-10-06,1256.933149
2009-10-07,1259.921157
2009-10-08,1275.243551
2009-10-09,1276.181717
2009-10-12,1284.314967
2009-10-13,1281.266957
2009-10-14,1305.838664
2009-10-15,1309.313626
2009-10-16,1298.32947
2009-10-19,1314.415675
2009-10-20,1307.81718
2009-10-21,1305.872384
2009-10-22,1307.521358
2009-10-23,1294.299305
2009-10-26,1277.908019
2009-10-27,1270.931928
2009-10-28,1244.057563
2009-10-29,1267.365689
