date,value
2008-12-31,181.823171
2009-01-02,185.018792
2009-01-05,184.359065
2009-01-06,186.861595
2009-01-07,180.125555
2009-01-08,180.83335
2009-01-09,174.45694
2009-01-12,170.549562
2009-01-13,171.659206
2009-01-14,164.711773
2009-01-15,167.885536
2009-01-16,169.403172
2009-01-20,158.968258
2009-01-21,165.839723
2009-01-22,161.701606
2009-01-23,161.835416
2009-01-26,163.591382
2009-01-27,165.175089
2009-01-28,171.031625
2009-01-29,164.131449
2009-01-30,161.237762
2009-02-02,161.985454
2009-02-03,163.487251
2009-02-04,162.659256
2009-02-05,165.616175
2009-02-06,170.773116
2009-02-09,168.846292
2009-02-10,161.585829
2009-02-11,161.712448
2009-02-12,163.082165
2009-02-13,163.058708
2009-02-17,156.926817
2009-02-18,154.976387
2009-02-19,153.349787
2009-02-20,151.398587
2009-02-23,145.229375
2009-02-24,150.39123
2009-02-25,147.250888
2009-02-26,144.070769
2009-02-27,143.084418
2009-03-02,135.569635
2009-03-03,133.36041
2009-03-04,136.846829
2009-03-05,129.974029
2009-03-06,129.919213
2009-03-09,127.117937
2009-03-10,134.804226
2009-03-11,135.257521
2009-03-12,142.34918
2009-03-13,143.942921
2009-03-16,142.090624
2009-03-17,147.043441
2009-03-18,151.478832
2009-03-19,150.274854
2009-03-20,145.582759
2009-03-23,156.129425
2009-03-24,151.519467
2009-03-25,154.732485
2009-03-26,161.647232
2009-03-27,156.737505
2009-03-30,152.47896
2009-03-31,154.543893
2009-04-01,156.781626
2009-04-02,164.337031
2009-04-03,166.460705
2009-04-06,163.533708
2009-04-07,158.00492
2009-04-08,161.129435
2009-04-09,170.457298
2009-04-13,170.036236
2009-04-14,166.391474
2009-04-15,167.585705
2009-04-16,172.614138
2009-04-17,175.271489
2009-04-20,167.226124
2009-04-21,172.12673
2009-04-22,173.633522
2009-04-23,171.899204
2009-04-24,175.656224
2009-04-27,173.49057
2009-04-28,174.588185
2009-04-29,180.156726
2009-04-30,180.019637
2009-05-01,180.143055
2009-05-04,186.371703
2009-05-05,185.210076
2009-05-06,186.666889
2009-05-07,183.295237
2009-05-08,188.479236
2009-05-11,184.890051
2009-05-12,181.919691
2009-05-13,173.914432
2009-05-14,176.53031
2009-05-15,175.532208
2009-05-18,182.073841
2009-05-19,181.910557
2009-05-20,180.709019
2009-05-21,177.348791
2009-05-22,175.772613
2009-05-26,183.479631
2009-05-27,180.391914
2009-05-28,181.100196
2009-05-29,184.496081
2009-06-01,191.762891
