date,value
1986-12-31,82.76
1987-01-01,82.76
1987-01-02,82.57
1987-01-05,82.82
1987-01-06,83.28
1987-01-07,83.78
1987-01-08,83.52
1987-01-09,83.03
1987-01-12,83.64
1987-01-13,83.0
1987-01-14,82.99
1987-01-15,83.77
1987-01-16,84.15
1987-01-19,83.39
1987-01-20,83.5
1987-01-21,83.35
1987-01-22,83.48
1987-01-23,84.12
1987-01-26,83.38
1987-01-27,83.64
1987-01-28,81.87
1987-01-29,82.31
1987-01-30,83.2
1987-02-02,83.03
1987-02-03,82.31
1987-02-04,82.72
1987-02-05,82.89
1987-02-06,83.87
1987-02-09,84.03
1987-02-10,82.91
1987-02-11,83.31
1987-02-12,83.22
1987-02-13,83.75
1987-02-16,84.22
1987-02-17,84.24
1987-02-18,84.73
1987-02-19,84.75
1987-02-20,85.26
1987-02-23,84.74
1987-02-24,84.96
1987-02-25,84.99
1987-02-26,85.39
1987-02-27,85.73
1987-03-02,86.22
1987-03-03,86.1
1987-03-04,86.98
1987-03-05,87.63
1987-03-06,87.65
1987-03-09,87.76
1987-03-10,87.49
1987-03-11,87.37
1987-03-12,87.83
1987-03-13,87.73
1987-03-16,87.47
1987-03-17,87.66
1987-03-18,88.34
1987-03-19,87.27
1987-03-20,87.83
1987-03-23,88.7
1987-03-24,89.49
1987-03-25,89.45
1987-03-26,89.74
1987-03-27,90.39
1987-03-30,89.01
1987-03-31,88.4
1987-04-01,88.66
1987-04-02,89.1
1987-04-03,89.06
1987-04-06,90.31
1987-04-07,89.88
1987-04-08,89.67
1987-04-09,89.4
1987-04-10,88.31
1987-04-13,87.49
1987-04-14,87.53
1987-04-15,88.2
1987-04-16,89.22
1987-04-17,89.24
1987-04-20,89.15
1987-04-21,88.82
1987-04-22,89.67
1987-04-23,89.82
1987-04-24,90.12
1987-04-27,89.01
1987-04-28,89.84
1987-04-29,90.42
1987-04-30,90.73
1987-05-01,91.14
1987-05-04,91.03
1987-05-05,90.72
1987-05-06,91.32
1987-05-07,91.37
1987-05-08,92.35
1987-05-11,93.12
1987-05-12,92.28
1987-05-13,92.97
1987-05-14,93.28
1987-05-15,91.97
1987-05-18,92.35
1987-05-19,92.53
1987-05-20,91.32
1987-05-21,90.87
1987-05-22,91.04
1987-05-25,91.04
1987-05-26,91.11
1987-05-27,90.89
1987-05-28,91.32
1987-05-29,92.05
1987-06-01,92.9
1987-06-02,92.1
1987-06-03,92.25
1987-06-04,92.02
1987-06-05,92.02
1987-06-08,92.01
1987-06-09,92.79
1987-06-10,92.15
1987-06-11,92.94
1987-06-12,93.7
1987-06-15,94.53
1987-06-16,95.05
1987-06-17,95.29
1987-06-18,94.7
1987-06-19,94.43
1987-06-22,94.36
1987-06-23,94.98
1987-06-24,94.88
1987-06-25,94.93
1987-06-26,95.51
1987-06-29,95.33
1987-06-30,95.19
1987-07-01,94.65
1987-07-02,95.7
1987-07-03,97.03
1987-07-06,97.51
1987-07-07,97.68
1987-07-08,97.94
1987-07-09,98.04
1987-07-10,98.32
1987-07-13,98.46
1987-07-14,99.01
1987-07-15,99.61
1987-07-16,100.34
1987-07-17,100.58
1987-07-20,100.24
1987-07-21,99.74
1987-07-22,98.67
1987-07-23,98.31
1987-07-24,98.54
1987-07-27,98.23
1987-07-28,99.26
1987-07-29,100.2
1987-07-30,100.44
1987-07-31,99.93
1987-08-03,99.43
1987-08-04,98.96
1987-08-05,98.96
1987-08-06,98.29
1987-08-07,97.58
1987-08-10,97.65
1987-08-11,97.89
1987-08-12,98.97
1987-08-13,98.9
1987-08-14,99.12
1987-08-17,98.42
1987-08-18,97.31
1987-08-19,96.42
1987-08-20,96.75
1987-08-21,97.39
1987-08-24,97.21
1987-08-25,97.42
1987-08-26,97.46
