date,value
2008-12-31,170.18
2009-01-02,174.78
2009-01-05,174.64
2009-01-06,175.28
2009-01-07,173.64
2009-01-08,173.29
2009-01-09,170.5
2009-01-12,166.96
2009-01-13,164.34
2009-01-14,159.55
2009-01-15,157.78
2009-01-16,160.09
2009-01-20,152.29
2009-01-21,155.05
2009-01-22,153.7
2009-01-23,152.59
2009-01-26,155.59
2009-01-27,157.98
2009-01-28,162.32
2009-01-29,158.67
2009-01-30,155.2
2009-02-02,153.31
2009-02-03,156.03
2009-02-04,156.89
2009-02-05,157.75
2009-02-06,160.94
2009-02-09,162.04
2009-02-10,156.63
2009-02-11,156.34
2009-02-12,154.89
2009-02-13,154.79
2009-02-17,147.42
2009-02-18,146.44
2009-02-19,146.25
2009-02-20,143.05
2009-02-23,140.33
2009-02-24,142.01
2009-02-25,141.35
2009-02-26,141.31
2009-02-27,139.06
2009-03-02,132.35
2009-03-03,130.78
2009-03-04,133.9
2009-03-05,130.02
2009-03-06,129.42
2009-03-09,127.73
2009-03-10,134.26
2009-03-11,135.39
2009-03-12,137.91
2009-03-13,139.99
2009-03-16,141.72
2009-03-17,144.09
2009-03-18,145.96
2009-03-19,148.72
2009-03-20,146.31
2009-03-23,153.56
2009-03-24,152.56
2009-03-25,153.53
2009-03-26,155.68
2009-03-27,152.65
2009-03-30,146.81
2009-03-31,149.02
2009-04-01,151.3
2009-04-02,157.73
2009-04-03,158.1
2009-04-06,156.95
2009-04-07,154.16
2009-04-08,154.58
2009-04-09,159.28
2009-04-14,159.48
2009-04-15,159.74
2009-04-16,161.86
2009-04-17,162.89
2009-04-20,157.17
2009-04-21,158.34
2009-04-22,158.52
2009-04-23,159.73
2009-04-24,162.94
2009-04-27,161.9
2009-04-28,159.99
2009-04-29,163.55
2009-04-30,164.87
2009-05-04,170.06
2009-05-05,170.25
2009-05-06,172.47
2009-05-07,172.47
2009-05-08,175.94
2009-05-11,174.23
2009-05-12,173.92
2009-05-13,170.06
2009-05-14,170.21
2009-05-15,170.34
2009-05-18,172.97
2009-05-19,175.15
2009-05-20,176.27
2009-05-21,173.45
2009-05-22,174.11
2009-05-26,177.14
2009-05-27,176.14
2009-05-28,176.55
2009-05-29,179.34
2009-06-01,183.82
2009-06-02,184.87
2009-06-03,181.88
2009-06-04,182.32
2009-06-05,181.62
2009-06-08,180.28
2009-06-09,181.63
2009-06-10,182.64
2009-06-11,184.37
2009-06-12,183.96
2009-06-15,179.28
2009-06-16,177.69
2009-06-17,176.36
2009-06-18,177.38
2009-06-19,178.51
2009-06-22,173.99
2009-06-23,173.77
2009-06-24,176.14
2009-06-25,177.3
2009-06-26,178.55
2009-06-29,179.78
2009-06-30,178.54
2009-07-01,180.15
2009-07-02,175.62
2009-07-06,174.34
2009-07-07,172.41
2009-07-08,170.74
2009-07-09,171.74
2009-07-10,170.78
2009-07-13,173.07
2009-07-14,175.12
2009-07-15,179.9
2009-07-16,181.43
2009-07-17,181.81
2009-07-20,184.25
2009-07-21,186.0
2009-07-22,186.09
2009-07-23,189.55
2009-07-24,190.07
2009-07-27,190.95
2009-07-28,190.27
2009-07-29,189.37
2009-07-30,192.13
2009-07-31,193.34
2009-08-03,197.22
2009-08-04,197.38
2009-08-05,196.45
2009-08-06,196.1
2009-08-07,196.63
2009-08-10,196.19
2009-08-11,194.32
2009-08-12,195.84
2009-08-13,198.22
2009-08-14,197.02
2009-08-17,191.52
2009-08-18,193.45
2009-08-19,194.41
2009-08-20,196.75
2009-08-21,199.82
2009-08-24,201.29
2009-08-25,201.78
2009-08-26,201.04
2009-08-27,200.83
2009-08-28,202.41
2009-08-31,200.88
2009-09-01,197.47
2009-09-02,195.97
2009-09-03,196.94
2009-09-04,198.97
2009-09-08,203.3
2009-09-09,204.67
2009-09-10,206.29
2009-09-11,207.14
2009-09-14,206.86
2009-09-15,207.08
2009-09-16,210.44
2009-09-17,211.25
2009-09-18,210.65
2009-09-21,209.04
2009-09-22,211.36
2009-09-23,210.42
2009-09-24,207.7
2009-09-25,206.3
2009-09-28,208.39
2009-09-29,208.02
2009-09-30,208.32
2009-10-01,203.81
2009-10-02,201.32
2009-10-05,203.18
2009-10-06,207.32
2009-10-07,207.62
2009-10-08,210.33
2009-10-09,210.69
2009-10-12,211.78
2009-10-13,211.09
2009-10-14,214.84
2009-10-15,215.59
2009-10-16,213.67
2009-10-19,216.32
2009-10-20,215.55
2009-10-21,215.1
2009-10-22,214.98
2009-10-23,213.17
2009-10-26,210.72
2009-10-27,209.08
2009-10-28,204.97
2009-10-29,208.33
2009-10-30,204.56
2009-11-02,205.08
2009-11-03,204.0
2009-11-04,206.17
2009-11-05,208.48
2009-11-06,209.26
2009-11-09,213.88
2009-11-10,213.74
2009-11-11,214.75
2009-11-12,212.97
2009-11-13,214.05
2009-11-16,217.18
2009-11-17,216.07
2009-11-18,216.43
2009-11-19,212.82
2009-11-20,211.69
2009-11-23,215.37
2009-11-24,214.31
2009-11-25,216.28
2009-11-27,211.43
2009-11-30,212.35
2009-12-01,216.61
2009-12-02,217.01
2009-12-03,216.54
2009-12-04,216.13
2009-12-07,215.49
2009-12-08,212.96
2009-12-09,212.44
2009-12-10,213.29
2009-12-11,213.57
2009-12-14,215.28
2009-12-15,213.94
2009-12-16,215.41
2009-12-17,211.67
2009-12-18,211.33
2009-12-21,213.41
2009-12-22,214.05
2009-12-23,215.36
2009-12-24,216.43
2009-12-28,217.23
2009-12-29,217.56
2009-12-30,216.31
2009-12-31,215.86
2010-01-04,219.7
2010-01-05,220.4
2010-01-06,220.53
2010-01-07,220.38
2010-01-08,221.39
2010-01-11,223.07
2010-01-12,221.7
2010-01-13,222.02
2010-01-14,223.23
2010-01-15,221.01
2010-01-19,222.3
2010-01-20,218.83
2010-01-21,215.62
2010-01-22,212.54
2010-01-25,212.36
2010-01-26,211.25
2010-01-27,210.61
2010-01-28,208.47
2010-01-29,206.79
2010-02-01,208.52
2010-02-02,211.45
2010-02-03,210.42
2010-02-04,204.49
2010-02-05,202.28
2010-02-08,201.75
2010-02-09,203.28
2010-02-10,203.38
2010-02-11,204.6
2010-02-12,204.43
2010-02-16,207.59
2010-02-17,209.31
2010-02-18,210.2
2010-02-19,208.67
2010-02-22,210.33
2010-02-23,208.33
2010-02-24,209.1
2010-02-25,207.4
2010-02-26,209.15
2010-03-01,209.15
2010-03-02,209.15
2010-03-03,209.15
2010-03-04,209.15
2010-03-05,215.9
2010-03-08,216.75
2010-03-09,216.65
2010-03-10,217.78
2010-03-11,218.21
2010-03-12,219.1
2010-03-15,218.09
2010-03-16,220.23
2010-03-17,221.87
2010-03-18,220.78
2010-03-19,219.73
2010-03-22,220.19
2010-03-23,221.5
2010-03-24,219.56
2010-03-25,219.83
2010-03-26,220.21
2010-03-29,221.53
2010-03-30,221.62
2010-03-31,221.51
2010-04-01,223.69
2010-04-06,224.74
2010-04-07,223.97
2010-04-08,223.56
2010-04-09,225.79
2010-04-12,226.89
2010-04-13,226.21
2010-04-14,228.58
2010-04-15,229.06
2010-04-16,225.53
2010-04-19,224.51
2010-04-20,226.43
2010-04-21,225.93
2010-04-22,224.63
2010-04-23,225.84
2010-04-26,226.55
2010-04-27,221.8
2010-04-28,220.09
2010-04-29,222.62
2010-04-30,220.98
2010-05-03,221.57
2010-05-04,215.96
2010-05-05,213.43
2010-05-06,207.48
2010-05-07,202.72
2010-05-10,212.64
2010-05-11,211.01
2010-05-12,211.72
2010-05-13,212.51
2010-05-14,207.22
2010-05-17,205.64
2010-05-18,204.97
2010-05-19,201.91
2010-05-20,196.12
2010-05-21,197.87
2010-05-24,196.18
2010-05-25,193.17
2010-05-26,194.12
2010-05-27,199.87
2010-05-28,199.15
2010-06-01,197.25
2010-06-02,198.86
2010-06-03,201.1
2010-06-04,195.57
2010-06-07,192.06
2010-06-08,192.8
2010-06-09,193.73
2010-06-10,198.27
2010-06-11,199.27
2010-06-14,201.29
2010-06-15,204.38
2010-06-16,204.91
2010-06-17,205.24
2010-06-18,205.74
2010-06-21,206.81
2010-06-22,204.04
2010-06-23,202.32
2010-06-24,199.92
2010-06-25,199.33
2010-06-28,199.92
2010-06-29,193.6
2010-06-30,192.38
2010-07-01,191.44
2010-07-02,191.55
2010-07-06,194.39
2010-07-07,198.02
2010-07-08,200.43
2010-07-09,201.64
2010-07-12,201.64
2010-07-13,204.81
2010-07-14,205.6
2010-07-15,205.55
2010-07-16,201.35
2010-07-19,201.19
2010-07-20,201.89
2010-07-21,201.03
2010-07-22,204.96
2010-07-23,206.35
2010-07-26,208.6
2010-07-27,208.84
2010-07-28,208.64
2010-07-29,208.49
2010-07-30,207.82
2010-08-02,207.82
2010-08-03,207.82
2010-08-04,207.82
2010-08-05,207.82
2010-08-06,207.82
2010-08-09,207.82
2010-08-10,207.82
2010-08-11,207.82
2010-08-12,207.82
2010-08-13,207.82
2010-08-16,207.82
2010-08-17,207.82
2010-08-18,207.82
2010-08-19,207.82
2010-08-20,207.82
2010-08-23,202.12
2010-08-24,199.45
2010-08-25,198.41
2010-08-26,199.13
2010-08-27,201.27
2010-08-30,200.31
2010-08-31,199.73
2010-09-01,205.35
2010-09-02,206.79
2010-09-03,209.02
2010-09-07,207.71
2010-09-08,208.52
2010-09-09,210.03
2010-09-10,210.46
2010-09-13,213.32
2010-09-14,214.04
2010-09-15,214.22
2010-09-16,213.83
2010-09-17,213.65
2010-09-20,216.44
2010-09-21,216.13
2010-09-22,216.36
2010-09-23,215.05
2010-09-24,218.56
2010-09-27,218.31
2010-09-28,218.86
2010-09-29,218.84
2010-09-30,217.93
2010-10-01,218.85
2010-10-04,217.28
2010-10-05,221.58
2010-10-06,222.81
2010-10-07,223.04
2010-10-08,223.6
2010-10-11,223.74
2010-10-12,223.18
2010-10-13,225.86
2010-10-14,226.69
2010-10-15,226.12
2010-10-18,226.89
2010-10-19,223.48
2010-10-20,225.79
2010-10-21,226.41
2010-10-22,226.0
2010-10-25,227.27
2010-10-26,226.13
2010-10-27,224.26
2010-10-28,225.6
2010-10-29,225.79
2010-11-01,226.01
2010-11-02,227.96
