month,index
1996-01,67.5
1996-02,67.8
1996-03,68.0
1996-04,68.3
1996-05,68.5
1996-06,68.7
1996-07,68.6
1996-08,68.7
1996-09,68.7
1996-10,68.8
1996-11,69.1
1996-12,69.2
1997-01,69.3
1997-02,69.4
1997-03,69.5
1997-04,69.6
1997-05,69.8
1997-06,69.8
1997-07,69.8
1997-08,69.8
1997-09,69.8
1997-10,70.1
1997-11,70.3
1997-12,70.4
1998-01,70.6
1998-02,70.8
1998-03,70.9
1998-04,71.1
1998-05,71.1
1998-06,71.2
1998-07,71.2
1998-08,71.3
1998-09,71.3
1998-10,71.4
1998-11,71.5
1998-12,71.5
1999-01,71.6
1999-02,71.8
1999-03,71.9
1999-04,72.0
1999-05,72.2
1999-06,72.2
1999-07,72.4
1999-08,72.4
1999-09,72.6
1999-10,72.8
1999-11,72.9
1999-12,73.1
2000-01,73.2
2000-02,73.5
2000-03,73.7
2000-04,73.7
2000-05,74.0
2000-06,74.2
2000-07,74.4
2000-08,74.4
2000-09,74.6
2000-10,74.8
2000-11,75.0
2000-12,75.1
2001-01,75.0
2001-02,74.6
2001-03,75.3
2001-04,75.9
2001-05,76.1
2001-06,76.3
2001-07,76.1
2001-08,75.9
2001-09,76.1
2001-10,76.5
2001-11,76.7
2001-12,76.8
2002-01,76.7
2002-02,76.5
2002-03,77.2
2002-04,77.8
2002-05,78.0
2002-06,78.1
2002-07,78.0
2002-08,77.8
2002-09,78.3
2002-10,78.7
2002-11,78.9
2002-12,79.1
2003-01,78.9
2003-02,78.5
2003-03,79.5
2003-04,80.1
2003-05,80.2
2003-06,80.3
2003-07,80.2
2003-08,80.0
2003-09,80.6
2003-10,80.9
2003-11,81.1
2003-12,81.1
2004-01,80.6
2004-02,80.4
2004-03,81.3
2004-04,82.0
2004-05,82.1
2004-06,82.2
2004-07,82.0
2004-08,81.9
2004-09,82.3
2004-10,82.6
2004-11,82.7
2004-12,83.0
2005-01,82.2
2005-02,82.1
2005-03,83.1
2005-04,83.7
2005-05,84.0
2005-06,84.0
2005-07,83.8
2005-08,83.7
2005-09,84.1
2005-10,84.7
2005-11,84.7
2005-12,84.7
2006-01,84.0
2006-02,83.9
2006-03,84.9
2006-04,85.7
2006-05,85.9
2006-06,86.0
2006-07,85.8
2006-08,85.6
2006-09,86.2
2006-10,86.3
2006-11,86.4
2006-12,86.5
2007-01,85.6
2007-02,85.7
2007-03,86.6
2007-04,87.2
2007-05,87.5
2007-06,87.7
2007-07,87.2
2007-08,87.0
2007-09,87.7
2007-10,88.3
2007-11,88.6
2007-12,88.9
2008-01,88.3
2008-02,88.3
2008-03,89.7
